Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External Id,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,cell_type,collection date,common name,geographic location (country and/or sea),sample name,scientific_name,tissue_type,organism,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE
ERR12549791,23223013,1272004008,54,479,ERX11924069,cortex_40S_r1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP157008,PRJEB72224,,"",ERS18005927,SAMEA115165760,simple,10090,Mus musculus,SAMEA115165760,University of Bergen,ERA28285353,07,2024,"","",cortex_rep1,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,SAMEA115165760,UiB,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,public,cortex_rep1,cortex,2023-04-05,house mouse,Norway,cortex_rep1,Mus musculus,cortex,,,
ERR12549806,35208771,2837035699,80,1024,ERX11924084,DG_RNA_r1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP157008,PRJEB72224,,"",ERS18005923,SAMEA115165757,simple,10090,Mus musculus,DG_rep1,University of Bergen,ERA28285353,07,2024,"","",DG_rep1,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,,,,,,,dentate gyrus,2023-04-05,house mouse,Norway,,Mus musculus,dentate gyrus,Mus musculus,2024-02-29,2024-02-29
ERR12549789,36789861,2833711071,77,995,ERX11924067,cortex_40S_r3,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP157008,PRJEB72224,,"",ERS18005929,SAMEA115165762,simple,10090,Mus musculus,cortex_rep3,University of Bergen,ERA28285353,07,2024,"","",cortex_rep3,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,,,,,,,cortex,2023-07-10,house mouse,Norway,,Mus musculus,cortex,Mus musculus,2024-02-29,2024-02-29
ERR12549793,112692461,7109770039,63,2680,ERX11924071,cortex_80S_r2,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP157008,PRJEB72224,,"",ERS18005928,SAMEA115165761,simple,10090,Mus musculus,cortex_rep2,University of Bergen,ERA28285353,07,2024,"","",cortex_rep2,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,,,,,,,cortex,2023-04-05,house mouse,Norway,,Mus musculus,cortex,Mus musculus,2024-02-29,2024-02-29
ERR12549802,93221970,7539809736,80,2576,ERX11924080,DG_80S_r3,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP157008,PRJEB72224,,"",ERS18005926,SAMEA115165759,simple,10090,Mus musculus,SAMEA115165759,University of Bergen,ERA28285353,07,2024,"","",DG_rep3,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,SAMEA115165759,UiB,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,public,DG_rep3,dentate gyrus,2023-07-10,house mouse,Norway,DG_rep3,Mus musculus,dentate gyrus,,,
ERR12549797,35295713,3391653820,96,1055,ERX11924075,cortex_RNA_r1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP157008,PRJEB72224,,"",ERS18005927,SAMEA115165760,simple,10090,Mus musculus,SAMEA115165760,University of Bergen,ERA28285353,07,2024,"","",cortex_rep1,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,SAMEA115165760,UiB,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,public,cortex_rep1,cortex,2023-04-05,house mouse,Norway,cortex_rep1,Mus musculus,cortex,,,
ERR12549803,20019713,1483054654,74,539,ERX11924081,DG_80S_r2,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP157008,PRJEB72224,,"",ERS18005925,SAMEA115165758,simple,10090,Mus musculus,SAMEA115165758,University of Bergen,ERA28285353,07,2024,"","",DG_rep2,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,SAMEA115165758,UiB,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,public,DG_rep2,dentate gyrus,2023-04-05,house mouse,Norway,DG_rep2,Mus musculus,dentate gyrus,,,
ERR12549800,43712366,3560476761,81,1208,ERX11924078,DG_40S_r2,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP157008,PRJEB72224,,"",ERS18005925,SAMEA115165758,simple,10090,Mus musculus,SAMEA115165758,University of Bergen,ERA28285353,07,2024,"","",DG_rep2,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,SAMEA115165758,UiB,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,public,DG_rep2,dentate gyrus,2023-04-05,house mouse,Norway,DG_rep2,Mus musculus,dentate gyrus,,,
ERR12549794,23522422,1181972310,50,471,ERX11924072,cortex_80S_r1,Ribo-seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP157008,PRJEB72224,,"",ERS18005927,SAMEA115165760,simple,10090,Mus musculus,SAMEA115165760,University of Bergen,ERA28285353,07,2024,"","",cortex_rep1,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,SAMEA115165760,UiB,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,public,cortex_rep1,cortex,2023-04-05,house mouse,Norway,cortex_rep1,Mus musculus,cortex,,,
ERR12549804,70066199,6676957976,95,2150,ERX11924082,DG_RNA_r3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP157008,PRJEB72224,,"",ERS18005926,SAMEA115165759,simple,10090,Mus musculus,SAMEA115165759,University of Bergen,ERA28285353,07,2024,"","",DG_rep3,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,SAMEA115165759,UiB,2024-02-29T00:36:27Z,2024-02-29T00:36:27Z,public,DG_rep3,dentate gyrus,2023-07-10,house mouse,Norway,DG_rep3,Mus musculus,dentate gyrus,,,
