Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,INSDC center name,INSDC status,Submitter Id,collection date,geographic location (country and/or sea),sample name,scientific_name
ERR13439967,45984,22714449,277,9,ERX12810126,delta_efp_red_XPPX,AMPLICON,other,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP162094,PRJEB77738,,"",ERS20822929,SAMEA115888494,simple,679895,Escherichia coli BW25113,SAMEA115888494,Ludwig Maximilian University of Munich,ERA30729405,08,2024,"","",delta_efp_red_XPPX,2024-08-05,LMU_microbiology,public,delta_efp_red_XPPX,2023-01,Germany,delta_efp_red_XPPX,Escherichia coli BW25113
ERR13439957,95065,44947541,265,19,ERX12810116,delta_efp_red_XXXP,AMPLICON,other,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP162094,PRJEB77738,,"",ERS20822939,SAMEA115888504,simple,679895,Escherichia coli BW25113,SAMEA115888504,Ludwig Maximilian University of Munich,ERA30729405,08,2024,"","",delta_efp_red_XXXP,2024-08-05,LMU_microbiology,public,delta_efp_red_XXXP,2023-01,Germany,delta_efp_red_XXXP,Escherichia coli BW25113
ERR13439966,196886,94101583,273,42,ERX12810125,delta_efp_white_XXXX,AMPLICON,other,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP162094,PRJEB77738,,"",ERS20822930,SAMEA115888495,simple,679895,Escherichia coli BW25113,SAMEA115888495,Ludwig Maximilian University of Munich,ERA30729405,08,2024,"","",delta_efp_white_XXXX,2024-08-05,LMU_microbiology,public,delta_efp_white_XXXX,2023-01,Germany,delta_efp_white_XXXX,Escherichia coli BW25113
ERR13439958,116142,56337091,271,24,ERX12810117,delta_efp_white_XXXP,AMPLICON,other,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP162094,PRJEB77738,,"",ERS20822938,SAMEA115888503,simple,679895,Escherichia coli BW25113,SAMEA115888503,Ludwig Maximilian University of Munich,ERA30729405,08,2024,"","",delta_efp_white_XXXP,2024-08-05,LMU_microbiology,public,delta_efp_white_XXXP,2023-01,Germany,delta_efp_white_XXXP,Escherichia coli BW25113
ERR13439964,135877,67010704,278,29,ERX12810123,delta_efp_white_PXXX,AMPLICON,other,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP162094,PRJEB77738,,"",ERS20822932,SAMEA115888497,simple,679895,Escherichia coli BW25113,SAMEA115888497,Ludwig Maximilian University of Munich,ERA30729405,08,2024,"","",delta_efp_white_PXXX,2024-08-05,LMU_microbiology,public,delta_efp_white_PXXX,2023-01,Germany,delta_efp_white_PXXX,Escherichia coli BW25113
ERR13439959,70590,34337505,275,15,ERX12810118,delta_efp_red_XXPX,AMPLICON,other,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP162094,PRJEB77738,,"",ERS20822937,SAMEA115888502,simple,679895,Escherichia coli BW25113,SAMEA115888502,Ludwig Maximilian University of Munich,ERA30729405,08,2024,"","",delta_efp_red_XXPX,2024-08-05,LMU_microbiology,public,delta_efp_red_XXPX,2023-01,Germany,delta_efp_red_XXPX,Escherichia coli BW25113
ERR13439963,62027,30173538,274,13,ERX12810122,delta_efp_red_PXXX,AMPLICON,other,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP162094,PRJEB77738,,"",ERS20822933,SAMEA115888498,simple,679895,Escherichia coli BW25113,SAMEA115888498,Ludwig Maximilian University of Munich,ERA30729405,08,2024,"","",delta_efp_red_PXXX,2024-08-05,LMU_microbiology,public,delta_efp_red_PXXX,2023-01,Germany,delta_efp_red_PXXX,Escherichia coli BW25113
ERR13439962,150488,73560065,274,32,ERX12810121,delta_efp_white_XPXX,AMPLICON,other,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP162094,PRJEB77738,,"",ERS20822934,SAMEA115888499,simple,679895,Escherichia coli BW25113,SAMEA115888499,Ludwig Maximilian University of Munich,ERA30729405,08,2024,"","",delta_efp_white_XPXX,2024-08-05,LMU_microbiology,public,delta_efp_white_XPXX,2023-01,Germany,delta_efp_white_XPXX,Escherichia coli BW25113
ERR13439965,87262,41815552,272,18,ERX12810124,delta_efp_red_XXXX,AMPLICON,other,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP162094,PRJEB77738,,"",ERS20822931,SAMEA115888496,simple,679895,Escherichia coli BW25113,SAMEA115888496,Ludwig Maximilian University of Munich,ERA30729405,08,2024,"","",delta_efp_red_XXXX,2024-08-05,LMU_microbiology,public,delta_efp_red_XXXX,2023-01,Germany,delta_efp_red_XXXX,Escherichia coli BW25113
ERR13439968,338395,165996737,275,72,ERX12810127,delta_efp_white_XPPX,AMPLICON,other,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,ERP162094,PRJEB77738,,"",ERS20822928,SAMEA115888493,simple,679895,Escherichia coli BW25113,SAMEA115888493,Ludwig Maximilian University of Munich,ERA30729405,08,2024,"","",delta_efp_white_XPPX,2024-08-05,LMU_microbiology,public,delta_efp_white_XPPX,2023-01,Germany,delta_efp_white_XPPX,Escherichia coli BW25113
