Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,culture condition,molecule subtype,genotype,geo_loc_name,collection_date
SRR25592737,61456120,3681262022,59,1406,SRX21321093,GSM7699279,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568524,SAMN36920140,simple,4932,Saccharomyces cerevisiae,GSM7699279,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,CytoRP_0m_1,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,cytoribosome-associated RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592736,57814831,3464197364,59,1329,SRX21321094,GSM7699280,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568525,SAMN36920139,simple,4932,Saccharomyces cerevisiae,GSM7699280,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,CytoRP_0m_2,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,cytoribosome-associated RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592735,73673780,4412901203,59,1685,SRX21321095,GSM7699281,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568526,SAMN36920138,simple,4932,Saccharomyces cerevisiae,GSM7699281,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,CytoRP_20m_1,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,cytoribosome-associated RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592734,64313286,3853718307,59,1472,SRX21321096,GSM7699282,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568527,SAMN36920137,simple,4932,Saccharomyces cerevisiae,GSM7699282,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,CytoRP_20m_2,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,cytoribosome-associated RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592733,74322202,4451536852,59,1703,SRX21321097,GSM7699283,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568528,SAMN36920136,simple,4932,Saccharomyces cerevisiae,GSM7699283,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,CytoRP_40m_1,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,cytoribosome-associated RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592732,59294671,3552292756,59,1367,SRX21321098,GSM7699284,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568529,SAMN36920135,simple,4932,Saccharomyces cerevisiae,GSM7699284,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,CytoRP_50m_2,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,cytoribosome-associated RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592731,66206379,3964469799,59,1524,SRX21321099,GSM7699285,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568530,SAMN36920134,simple,4932,Saccharomyces cerevisiae,GSM7699285,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,CytoRP_60m_1,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,cytoribosome-associated RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592730,61692838,3697963830,59,1424,SRX21321100,GSM7699286,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568531,SAMN36920133,simple,4932,Saccharomyces cerevisiae,GSM7699286,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,CytoRP_60m_2,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,cytoribosome-associated RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592729,92733039,5556364830,59,2122,SRX21321101,GSM7699287,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568534,SAMN36920132,simple,4932,Saccharomyces cerevisiae,GSM7699287,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,CytoRP_70m_1,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,cytoribosome-associated RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592728,84008466,5034539742,59,1925,SRX21321102,GSM7699288,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568532,SAMN36920131,simple,4932,Saccharomyces cerevisiae,GSM7699288,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,CytoRP_70m_2,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,cytoribosome-associated RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
