Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,collection_date,geo_loc_name,sex,tissue,cell_line,cell_type,sample_type,replicate,BioSampleModel
SRR25706721,53314825,3998611875,75,1192,SRX21431588,OLA1_KO_Riboseq_1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456069,PRJNA1007580,,"",SRS18669019,SAMN37073134,simple,9606,Homo sapiens,OLA1_KO_Riboseq_1,Southern University of Science and Technology,SRA1695826,09,2024,Dong,"","",missing,missing,missing,missing,missing,female,cervix uteri,Hela,OLA1_KO,Riboseq,1,Human
SRR25706720,50704800,3802860000,75,1145,SRX21431589,OLA1_KO_Riboseq_2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456069,PRJNA1007580,,"",SRS18669020,SAMN37073135,simple,9606,Homo sapiens,OLA1_KO_Riboseq_2,Southern University of Science and Technology,SRA1695826,09,2024,Dong,"","",missing,missing,missing,missing,missing,female,cervix uteri,Hela,OLA1_KO,Riboseq,2,Human
SRR25706719,29581243,8874372900,150,2790,SRX21431590,WT_mRNAseq_2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456069,PRJNA1007580,,"",SRS18669021,SAMN37073144,simple,9606,Homo sapiens,WT_mRNAseq_2,Southern University of Science and Technology,SRA1695826,09,2024,Dong,"","",missing,missing,missing,missing,missing,female,cervix uteri,Hela,WT,mRNAseq,2,Human
SRR25706718,22788711,6836613300,150,2150,SRX21431591,WT_mRNAseq_3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456069,PRJNA1007580,,"",SRS18669022,SAMN37073145,simple,9606,Homo sapiens,WT_mRNAseq_3,Southern University of Science and Technology,SRA1695826,09,2024,Dong,"","",missing,missing,missing,missing,missing,female,cervix uteri,Hela,WT,mRNAseq,3,Human
SRR25706717,53394517,4004588775,75,1200,SRX21431592,OLA1_KO_Riboseq_3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456069,PRJNA1007580,,"",SRS18669023,SAMN37073136,simple,9606,Homo sapiens,OLA1_KO_Riboseq_3,Southern University of Science and Technology,SRA1695826,09,2024,Dong,"","",missing,missing,missing,missing,missing,female,cervix uteri,Hela,OLA1_KO,Riboseq,3,Human
SRR25706716,53736432,4030232400,75,1193,SRX21431593,WT_Riboseq_1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456069,PRJNA1007580,,"",SRS18669024,SAMN37073137,simple,9606,Homo sapiens,WT_Riboseq_1,Southern University of Science and Technology,SRA1695826,09,2024,Dong,"","",missing,missing,missing,missing,missing,female,cervix uteri,Hela,WT,Riboseq,1,Human
SRR25706715,53666451,4024983825,75,1192,SRX21431594,WT_Riboseq_2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456069,PRJNA1007580,,"",SRS18669025,SAMN37073138,simple,9606,Homo sapiens,WT_Riboseq_2,Southern University of Science and Technology,SRA1695826,09,2024,Dong,"","",missing,missing,missing,missing,missing,female,cervix uteri,Hela,WT,Riboseq,2,Human
SRR25706714,57106223,4282966725,75,1288,SRX21431595,WT_Riboseq_3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456069,PRJNA1007580,,"",SRS18669026,SAMN37073139,simple,9606,Homo sapiens,WT_Riboseq_3,Southern University of Science and Technology,SRA1695826,09,2024,Dong,"","",missing,missing,missing,missing,missing,female,cervix uteri,Hela,WT,Riboseq,3,Human
SRR25706713,26587286,7976185800,150,2496,SRX21431596,OLA1_KO_mRNAseq_1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456069,PRJNA1007580,,"",SRS18669027,SAMN37073140,simple,9606,Homo sapiens,OLA1_KO_mRNAseq_1,Southern University of Science and Technology,SRA1695826,09,2024,Dong,"","",missing,missing,missing,missing,missing,female,cervix uteri,Hela,OLA1_KO,mRNAseq,1,Human
SRR25706712,25093834,7528150200,150,2347,SRX21431597,OLA1_KO_mRNAseq_2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456069,PRJNA1007580,,"",SRS18669028,SAMN37073141,simple,9606,Homo sapiens,OLA1_KO_mRNAseq_2,Southern University of Science and Technology,SRA1695826,09,2024,Dong,"","",missing,missing,missing,missing,missing,female,cervix uteri,Hela,OLA1_KO,mRNAseq,2,Human
SRR25706711,22040336,6612100800,150,2052,SRX21431598,OLA1_KO_mRNAseq_3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456069,PRJNA1007580,,"",SRS18669029,SAMN37073142,simple,9606,Homo sapiens,OLA1_KO_mRNAseq_3,Southern University of Science and Technology,SRA1695826,09,2024,Dong,"","",missing,missing,missing,missing,missing,female,cervix uteri,Hela,OLA1_KO,mRNAseq,3,Human
SRR25706710,22245942,6673782600,150,2079,SRX21431599,WT_mRNAseq_1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP456069,PRJNA1007580,,"",SRS18669030,SAMN37073143,simple,9606,Homo sapiens,WT_mRNAseq_1,Southern University of Science and Technology,SRA1695826,09,2024,Dong,"","",missing,missing,missing,missing,missing,female,cervix uteri,Hela,WT,mRNAseq,1,Human
