Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,strain,treatment,geo_loc_name,collection_date
SRR25735509,90050775,4502538750,50,1684,SRX21459035,GSM7729561,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP456511,PRJNA1008247,1,"",SRS18694922,SAMN37116723,simple,4932,Saccharomyces cerevisiae,GSM7729561,"Hinnebusch, Alan, Section on Nutrient Control Of Gene Expression, National Institutes of Health",SRA1697774,01,2024,Makar,yeast cell,Ribo WT replicate 1,yeast cell,yeast cell,WT,BY4742 (MAT{alpha} his3{delta}1 leu2{delta}0 lys{delta}2 ura3{delta}0),control,missing,missing
SRR25735508,99053835,4952691750,50,1819,SRX21459036,GSM7729562,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP456511,PRJNA1008247,1,"",SRS18694923,SAMN37116722,simple,4932,Saccharomyces cerevisiae,GSM7729562,"Hinnebusch, Alan, Section on Nutrient Control Of Gene Expression, National Institutes of Health",SRA1697774,01,2024,Makar,yeast cell,Ribo WT replicate 2,yeast cell,yeast cell,WT,BY4742 (MAT{alpha} his3{delta}1 leu2{delta}0 lys{delta}2 ura3{delta}0),control,missing,missing
SRR25735507,112379950,5618997500,50,2089,SRX21459037,GSM7729563,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP456511,PRJNA1008247,1,"",SRS18694924,SAMN37116721,simple,4932,Saccharomyces cerevisiae,GSM7729563,"Hinnebusch, Alan, Section on Nutrient Control Of Gene Expression, National Institutes of Health",SRA1697774,01,2024,Makar,yeast cell,Ribo eIF2A∆ replicate 1,yeast cell,yeast cell,eIF2A{delta},F2247 (MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0 ygr054w{delta}::kanMX4),control,missing,missing
SRR25735506,90790124,4539506200,50,1690,SRX21459038,GSM7729564,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP456511,PRJNA1008247,1,"",SRS18694925,SAMN37116720,simple,4932,Saccharomyces cerevisiae,GSM7729564,"Hinnebusch, Alan, Section on Nutrient Control Of Gene Expression, National Institutes of Health",SRA1697774,01,2024,Makar,yeast cell,Ribo eIF2A∆ replicate 2,yeast cell,yeast cell,eIF2A{delta},F2247 (MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0 ygr054w{delta}::kanMX4),control,missing,missing
SRR25735505,67518299,3375914950,50,1283,SRX21459039,GSM7729565,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP456511,PRJNA1008247,1,"",SRS18694926,SAMN37116719,simple,4932,Saccharomyces cerevisiae,GSM7729565,"Hinnebusch, Alan, Section on Nutrient Control Of Gene Expression, National Institutes of Health",SRA1697774,01,2024,Makar,yeast cell,Ribo WT+SM replicate 1,yeast cell,yeast cell,WT,BY4742 (MAT{alpha} his3{delta}1 leu2{delta}0 lys{delta}2 ura3{delta}0),SM,missing,missing
SRR25735504,83000345,4150017250,50,1586,SRX21459040,GSM7729566,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP456511,PRJNA1008247,1,"",SRS18694927,SAMN37116718,simple,4932,Saccharomyces cerevisiae,GSM7729566,"Hinnebusch, Alan, Section on Nutrient Control Of Gene Expression, National Institutes of Health",SRA1697774,01,2024,Makar,yeast cell,Ribo WT+SM replicate 2,yeast cell,yeast cell,WT,BY4742 (MAT{alpha} his3{delta}1 leu2{delta}0 lys{delta}2 ura3{delta}0),SM,missing,missing
SRR25735503,123552468,6177623400,50,2327,SRX21459041,GSM7729567,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP456511,PRJNA1008247,1,"",SRS18694928,SAMN37116717,simple,4932,Saccharomyces cerevisiae,GSM7729567,"Hinnebusch, Alan, Section on Nutrient Control Of Gene Expression, National Institutes of Health",SRA1697774,01,2024,Makar,yeast cell,Ribo eIF2A∆+SM replicate 1,yeast cell,yeast cell,eIF2A{delta},F2247 (MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0 ygr054w{delta}::kanMX4),SM,missing,missing
SRR25735502,95995766,4799788300,50,1825,SRX21459042,GSM7729568,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP456511,PRJNA1008247,1,"",SRS18694929,SAMN37116716,simple,4932,Saccharomyces cerevisiae,GSM7729568,"Hinnebusch, Alan, Section on Nutrient Control Of Gene Expression, National Institutes of Health",SRA1697774,01,2024,Makar,yeast cell,Ribo eIF2A∆+SM replicate 2,yeast cell,yeast cell,eIF2A{delta},F2247 (MATa his3{delta}1 leu2{delta}0 met15{delta}0 ura3{delta}0 ygr054w{delta}::kanMX4),SM,missing,missing
SRR25735501,102668397,5133419850,50,1913,SRX21459043,GSM7729569,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP456511,PRJNA1008247,1,"",SRS18694930,SAMN37116715,simple,4932,Saccharomyces cerevisiae,GSM7729569,"Hinnebusch, Alan, Section on Nutrient Control Of Gene Expression, National Institutes of Health",SRA1697774,01,2024,Makar,yeast cell,mRNA WT replicate 1,yeast cell,yeast cell,WT,BY4742 (MAT{alpha} his3{delta}1 leu2{delta}0 lys{delta}2 ura3{delta}0),control,missing,missing
SRR25735500,124287301,6214365050,50,2295,SRX21459044,GSM7729570,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP456511,PRJNA1008247,1,"",SRS18694931,SAMN37116714,simple,4932,Saccharomyces cerevisiae,GSM7729570,"Hinnebusch, Alan, Section on Nutrient Control Of Gene Expression, National Institutes of Health",SRA1697774,01,2024,Makar,yeast cell,mRNA WT replicate 2,yeast cell,yeast cell,WT,BY4742 (MAT{alpha} his3{delta}1 leu2{delta}0 lys{delta}2 ura3{delta}0),control,missing,missing
