Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,time,geo_loc_name,collection_date
SRR26055552,7338463,587077040,80,216,SRX21771761,GSM7779735,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877347,SAMN37386060,simple,10090,Mus musculus,GSM7779735,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_ko/ko_ZT12_Rep1_RPF,RP107_340_IRP1_ko/ko_ZT12_Rep1_RPF,IRP1_ko/ko_ZT12_Rep1_RPF,liver,IRP1 Knockout,ZT12,missing,missing
SRR26055551,72765651,5457423825,75,1954,SRX21771762,GSM7779736,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877348,SAMN37386059,simple,10090,Mus musculus,GSM7779736,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_ko/ko_ZT12_Rep1_RPF,RP107_347_IRP1_ko/ko_ZT12_Rep1_RPF,IRP1_ko/ko_ZT12_Rep1_RPF,liver,IRP1 Knockout,ZT12,missing,missing
SRR26055550,13073766,1045901280,80,380,SRX21771763,GSM7779737,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877349,SAMN37386058,simple,10090,Mus musculus,GSM7779737,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_+/+_ZT12_Rep1_RPF,RP108_340_IRP1_+/+_ZT12_Rep1_RPF,IRP1_+/+_ZT12_Rep1_RPF,liver,WT,ZT12,missing,missing
SRR26055549,38973796,2923034700,75,1121,SRX21771764,GSM7779738,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877350,SAMN37386057,simple,10090,Mus musculus,GSM7779738,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_+/+_ZT12_Rep1_RPF,RP108_347_IRP1_+/+_ZT12_Rep1_RPF,IRP1_+/+_ZT12_Rep1_RPF,liver,WT,ZT12,missing,missing
SRR26055548,12657283,1012582640,80,364,SRX21771765,GSM7779739,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877351,SAMN37386056,simple,10090,Mus musculus,GSM7779739,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_ko/ko_ZT12_Rep2_RPF,RP109_340_IRP1_ko/ko_ZT12_Rep2_RPF,IRP1_ko/ko_ZT12_Rep2_RPF,liver,IRP1 Knockout,ZT12,missing,missing
SRR26055547,49583844,3718788300,75,1338,SRX21771766,GSM7779740,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877352,SAMN37386055,simple,10090,Mus musculus,GSM7779740,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_ko/ko_ZT12_Rep2_RPF,RP109_347_IRP1_ko/ko_ZT12_Rep2_RPF,IRP1_ko/ko_ZT12_Rep2_RPF,liver,IRP1 Knockout,ZT12,missing,missing
SRR26055546,12909821,1032785680,80,371,SRX21771767,GSM7779741,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877353,SAMN37386054,simple,10090,Mus musculus,GSM7779741,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_+/+_ZT12_Rep2_RPF,RP110_340_IRP1_+/+_ZT12_Rep2_RPF,IRP1_+/+_ZT12_Rep2_RPF,liver,WT,ZT12,missing,missing
SRR26055545,32499266,2437444950,75,927,SRX21771768,GSM7779742,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877354,SAMN37386053,simple,10090,Mus musculus,GSM7779742,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_+/+_ZT12_Rep2_RPF,RP110_347_IRP1_+/+_ZT12_Rep2_RPF,IRP1_+/+_ZT12_Rep2_RPF,liver,WT,ZT12,missing,missing
SRR26055544,13996970,1119757600,80,406,SRX21771769,GSM7779743,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877355,SAMN37386052,simple,10090,Mus musculus,GSM7779743,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_ko/ko_ZT12_Rep3_RPF,RP111_340_IRP1_ko/ko_ZT12_Rep3_RPF,IRP1_ko/ko_ZT12_Rep3_RPF,liver,IRP1 Knockout,ZT12,missing,missing
SRR26055543,38652058,2898904350,75,1061,SRX21771770,GSM7779744,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP460298,PRJNA1016416,,"",SRS18877356,SAMN37386051,simple,10090,Mus musculus,GSM7779744,"Gatfield, UNIL - CIG",SRA1711697,05,2024,Nadimpalli,IRP1_ko/ko_ZT12_Rep3_RPF,RP111_347_IRP1_ko/ko_ZT12_Rep3_RPF,IRP1_ko/ko_ZT12_Rep3_RPF,liver,IRP1 Knockout,ZT12,missing,missing
