Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,geo_loc_name,collection_date
SRR26132855,71523892,3647718492,51,1441,SRX21846253,GSM7794566,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP462456,PRJNA1019669,39107322,"",SRS18943784,SAMN37491489,simple,9606,Homo sapiens,GSM7794566,DKFZ,SRA1717694,08,2024,Roiuk,HeLa,Riboseq_Empty_vector_replica1,HeLa,HeLa,an immortal human epithelial cell line,empty vector overexpression,missing,missing
SRR26132854,57929371,2954397921,51,1166,SRX21846254,GSM7794567,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP462456,PRJNA1019669,39107322,"",SRS18943792,SAMN37491488,simple,9606,Homo sapiens,GSM7794567,DKFZ,SRA1717694,08,2024,Roiuk,HeLa,Riboseq_Empty_vector_replica2,HeLa,HeLa,an immortal human epithelial cell line,empty vector overexpression,missing,missing
SRR26132853,49144527,2506370877,51,1006,SRX21846255,GSM7794568,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP462456,PRJNA1019669,39107322,"",SRS18943786,SAMN37491487,simple,9606,Homo sapiens,GSM7794568,DKFZ,SRA1717694,08,2024,Roiuk,HeLa,Riboseq_4E-BP1_4A_replica1,HeLa,HeLa,an immortal human epithelial cell line,4E-BP1 constitutively-active (4E-BP1-4A full length) overexpression,missing,missing
SRR26132852,45806005,2336106255,51,935,SRX21846256,GSM7794569,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP462456,PRJNA1019669,39107322,"",SRS18943785,SAMN37491486,simple,9606,Homo sapiens,GSM7794569,DKFZ,SRA1717694,08,2024,Roiuk,HeLa,Riboseq_4E-BP1_4A_replica2,HeLa,HeLa,an immortal human epithelial cell line,4E-BP1 constitutively-active (4E-BP1-4A full length) overexpression,missing,missing
SRR26132850,158877973,8102776623,51,3062,SRX21846257,GSM7794570,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP462456,PRJNA1019669,39107322,"",SRS18943787,SAMN37491485,simple,9606,Homo sapiens,GSM7794570,DKFZ,SRA1717694,08,2024,Roiuk,HeLa,Total_RNA_Riboseq_Empty_vector_replica_1,HeLa,HeLa,an immortal human epithelial cell line,empty vector overexpression,missing,missing
SRR26132849,126990685,6476524935,51,2437,SRX21846258,GSM7794571,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP462456,PRJNA1019669,39107322,"",SRS18943788,SAMN37491484,simple,9606,Homo sapiens,GSM7794571,DKFZ,SRA1717694,08,2024,Roiuk,HeLa,Total_RNA_Riboseq_Empty_vector_replica_2,HeLa,HeLa,an immortal human epithelial cell line,empty vector overexpression,missing,missing
SRR26132848,122373639,6241055589,51,2348,SRX21846259,GSM7794572,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP462456,PRJNA1019669,39107322,"",SRS18943789,SAMN37491483,simple,9606,Homo sapiens,GSM7794572,DKFZ,SRA1717694,08,2024,Roiuk,HeLa,Total_RNA_Riboseq_4EBP1_4A_replica_1,HeLa,HeLa,an immortal human epithelial cell line,4E-BP1 constitutively-active (4E-BP1-4A full length) overexpression,missing,missing
SRR26132851,108423901,5529618951,51,2077,SRX21846260,GSM7794573,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP462456,PRJNA1019669,39107322,"",SRS18943790,SAMN37491482,simple,9606,Homo sapiens,GSM7794573,DKFZ,SRA1717694,08,2024,Roiuk,HeLa,Total_RNA_Riboseq_4EBP1_4A_replica_2,HeLa,HeLa,an immortal human epithelial cell line,4E-BP1 constitutively-active (4E-BP1-4A full length) overexpression,missing,missing
SRR26132847,80270028,6100522128,76,2167,SRX21846261,GSM7794574,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP462456,PRJNA1019669,39107322,"",SRS18943791,SAMN37491481,simple,9606,Homo sapiens,GSM7794574,DKFZ,SRA1717694,08,2024,Roiuk,HeLa,eIF4E_IPed_RNA_Empty_vector_replica1,HeLa,HeLa,an immortal human epithelial cell line,empty vector overexpression,missing,missing
SRR26132846,58863879,4473654804,76,1548,SRX21846262,GSM7794575,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP462456,PRJNA1019669,39107322,"",SRS18943793,SAMN37491480,simple,9606,Homo sapiens,GSM7794575,DKFZ,SRA1717694,08,2024,Roiuk,HeLa,eIF4E_IPed_RNA_Empty_vector_replica2,HeLa,HeLa,an immortal human epithelial cell line,empty vector overexpression,missing,missing
