Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,sample type,geo_loc_name,collection_date
SRR26662586,4000000,3.04e+08,76,139,SRX22362670,GSM7881393,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410636,SAMN38086422,simple,9606,Homo sapiens,GSM7881393,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B1,Human Dermal Fibroblasts,Human Dermal Fibroblasts,WT,Isolated Focal Adhesions,missing,missing
SRR26662587,1500009,114000684,76,58,SRX22362670,GSM7881393,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410636,SAMN38086422,simple,9606,Homo sapiens,GSM7881393,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B1,Human Dermal Fibroblasts,Human Dermal Fibroblasts,WT,Isolated Focal Adhesions,missing,missing
SRR26662588,4000000,3.04e+08,76,144,SRX22362670,GSM7881393,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410636,SAMN38086422,simple,9606,Homo sapiens,GSM7881393,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B1,Human Dermal Fibroblasts,Human Dermal Fibroblasts,WT,Isolated Focal Adhesions,missing,missing
SRR26662589,4000000,3.04e+08,76,144,SRX22362670,GSM7881393,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410636,SAMN38086422,simple,9606,Homo sapiens,GSM7881393,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B1,Human Umbilical Vein Endothelial Cells,Human Umbilical Vein Endothelial Cells,WT,Isolated Focal Adhesions,missing,missing
SRR26662590,4000000,3.04e+08,76,143,SRX22362670,GSM7881393,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410636,SAMN38086422,simple,9606,Homo sapiens,GSM7881393,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B1,Human Umbilical Vein Endothelial Cells,Human Umbilical Vein Endothelial Cells,WT,Isolated Focal Adhesions,missing,missing
SRR26662591,4000000,3.04e+08,76,147,SRX22362670,GSM7881393,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410636,SAMN38086422,simple,9606,Homo sapiens,GSM7881393,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B1,Human Umbilical Vein Endothelial Cells,Human Umbilical Vein Endothelial Cells,WT,Isolated Focal Adhesions,missing,missing
SRR26662592,4000000,3.04e+08,76,138,SRX22362670,GSM7881393,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410636,SAMN38086422,simple,9606,Homo sapiens,GSM7881393,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B1,Human Dermal Fibroblasts,Human Dermal Fibroblasts,WT,Whole Cell,missing,missing
SRR26662593,4000000,3.04e+08,76,147,SRX22362670,GSM7881393,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410636,SAMN38086422,simple,9606,Homo sapiens,GSM7881393,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B1,Human Dermal Fibroblasts,Human Dermal Fibroblasts,WT,Whole Cell,missing,missing
SRR26662594,4000000,3.04e+08,76,138,SRX22362670,GSM7881393,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410636,SAMN38086422,simple,9606,Homo sapiens,GSM7881393,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B1,Human Dermal Fibroblasts,Human Dermal Fibroblasts,WT,Isolated Focal Adhesions,missing,missing
SRR26662595,4000000,3.04e+08,76,144,SRX22362670,GSM7881393,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410636,SAMN38086422,simple,9606,Homo sapiens,GSM7881393,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B1,Human Dermal Fibroblasts,Human Dermal Fibroblasts,WT,Isolated Focal Adhesions,missing,missing
SRR26662578,4000000,3.04e+08,76,139,SRX22362671,GSM7881394,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410637,SAMN38086421,simple,9606,Homo sapiens,GSM7881394,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B2,Human Dermal Fibroblasts,Human Dermal Fibroblasts,WT,Isolated Focal Adhesions,missing,missing
SRR26662579,4000000,3.04e+08,76,147,SRX22362671,GSM7881394,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410637,SAMN38086421,simple,9606,Homo sapiens,GSM7881394,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B2,Human Umbilical Vein Endothelial Cells,Human Umbilical Vein Endothelial Cells,WT,Isolated Focal Adhesions,missing,missing
SRR26662580,4000000,3.04e+08,76,140,SRX22362671,GSM7881394,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP470048,PRJNA1035318,,"",SRS19410637,SAMN38086421,simple,9606,Homo sapiens,GSM7881394,Yale University,SRA1744748,04,2024,Wang,Human Dermal Fibroblasts,HDF_adhesion_RPF_B2,Human Umbilical Vein Endothelial Cells,Human Umbilical Vein Endothelial Cells,WT,Isolated Focal Adhesions,missing,missing
