Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment,rnasei treatment,geo_loc_name,collection_date
SRR26965541,57749422,2154304380,37,794,SRX22659178,GSM7919132,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654813,SAMN38457822,simple,10090,Mus musculus,GSM7919132,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF2i, Rep3, Ribo-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF/2i,no,missing,missing
SRR26965540,95877469,3389763505,35,1252,SRX22659179,GSM7919133,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654815,SAMN38457821,simple,10090,Mus musculus,GSM7919133,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF2i, Rep2, Ribo-Seq (RNaseI)",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF/2i,yes,missing,missing
SRR26965536,71449660,2634639371,36,970,SRX22659180,GSM7919134,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654814,SAMN38457820,simple,10090,Mus musculus,GSM7919134,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF2i, Rep2, Ribo-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF/2i,no,missing,missing
SRR26965535,189881696,6881727369,36,2532,SRX22659181,GSM7919135,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654816,SAMN38457819,simple,10090,Mus musculus,GSM7919135,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF2i, Rep1, Ribo-Seq (RNaseI)",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF/2i,yes,missing,missing
SRR26965537,68033127,2528362415,37,926,SRX22659182,GSM7919136,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654817,SAMN38457818,simple,10090,Mus musculus,GSM7919136,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF2i, Rep1, Ribo-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF/2i,no,missing,missing
SRR26965534,87358949,3310039381,37,1226,SRX22659183,GSM7919139,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654818,SAMN38457815,simple,10090,Mus musculus,GSM7919139,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF, Rep2, Ribo-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF,no,missing,missing
SRR26965538,54495516,1947466293,35,727,SRX22659184,GSM7919138,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654819,SAMN38457816,simple,10090,Mus musculus,GSM7919138,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF, Rep2, Ribo-Seq (RNaseI)",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF,yes,missing,missing
SRR26965533,108419754,4150540005,38,1532,SRX22659185,GSM7919137,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654820,SAMN38457817,simple,10090,Mus musculus,GSM7919137,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF, Rep3, Ribo-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF,no,missing,missing
SRR26965539,56286919,2202907559,39,813,SRX22659186,GSM7919149,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654821,SAMN38457805,simple,10090,Mus musculus,GSM7919149,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, KI, LIF, Rep2, Ribo-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}A/A (KI),LIF,no,missing,missing
SRR26965532,25721224,915081296,35,349,SRX22659187,GSM7919148,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654826,SAMN38457806,simple,10090,Mus musculus,GSM7919148,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, KI, LIF, Rep2, Ribo-Seq (RNaseI)",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}A/A (KI),LIF,yes,missing,missing
SRR26965528,57087714,2235691807,39,806,SRX22659188,GSM7919146,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654822,SAMN38457808,simple,10090,Mus musculus,GSM7919146,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, KI, LIF2i, Rep1, Ribo-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}A/A (KI),LIF/2i,no,missing,missing
SRR26965527,67219903,2659739929,39,979,SRX22659189,GSM7919147,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654823,SAMN38457807,simple,10090,Mus musculus,GSM7919147,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, KI, LIF, Rep3, Ribo-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}A/A (KI),LIF,no,missing,missing
SRR26965526,168876055,5827597176,34,2187,SRX22659190,GSM7919145,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654824,SAMN38457809,simple,10090,Mus musculus,GSM7919145,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, KI, LIF2i, Rep1, Ribo-Seq (RNaseI)",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}A/A (KI),LIF/2i,yes,missing,missing
SRR26965529,50849135,2026572332,39,730,SRX22659191,GSM7919144,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654825,SAMN38457810,simple,10090,Mus musculus,GSM7919144,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, KI, LIF2i, Rep2, Ribo-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}A/A (KI),LIF/2i,no,missing,missing
SRR26965525,59123328,2047592597,34,771,SRX22659192,GSM7919143,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474580,PRJNA1045657,1,"",SRS19654827,SAMN38457811,simple,10090,Mus musculus,GSM7919143,"Biochemistry, McGill University",SRA1759462,12,2023,Makar,mouse embryonic stem cells,"mESC, KI, LIF2i, Rep2, Ribo-Seq (RNaseI)",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}A/A (KI),LIF/2i,yes,missing,missing
