Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment,geo_loc_name,collection_date
SRR26965470,27401769,1043996704,38,393,SRX22659115,GSM7919152,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474572,PRJNA1045659,1,"",SRS19654754,SAMN38457673,simple,10090,Mus musculus,GSM7919152,"Biochemistry, McGill University",SRA1758970,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF2i, Rep3, RNA-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF/2i,missing,missing
SRR26965469,71459877,2678756778,37,1000,SRX22659116,GSM7919153,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474572,PRJNA1045659,1,"",SRS19654755,SAMN38457672,simple,10090,Mus musculus,GSM7919153,"Biochemistry, McGill University",SRA1758970,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF2i, Rep2, RNA-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF/2i,missing,missing
SRR26965468,66026582,2345043072,35,884,SRX22659117,GSM7919154,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474572,PRJNA1045659,1,"",SRS19654756,SAMN38457671,simple,10090,Mus musculus,GSM7919154,"Biochemistry, McGill University",SRA1758970,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF2i, Rep1, RNA-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF/2i,missing,missing
SRR26965467,46087249,1813548487,39,665,SRX22659118,GSM7919155,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474572,PRJNA1045659,1,"",SRS19654757,SAMN38457670,simple,10090,Mus musculus,GSM7919155,"Biochemistry, McGill University",SRA1758970,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF, Rep3, RNA-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF,missing,missing
SRR26965466,46803828,1963734350,41,717,SRX22659119,GSM7919156,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474572,PRJNA1045659,1,"",SRS19654758,SAMN38457669,simple,10090,Mus musculus,GSM7919156,"Biochemistry, McGill University",SRA1758970,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF, Rep2, RNA-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF,missing,missing
SRR26965465,44174449,1743062061,39,639,SRX22659120,GSM7919157,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474572,PRJNA1045659,1,"",SRS19654759,SAMN38457668,simple,10090,Mus musculus,GSM7919157,"Biochemistry, McGill University",SRA1758970,12,2023,Makar,mouse embryonic stem cells,"mESC, WT, LIF, Rep1, RNA-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}+/+ (WT),LIF,missing,missing
SRR26965464,46801299,1728493483,36,652,SRX22659121,GSM7919158,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474572,PRJNA1045659,1,"",SRS19654760,SAMN38457667,simple,10090,Mus musculus,GSM7919158,"Biochemistry, McGill University",SRA1758970,12,2023,Makar,mouse embryonic stem cells,"mESC, KI, LIF2i, Rep3, RNA-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}A/A (KI),LIF/2i,missing,missing
SRR26965463,65294092,2544640856,38,944,SRX22659122,GSM7919159,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474572,PRJNA1045659,1,"",SRS19654761,SAMN38457666,simple,10090,Mus musculus,GSM7919159,"Biochemistry, McGill University",SRA1758970,12,2023,Makar,mouse embryonic stem cells,"mESC, KI, LIF2i, Rep2, RNA-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}A/A (KI),LIF/2i,missing,missing
SRR26965462,75741000,2956173500,39,1090,SRX22659123,GSM7919160,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474572,PRJNA1045659,1,"",SRS19654762,SAMN38457665,simple,10090,Mus musculus,GSM7919160,"Biochemistry, McGill University",SRA1758970,12,2023,Makar,mouse embryonic stem cells,"mESC, KI, LIF2i, Rep1, RNA-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}A/A (KI),LIF/2i,missing,missing
SRR26965461,13834172,562314004,40,209,SRX22659124,GSM7919161,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474572,PRJNA1045659,1,"",SRS19654763,SAMN38457664,simple,10090,Mus musculus,GSM7919161,"Biochemistry, McGill University",SRA1758970,12,2023,Makar,mouse embryonic stem cells,"mESC, KI, LIF, Rep3, RNA-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}A/A (KI),LIF,missing,missing
SRR26965460,28925656,1193196157,41,438,SRX22659125,GSM7919162,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP474572,PRJNA1045659,1,"",SRS19654764,SAMN38457663,simple,10090,Mus musculus,GSM7919162,"Biochemistry, McGill University",SRA1758970,12,2023,Makar,mouse embryonic stem cells,"mESC, KI, LIF, Rep2, RNA-Seq",mouse embryonic stem cells,mouse embryonic stem cells,eIF2{alpha}A/A (KI),LIF,missing,missing
