Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment,time,geo_loc_name,collection_date
SRR26987927,10995704,1637181745,74,574,SRX22681062,GSM7923045,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675874,SAMN38500444,simple,9606,Homo sapiens,GSM7923045,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"Mock, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,Mock,24 h,missing,missing
SRR26987928,11069074,1648091733,74,579,SRX22681062,GSM7923045,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675874,SAMN38500444,simple,9606,Homo sapiens,GSM7923045,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"Mock, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,Mock,24 h,missing,missing
SRR26987929,11295922,1681866018,74,596,SRX22681062,GSM7923045,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675874,SAMN38500444,simple,9606,Homo sapiens,GSM7923045,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"Mock, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,HCMV (TB40E),24 h,missing,missing
SRR26987930,11157169,1661231535,74,587,SRX22681062,GSM7923045,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675874,SAMN38500444,simple,9606,Homo sapiens,GSM7923045,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"Mock, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,HCMV (TB40E),24 h,missing,missing
SRR26987923,11190317,1664131455,74,586,SRX22681063,GSM7923046,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675875,SAMN38500443,simple,9606,Homo sapiens,GSM7923046,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"Mock, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,GMCSF (100ng/mL),24 h,missing,missing
SRR26987924,11237272,1671157115,74,589,SRX22681063,GSM7923046,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675875,SAMN38500443,simple,9606,Homo sapiens,GSM7923046,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"Mock, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,GMCSF (100ng/mL),24 h,missing,missing
SRR26987925,11486818,1708262524,74,607,SRX22681063,GSM7923046,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675875,SAMN38500443,simple,9606,Homo sapiens,GSM7923046,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"Mock, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,MCSF (100ng/mL),24 h,missing,missing
SRR26987926,11338498,1686185956,74,598,SRX22681063,GSM7923046,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675875,SAMN38500443,simple,9606,Homo sapiens,GSM7923046,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"Mock, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,MCSF (100ng/mL),24 h,missing,missing
SRR26987919,11253323,1675117089,74,592,SRX22681064,GSM7923047,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675876,SAMN38500442,simple,9606,Homo sapiens,GSM7923047,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"HCMV, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,Mock,24 h,missing,missing
SRR26987920,11302367,1682433598,74,594,SRX22681064,GSM7923047,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675876,SAMN38500442,simple,9606,Homo sapiens,GSM7923047,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"HCMV, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,Mock,24 h,missing,missing
SRR26987921,11551683,1719564051,74,613,SRX22681064,GSM7923047,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675876,SAMN38500442,simple,9606,Homo sapiens,GSM7923047,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"HCMV, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,HCMV (TB40E),24 h,missing,missing
SRR26987922,11381028,1694135251,74,602,SRX22681064,GSM7923047,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675876,SAMN38500442,simple,9606,Homo sapiens,GSM7923047,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"HCMV, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,HCMV (TB40E),24 h,missing,missing
SRR26987915,10356422,1540732256,74,550,SRX22681065,GSM7923048,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675877,SAMN38500441,simple,9606,Homo sapiens,GSM7923048,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"HCMV, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,GMCSF (100ng/mL),24 h,missing,missing
SRR26987916,10396667,1546747489,74,552,SRX22681065,GSM7923048,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675877,SAMN38500441,simple,9606,Homo sapiens,GSM7923048,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"HCMV, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,GMCSF (100ng/mL),24 h,missing,missing
SRR26987917,10645780,1583816348,74,571,SRX22681065,GSM7923048,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675877,SAMN38500441,simple,9606,Homo sapiens,GSM7923048,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"HCMV, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,MCSF (100ng/mL),24 h,missing,missing
SRR26987918,10501627,1562357928,74,561,SRX22681065,GSM7923048,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675877,SAMN38500441,simple,9606,Homo sapiens,GSM7923048,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"HCMV, Polysome-associated PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,MCSF (100ng/mL),24 h,missing,missing
SRR26987911,9977866,1485885988,74,526,SRX22681066,GSM7923049,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675879,SAMN38500440,simple,9606,Homo sapiens,GSM7923049,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"GMCSF, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,Mock,24 h,missing,missing
SRR26987912,10034036,1494237404,74,529,SRX22681066,GSM7923049,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675879,SAMN38500440,simple,9606,Homo sapiens,GSM7923049,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"GMCSF, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,Mock,24 h,missing,missing
SRR26987913,10243110,1525414129,74,544,SRX22681066,GSM7923049,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP474910,PRJNA1046463,38289104,"",SRS19675879,SAMN38500440,simple,9606,Homo sapiens,GSM7923049,SUNY Upstate Medical University,SRA1759980,01,2024,Miller,Peripheral Blood Monocyte,"GMCSF, Bulk PolyA RNA",Peripheral Blood Monocyte,Peripheral Blood Monocyte,WT,HCMV (TB40E),24 h,missing,missing
