Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,shRNA,cell type,treatment,geo_loc_name,collection_date
SRR27012955,34209857,2565739275,75,925,SRX22705611,GSM7927045,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697915,SAMN38562260,simple,9606,Homo sapiens,GSM7927045,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, uninduced, repl 1 [NTC_min_Tot_1]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012954,16479462,1235959650,75,463,SRX22705612,GSM7927046,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697916,SAMN38562259,simple,9606,Homo sapiens,GSM7927046,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, uninduced, repl 2 [NTC_min_Tot_2]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012953,28260031,2119502325,75,796,SRX22705613,GSM7927047,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697917,SAMN38562258,simple,9606,Homo sapiens,GSM7927047,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, uninduced, repl 3 [NTC_min_Tot_3_c]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012952,16608624,1245646800,75,474,SRX22705614,GSM7927048,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697918,SAMN38562257,simple,9606,Homo sapiens,GSM7927048,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, uninduced, repl 4 [NTC_min_Tot_4]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012951,11656994,874274550,75,316,SRX22705615,GSM7927049,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697919,SAMN38562256,simple,9606,Homo sapiens,GSM7927049,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, induced, repl 1 [NTC_plus_Tot_1]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012950,12641526,948114450,75,354,SRX22705616,GSM7927050,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697920,SAMN38562255,simple,9606,Homo sapiens,GSM7927050,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, induced, repl 2 [NTC_plus_Tot_2]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012949,26837579,2012818425,75,755,SRX22705617,GSM7927051,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697921,SAMN38562254,simple,9606,Homo sapiens,GSM7927051,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, induced, repl 3 [NTC_plus_Tot_3_c]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012948,15661972,1174647900,75,445,SRX22705618,GSM7927052,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697922,SAMN38562253,simple,9606,Homo sapiens,GSM7927052,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shCTRL, induced, repl 4 [NTC_plus_Tot_4]",Colon,Colon,SW480,inducible shCTRL,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),missing,missing
SRR27012947,11035907,827693025,75,299,SRX22705619,GSM7927053,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697923,SAMN38562252,simple,9606,Homo sapiens,GSM7927053,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, uninduced, repl 1 [2B1_3A_min_Tot_1]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
SRR27012946,12356918,926768850,75,347,SRX22705620,GSM7927054,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475305,PRJNA1047524,,"",SRS19697924,SAMN38562251,simple,9606,Homo sapiens,GSM7927054,CRUK Scotland Institute,SRA1761190,01,2025,Schmidt,Colon,"SW480, shEIF2B1, uninduced, repl 2 [2B1_3A_min_Tot_2]",Colon,Colon,SW480,inducible shEIF2B1,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),missing,missing
