Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,library type,geo_loc_name,collection_date,treatment
SRR27099205,56673319,1448234555,25,778,SRX22788371,GSM7947742,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772416,SAMN38679097,simple,1423,Bacillus subtilis,GSM7947742,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 0h, prior to sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099204,30659420,1563630420,51,473,SRX22788372,GSM7947767,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772417,SAMN38679072,simple,1423,Bacillus subtilis,GSM7947767,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 4h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099203,32463745,802792295,24,424,SRX22788373,GSM7947768,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772418,SAMN38679071,simple,1423,Bacillus subtilis,GSM7947768,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 5h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099202,52312191,1280671227,24,704,SRX22788374,GSM7947769,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772420,SAMN38679070,simple,1423,Bacillus subtilis,GSM7947769,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 5h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099201,30790636,789153438,25,411,SRX22788375,GSM7947770,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772419,SAMN38679069,simple,1423,Bacillus subtilis,GSM7947770,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 6h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099200,31210893,776435564,24,427,SRX22788376,GSM7947771,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772421,SAMN38679068,simple,1423,Bacillus subtilis,GSM7947771,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 6h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099199,21701891,676535096,31,321,SRX22788377,GSM7947772,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772422,SAMN38679067,simple,1423,Bacillus subtilis,GSM7947772,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 7h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099198,27089803,808260248,29,393,SRX22788378,GSM7947773,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772423,SAMN38679066,simple,1423,Bacillus subtilis,GSM7947773,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 7h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099197,42803821,2182994871,51,669,SRX22788379,GSM7947743,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772424,SAMN38679096,simple,1423,Bacillus subtilis,GSM7947743,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 0h, prior to sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099196,33034716,849392503,25,455,SRX22788380,GSM7947744,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772425,SAMN38679095,simple,1423,Bacillus subtilis,GSM7947744,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 1h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099195,35052079,1189999298,33,561,SRX22788381,GSM7947745,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772426,SAMN38679094,simple,1423,Bacillus subtilis,GSM7947745,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 1h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099194,50899781,1256745531,24,690,SRX22788382,GSM7947746,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772427,SAMN38679093,simple,1423,Bacillus subtilis,GSM7947746,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 2h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099192,49841979,1313490832,26,696,SRX22788384,GSM7947748,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772430,SAMN38679091,simple,1423,Bacillus subtilis,GSM7947748,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 3h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099191,29511867,1505105217,51,463,SRX22788385,GSM7947749,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772429,SAMN38679090,simple,1423,Bacillus subtilis,GSM7947749,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 3h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099190,43232632,1029590748,23,570,SRX22788386,GSM7947750,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772431,SAMN38679089,simple,1423,Bacillus subtilis,GSM7947750,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 4h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099189,29602364,1509720564,51,454,SRX22788387,GSM7947751,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772432,SAMN38679088,simple,1423,Bacillus subtilis,GSM7947751,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 4h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099188,29200021,710080030,24,377,SRX22788388,GSM7947752,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772433,SAMN38679087,simple,1423,Bacillus subtilis,GSM7947752,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 5h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099187,23114051,590432537,25,312,SRX22788389,GSM7947753,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772435,SAMN38679086,simple,1423,Bacillus subtilis,GSM7947753,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 5h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099186,49971676,1240970957,24,657,SRX22788390,GSM7947754,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772434,SAMN38679085,simple,1423,Bacillus subtilis,GSM7947754,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 6h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099185,31774003,771900331,24,414,SRX22788391,GSM7947755,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772436,SAMN38679084,simple,1423,Bacillus subtilis,GSM7947755,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 6h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099183,27194317,655031123,24,354,SRX22788393,GSM7947757,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772438,SAMN38679082,simple,1423,Bacillus subtilis,GSM7947757,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_WT 7h post sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing,
SRR27099182,44174911,1055927796,23,579,SRX22788394,GSM7947758,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772439,SAMN38679081,simple,1423,Bacillus subtilis,GSM7947758,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 0h, prior to sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing,
SRR27099181,59404530,3029631030,51,902,SRX22788395,GSM7947759,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,,"",SRS19772442,SAMN38679080,simple,1423,Bacillus subtilis,GSM7947759,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Starosta,strain 168,"RNA-seq_3KO 0h, prior to sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing,
