Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,library type,treatment,geo_loc_name,collection_date
SRR27103833,31379524,1600355724,51,471,SRX22792999,GSM7947719,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777023,SAMN38687213,simple,1423,Bacillus subtilis,GSM7947719,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 4h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103832,28306098,657986224,23,351,SRX22793000,GSM7947720,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777024,SAMN38687212,simple,1423,Bacillus subtilis,GSM7947720,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 5h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103831,22038048,521749395,23,272,SRX22793001,GSM7947721,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777025,SAMN38687211,simple,1423,Bacillus subtilis,GSM7947721,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 5h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103830,30163188,711744085,23,372,SRX22793002,GSM7947722,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777026,SAMN38687210,simple,1423,Bacillus subtilis,GSM7947722,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 6h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103829,40227476,906335835,22,480,SRX22793003,GSM7947723,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777027,SAMN38687209,simple,1423,Bacillus subtilis,GSM7947723,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 6h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103828,29420001,672520621,22,359,SRX22793004,GSM7947724,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777028,SAMN38687208,simple,1423,Bacillus subtilis,GSM7947724,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 7h post sporulation induction, replicate 1",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103827,27743618,639760601,23,341,SRX22793005,GSM7947725,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777029,SAMN38687207,simple,1423,Bacillus subtilis,GSM7947725,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"WT 7h post sporulation induction, replicate 2",strain 168,strain 168,WT,RIBO-seq,bacterial cells,missing,missing
SRR27103826,28248741,666096514,23,349,SRX22793006,GSM7947726,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777030,SAMN38687206,simple,1423,Bacillus subtilis,GSM7947726,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 0h, prior to sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103825,46491873,2371085523,51,704,SRX22793007,GSM7947727,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777031,SAMN38687205,simple,1423,Bacillus subtilis,GSM7947727,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 0h, prior to sporulation induction, replicate 2",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103824,40987874,960749833,23,523,SRX22793008,GSM7947728,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777032,SAMN38687204,simple,1423,Bacillus subtilis,GSM7947728,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 1h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
SRR27103823,44965940,1049531272,23,572,SRX22793009,GSM7947729,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP476021,PRJNA1049048,1,"",SRS19777033,SAMN38687203,simple,1423,Bacillus subtilis,GSM7947729,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763564,12,2023,Makar,strain 168,"3KO 1h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RIBO-seq,bacterial cells,missing,missing
