Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,library type,geo_loc_name,collection_date
SRR27099205,56673319,1448234555,25,778,SRX22788371,GSM7947742,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772416,SAMN38679097,simple,1423,Bacillus subtilis,GSM7947742,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 0h, prior to sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099204,30659420,1563630420,51,473,SRX22788372,GSM7947767,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772417,SAMN38679072,simple,1423,Bacillus subtilis,GSM7947767,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 4h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099203,32463745,802792295,24,424,SRX22788373,GSM7947768,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772418,SAMN38679071,simple,1423,Bacillus subtilis,GSM7947768,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 5h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099202,52312191,1280671227,24,704,SRX22788374,GSM7947769,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772420,SAMN38679070,simple,1423,Bacillus subtilis,GSM7947769,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 5h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099201,30790636,789153438,25,411,SRX22788375,GSM7947770,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772419,SAMN38679069,simple,1423,Bacillus subtilis,GSM7947770,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 6h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099200,31210893,776435564,24,427,SRX22788376,GSM7947771,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772421,SAMN38679068,simple,1423,Bacillus subtilis,GSM7947771,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 6h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099199,21701891,676535096,31,321,SRX22788377,GSM7947772,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772422,SAMN38679067,simple,1423,Bacillus subtilis,GSM7947772,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 7h post sporulation induction, replicate 1",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099198,27089803,808260248,29,393,SRX22788378,GSM7947773,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772423,SAMN38679066,simple,1423,Bacillus subtilis,GSM7947773,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_3KO 7h post sporulation induction, replicate 2",strain 168,strain 168,3KO,RNA-seq,missing,missing
SRR27099197,42803821,2182994871,51,669,SRX22788379,GSM7947743,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772424,SAMN38679096,simple,1423,Bacillus subtilis,GSM7947743,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 0h, prior to sporulation induction, replicate 2",strain 168,strain 168,WT,RNA-seq,missing,missing
SRR27099196,33034716,849392503,25,455,SRX22788380,GSM7947744,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP475999,PRJNA1049049,1,"",SRS19772425,SAMN38679095,simple,1423,Bacillus subtilis,GSM7947744,"Laboratory of Translatomics, Institute of Biochemistry and Biophysics Polish Academy of Sciences",SRA1763635,12,2023,Makar,strain 168,"RNA-seq_WT 1h post sporulation induction, replicate 1",strain 168,strain 168,WT,RNA-seq,missing,missing
