Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,mouse id,Sex,genotype,time,treatment,fraction,geo_loc_name,collection_date
SRR27184628,8451472,633860400,75,242,SRX22864860,GSM7968146,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477496,PRJNA1051495,,"",SRS19839097,SAMN38776585,simple,10090,Mus musculus,GSM7968146,CRUK Scotland Institute,SRA1767438,02,2024,Giacomelli,Small intestine epithelial extractions,NPM_WT_1_Totals,Small intestine epithelial extractions,Small intestine epithelial extractions,RUB41.2c,male,Villin-CreER-T2 Apc fl/fl Kras G12D/+,3 days post-induction,Tamoxifen (80mg/kg),Total Cytoplasmic RNA from undigested lysate,missing,missing
SRR27184627,8786820,659011500,75,252,SRX22864861,GSM7968147,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477496,PRJNA1051495,,"",SRS19839098,SAMN38776584,simple,10090,Mus musculus,GSM7968147,CRUK Scotland Institute,SRA1767438,02,2024,Giacomelli,Small intestine epithelial extractions,NPM_WT_2_Totals,Small intestine epithelial extractions,Small intestine epithelial extractions,RUB42.2b,male,Villin-CreER-T2 Apc fl/fl Kras G12D/+,3 days post-induction,Tamoxifen (80mg/kg),Total Cytoplasmic RNA from undigested lysate,missing,missing
SRR27184626,8371674,627875550,75,240,SRX22864862,GSM7968148,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477496,PRJNA1051495,,"",SRS19839099,SAMN38776583,simple,10090,Mus musculus,GSM7968148,CRUK Scotland Institute,SRA1767438,02,2024,Giacomelli,Small intestine epithelial extractions,NPM_WT_3_Totals,Small intestine epithelial extractions,Small intestine epithelial extractions,RUB37.6b,female,Villin-CreER-T2 Apc fl/fl Kras G12D/+,3 days post-induction,Tamoxifen (80mg/kg),Total Cytoplasmic RNA from undigested lysate,missing,missing
SRR27184625,8997836,674837700,75,256,SRX22864863,GSM7968149,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477496,PRJNA1051495,,"",SRS19839100,SAMN38776582,simple,10090,Mus musculus,GSM7968149,CRUK Scotland Institute,SRA1767438,02,2024,Giacomelli,Small intestine epithelial extractions,NPM_WT_4_Totals,Small intestine epithelial extractions,Small intestine epithelial extractions,RUB42.2d,male,Villin-CreER-T2 Apc fl/fl Kras G12D/+,3 days post-induction,Tamoxifen (80mg/kg),Total Cytoplasmic RNA from undigested lysate,missing,missing
SRR27184624,9155299,686647425,75,260,SRX22864864,GSM7968150,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477496,PRJNA1051495,,"",SRS19839102,SAMN38776581,simple,10090,Mus musculus,GSM7968150,CRUK Scotland Institute,SRA1767438,02,2024,Giacomelli,Small intestine epithelial extractions,NPM_KO_1_Totals,Small intestine epithelial extractions,Small intestine epithelial extractions,RUB40.3a,male,Villin-CreER-T2 Apc fl/fl Kras G12D/+ Npm1 fl/fl,3 days post-induction,Tamoxifen (80mg/kg),Total Cytoplasmic RNA from undigested lysate,missing,missing
SRR27184623,8256242,619218150,75,236,SRX22864865,GSM7968151,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477496,PRJNA1051495,,"",SRS19839101,SAMN38776580,simple,10090,Mus musculus,GSM7968151,CRUK Scotland Institute,SRA1767438,02,2024,Giacomelli,Small intestine epithelial extractions,NPM_KO_2_Totals,Small intestine epithelial extractions,Small intestine epithelial extractions,RUB46.4a,male,Villin-CreER-T2 Apc fl/fl Kras G12D/+ Npm1 fl/fl,3 days post-induction,Tamoxifen (80mg/kg),Total Cytoplasmic RNA from undigested lysate,missing,missing
SRR27184622,6742413,505680975,75,198,SRX22864866,GSM7968152,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477496,PRJNA1051495,,"",SRS19839103,SAMN38776579,simple,10090,Mus musculus,GSM7968152,CRUK Scotland Institute,SRA1767438,02,2024,Giacomelli,Small intestine epithelial extractions,NPM_KO_3_Totals,Small intestine epithelial extractions,Small intestine epithelial extractions,RUB46.2g,female,Villin-CreER-T2 Apc fl/fl Kras G12D/+ Npm1 fl/fl,3 days post-induction,Tamoxifen (80mg/kg),Total Cytoplasmic RNA from undigested lysate,missing,missing
SRR27184621,6989261,524194575,75,202,SRX22864867,GSM7968153,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477496,PRJNA1051495,,"",SRS19839104,SAMN38776578,simple,10090,Mus musculus,GSM7968153,CRUK Scotland Institute,SRA1767438,02,2024,Giacomelli,Small intestine epithelial extractions,NPM_KO_4_Totals,Small intestine epithelial extractions,Small intestine epithelial extractions,RUB40.4d,male,Villin-CreER-T2 Apc fl/fl Kras G12D/+ Npm1 fl/fl,3 days post-induction,Tamoxifen (80mg/kg),Total Cytoplasmic RNA from undigested lysate,missing,missing
SRR27184620,38891653,2916873975,75,1120,SRX22864868,GSM7968154,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477496,PRJNA1051495,,"",SRS19839105,SAMN38776577,simple,10090,Mus musculus,GSM7968154,CRUK Scotland Institute,SRA1767438,02,2024,Giacomelli,Small intestine epithelial extractions,NPM_WT_1_RPFs,Small intestine epithelial extractions,Small intestine epithelial extractions,RUB41.2c,male,Villin-CreER-T2 Apc fl/fl Kras G12D/+,3 days post-induction,Tamoxifen (80mg/kg),Ribosome protected fragments,missing,missing
SRR27184619,35462212,2659665900,75,1015,SRX22864869,GSM7968155,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP477496,PRJNA1051495,,"",SRS19839106,SAMN38776576,simple,10090,Mus musculus,GSM7968155,CRUK Scotland Institute,SRA1767438,02,2024,Giacomelli,Small intestine epithelial extractions,NPM_WT_2_RPFs,Small intestine epithelial extractions,Small intestine epithelial extractions,RUB42.2b,male,Villin-CreER-T2 Apc fl/fl Kras G12D/+,3 days post-induction,Tamoxifen (80mg/kg),Ribosome protected fragments,missing,missing
