Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,geo_loc_name,collection_date
SRR27352862,6623933,493263453,74,169,SRX23029390,GSM7993248,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480176,PRJNA1057254,1,"",SRS19991274,SAMN39129110,simple,6239,Caenorhabditis elegans,GSM7993248,"Victor Ambros, Umass Medical School",SRA1775858,12,2023,Makar,whole animal,H751L.rep1.RNAseq,whole animal,whole animal,"alg-1(zen18,H751L)",missing,missing
SRR27352861,7007716,521988164,74,178,SRX23029391,GSM7993249,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480176,PRJNA1057254,1,"",SRS19991275,SAMN39129109,simple,6239,Caenorhabditis elegans,GSM7993249,"Victor Ambros, Umass Medical School",SRA1775858,12,2023,Makar,whole animal,H751L.rep2.RNAseq,whole animal,whole animal,"alg-1(zen18,H751L)",missing,missing
SRR27352860,8333062,618595984,74,211,SRX23029392,GSM7993250,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480176,PRJNA1057254,1,"",SRS19991276,SAMN39129108,simple,6239,Caenorhabditis elegans,GSM7993250,"Victor Ambros, Umass Medical School",SRA1775858,12,2023,Makar,whole animal,H751L.rep3.RNAseq,whole animal,whole animal,"alg-1(zen18,H751L)",missing,missing
SRR27352859,7134259,530937696,74,181,SRX23029393,GSM7993251,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480176,PRJNA1057254,1,"",SRS19991277,SAMN39129107,simple,6239,Caenorhabditis elegans,GSM7993251,"Victor Ambros, Umass Medical School",SRA1775858,12,2023,Makar,whole animal,null.rep1.RNAseq,whole animal,whole animal,"alg-1(tm492, 0)",missing,missing
SRR27352858,7250489,539356273,74,186,SRX23029394,GSM7993252,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480176,PRJNA1057254,1,"",SRS19991278,SAMN39129106,simple,6239,Caenorhabditis elegans,GSM7993252,"Victor Ambros, Umass Medical School",SRA1775858,12,2023,Makar,whole animal,null.rep2.RNAseq,whole animal,whole animal,"alg-1(tm492, 0)",missing,missing
SRR27352857,8292765,617163270,74,210,SRX23029395,GSM7993253,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480176,PRJNA1057254,1,"",SRS19991279,SAMN39129105,simple,6239,Caenorhabditis elegans,GSM7993253,"Victor Ambros, Umass Medical School",SRA1775858,12,2023,Makar,whole animal,null.rep3.RNAseq,whole animal,whole animal,"alg-1(tm492, 0)",missing,missing
SRR27352856,7640990,569034163,74,194,SRX23029396,GSM7993254,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480176,PRJNA1057254,1,"",SRS19991280,SAMN39129104,simple,6239,Caenorhabditis elegans,GSM7993254,"Victor Ambros, Umass Medical School",SRA1775858,12,2023,Makar,whole animal,WT.rep1.RNAseq,whole animal,whole animal,N2,missing,missing
SRR27352855,7031181,523584943,74,179,SRX23029397,GSM7993255,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480176,PRJNA1057254,1,"",SRS19991281,SAMN39129103,simple,6239,Caenorhabditis elegans,GSM7993255,"Victor Ambros, Umass Medical School",SRA1775858,12,2023,Makar,whole animal,WT.rep2.RNAseq,whole animal,whole animal,N2,missing,missing
SRR27352854,7437016,553861512,74,189,SRX23029398,GSM7993239,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480176,PRJNA1057254,1,"",SRS19991282,SAMN39129119,simple,6239,Caenorhabditis elegans,GSM7993239,"Victor Ambros, Umass Medical School",SRA1775858,12,2023,Makar,whole animal,F180del.rep1.RNAseq,whole animal,whole animal,"alg-1(ma447,F180del)",missing,missing
SRR27352853,7543014,561741597,74,192,SRX23029399,GSM7993240,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP480176,PRJNA1057254,1,"",SRS19991284,SAMN39129118,simple,6239,Caenorhabditis elegans,GSM7993240,"Victor Ambros, Umass Medical School",SRA1775858,12,2023,Makar,whole animal,F180del.rep2.RNAseq,whole animal,whole animal,"alg-1(ma447,F180del)",missing,missing
