Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,geo_loc_name,collection_date,treatment
SRR27466635,35110846,10533253800,150,3357,SRX23138179,GSM8006334,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089259,SAMN39308279,simple,9606,Homo sapiens,GSM8006334,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,m6A meRIP-NC-IP,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,
SRR27466634,21852762,6555828600,150,2183,SRX23138180,GSM8006333,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089260,SAMN39308280,simple,9606,Homo sapiens,GSM8006333,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,m6A meRIP-NC-INPUT,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,
SRR27466633,49680531,14623539319,147,4936,SRX23138181,GSM8006344,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089256,SAMN39308269,simple,9606,Homo sapiens,GSM8006344,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,Lenvatinib2,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,Lenvatinib
SRR27466632,49158849,14483658040,147,4872,SRX23138182,GSM8006343,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089255,SAMN39308270,simple,9606,Homo sapiens,GSM8006343,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,Lenvatinib1,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,Lenvatinib
SRR27466631,199945447,59983634100,150,20057,SRX23138183,GSM8006342,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089257,SAMN39308271,simple,9606,Homo sapiens,GSM8006342,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,ribo-YTHDF1-sh2,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,YTHDF1-sh2
SRR27466630,111063548,33319064400,150,10788,SRX23138184,GSM8006341,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089258,SAMN39308272,simple,9606,Homo sapiens,GSM8006341,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,ribo-shNC,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,shNC
SRR27466629,26138875,7841662500,150,2359,SRX23138185,GSM8006340,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089261,SAMN39308273,simple,9606,Homo sapiens,GSM8006340,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,YTHDF1-sh2-2,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,YTHDF1-sh2
SRR27466628,20948552,6284565600,150,1958,SRX23138186,GSM8006339,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089265,SAMN39308274,simple,9606,Homo sapiens,GSM8006339,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,YTHDF1-sh2-1,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,YTHDF1-sh2
SRR27466627,28192445,8457733500,150,2522,SRX23138187,GSM8006338,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089262,SAMN39308275,simple,9606,Homo sapiens,GSM8006338,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,shNC-2,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,shNC
SRR27466626,20067453,6020235900,150,1889,SRX23138188,GSM8006337,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP482599,PRJNA1062387,,"",SRS20089266,SAMN39308276,simple,9606,Homo sapiens,GSM8006337,Sun Yat-sen University First Affiliated Hospital,SRA1784944,01,2024,Zhang,Liver cancer,shNC-1,Liver cancer,Liver cancer,MHCC97H,Human liver cancer cells,missing,missing,shNC
