Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR27790709,29619553,1954890498,66,663,SRX23454863,GSM8047430,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486935,PRJNA1071171,,"",SRS20307891,SAMN39677037,simple,9606,Homo sapiens,GSM8047430,UCSF,SRA1794718,10,2024,Aghi,Bone,Riboseq_U2OSwt_DMSO_Rep1,Bone,Bone,U-2OS,epithelial,wild type,DMSO for 2 hours,missing,missing
SRR27790708,36280552,2394516432,66,810,SRX23454864,GSM8047431,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486935,PRJNA1071171,,"",SRS20307890,SAMN39677036,simple,9606,Homo sapiens,GSM8047431,UCSF,SRA1794718,10,2024,Aghi,Bone,Riboseq_U2OSwt_DMSO_Rep2,Bone,Bone,U-2OS,epithelial,wild type,DMSO for 2 hours,missing,missing
SRR27790707,25312062,1670596092,66,564,SRX23454865,GSM8047432,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486935,PRJNA1071171,,"",SRS20307892,SAMN39677035,simple,9606,Homo sapiens,GSM8047432,UCSF,SRA1794718,10,2024,Aghi,Bone,Riboseq_U2OS_G3BPKO_DMSO_Rep1,Bone,Bone,U-2OS,epithelial,"G3BP1/2 KO, G3BP deletions by CRISPR Cas9 machinery (doi: 10.1083/jcb.201508028)",DMSO for 2 hours,missing,missing
SRR27790706,40059671,2643938286,66,883,SRX23454866,GSM8047433,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486935,PRJNA1071171,,"",SRS20307893,SAMN39677034,simple,9606,Homo sapiens,GSM8047433,UCSF,SRA1794718,10,2024,Aghi,Bone,Riboseq_U2OS_G3BPKO_DMSO_Rep2,Bone,Bone,U-2OS,epithelial,"G3BP1/2 KO, G3BP deletions by CRISPR Cas9 machinery (doi: 10.1083/jcb.201508028)",DMSO for 2 hours,missing,missing
SRR27790705,17483678,1153922748,66,397,SRX23454867,GSM8047434,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486935,PRJNA1071171,,"",SRS20307894,SAMN39677033,simple,9606,Homo sapiens,GSM8047434,UCSF,SRA1794718,10,2024,Aghi,Bone,Riboseq_U2OS_G3BP1wt_DMSO_Rep1,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP1,DMSO for 2 hours,missing,missing
SRR27790704,33486449,2210105634,66,742,SRX23454868,GSM8047435,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486935,PRJNA1071171,,"",SRS20307895,SAMN39677032,simple,9606,Homo sapiens,GSM8047435,UCSF,SRA1794718,10,2024,Aghi,Bone,Riboseq_U2OS_G3BP1wt_DMSO_Rep2,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP1,DMSO for 2 hours,missing,missing
SRR27790703,38653888,2551156608,66,854,SRX23454869,GSM8047436,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486935,PRJNA1071171,,"",SRS20307896,SAMN39677031,simple,9606,Homo sapiens,GSM8047436,UCSF,SRA1794718,10,2024,Aghi,Bone,Riboseq_U2OS_G3BP2A_DMSO_Rep1,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP2A,DMSO for 2 hours,missing,missing
SRR27790702,50983562,3364915092,66,1157,SRX23454870,GSM8047437,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486935,PRJNA1071171,,"",SRS20307898,SAMN39677030,simple,9606,Homo sapiens,GSM8047437,UCSF,SRA1794718,10,2024,Aghi,Bone,Riboseq_U2OS_G3BP2A_DMSO_Rep2,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP2A,DMSO for 2 hours,missing,missing
SRR27790701,44543484,2939869944,66,959,SRX23454871,GSM8047438,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486935,PRJNA1071171,,"",SRS20307897,SAMN39677029,simple,9606,Homo sapiens,GSM8047438,UCSF,SRA1794718,10,2024,Aghi,Bone,Riboseq_U2OS_G3BP2B_DMSO_Rep1,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP2B,DMSO for 2 hours,missing,missing
SRR27790700,83403704,5504644464,66,1792,SRX23454872,GSM8047439,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP486935,PRJNA1071171,,"",SRS20307899,SAMN39677028,simple,9606,Homo sapiens,GSM8047439,UCSF,SRA1794718,10,2024,Aghi,Bone,Riboseq_U2OS_G3BP2B_DMSO_Rep2,Bone,Bone,U-2OS,epithelial,G3BP1/2 KO cells stably expressing transgenic mEGFP-G3BP2B,DMSO for 2 hours,missing,missing
