Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment,molecule subtype,geo_loc_name,collection_date
SRR27899688,49530525,2476526250,50,1024,SRX23559911,GSM8067246,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP488614,PRJNA1074242,38460518,"",SRS20406027,SAMN39854448,simple,10090,Mus musculus,GSM8067246,"Tumor Immunotherapy Program, University Health Network",SRA1799153,02,2024,St,CD8+ T cells,RPF-Halo-M1,CD8+ T cells,CD8+ T cells,C57BL/6,Halofuginone (Halo),ribosome-protected RNA Fragments (RPF),missing,missing
SRR27899687,42608248,2130412400,50,882,SRX23559912,GSM8067247,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP488614,PRJNA1074242,38460518,"",SRS20406029,SAMN39854447,simple,10090,Mus musculus,GSM8067247,"Tumor Immunotherapy Program, University Health Network",SRA1799153,02,2024,St,CD8+ T cells,RPF-Halo-M2,CD8+ T cells,CD8+ T cells,C57BL/6,Halofuginone (Halo),ribosome-protected RNA Fragments (RPF),missing,missing
SRR27899686,42089205,2104460250,50,867,SRX23559913,GSM8067248,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP488614,PRJNA1074242,38460518,"",SRS20406030,SAMN39854446,simple,10090,Mus musculus,GSM8067248,"Tumor Immunotherapy Program, University Health Network",SRA1799153,02,2024,St,CD8+ T cells,RPF-Halo-M3,CD8+ T cells,CD8+ T cells,C57BL/6,Halofuginone (Halo),ribosome-protected RNA Fragments (RPF),missing,missing
SRR27899685,48294986,2414749300,50,993,SRX23559914,GSM8067249,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP488614,PRJNA1074242,38460518,"",SRS20406033,SAMN39854445,simple,10090,Mus musculus,GSM8067249,"Tumor Immunotherapy Program, University Health Network",SRA1799153,02,2024,St,CD8+ T cells,RPF-Vehicle-M1,CD8+ T cells,CD8+ T cells,C57BL/6,Vehicle Control,ribosome-protected RNA Fragments (RPF),missing,missing
SRR27899684,42052576,2102628800,50,864,SRX23559915,GSM8067250,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP488614,PRJNA1074242,38460518,"",SRS20406028,SAMN39854444,simple,10090,Mus musculus,GSM8067250,"Tumor Immunotherapy Program, University Health Network",SRA1799153,02,2024,St,CD8+ T cells,RPF-Vehicle-M2,CD8+ T cells,CD8+ T cells,C57BL/6,Vehicle Control,ribosome-protected RNA Fragments (RPF),missing,missing
SRR27899683,50521439,2526071950,50,1036,SRX23559916,GSM8067251,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP488614,PRJNA1074242,38460518,"",SRS20406031,SAMN39854443,simple,10090,Mus musculus,GSM8067251,"Tumor Immunotherapy Program, University Health Network",SRA1799153,02,2024,St,CD8+ T cells,RPF-Vehicle-M3,CD8+ T cells,CD8+ T cells,C57BL/6,Vehicle Control,ribosome-protected RNA Fragments (RPF),missing,missing
SRR27899682,60776847,3038842350,50,1225,SRX23559917,GSM8067252,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP488614,PRJNA1074242,38460518,"",SRS20406032,SAMN39854442,simple,10090,Mus musculus,GSM8067252,"Tumor Immunotherapy Program, University Health Network",SRA1799153,02,2024,St,CD8+ T cells,Total-Halo-M1,CD8+ T cells,CD8+ T cells,C57BL/6,Halofuginone (Halo),,missing,missing
SRR27899681,38342368,1917118400,50,779,SRX23559918,GSM8067253,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP488614,PRJNA1074242,38460518,"",SRS20406037,SAMN39854441,simple,10090,Mus musculus,GSM8067253,"Tumor Immunotherapy Program, University Health Network",SRA1799153,02,2024,St,CD8+ T cells,Total-Halo-M2,CD8+ T cells,CD8+ T cells,C57BL/6,Halofuginone (Halo),,missing,missing
SRR27899680,47286725,2364336250,50,959,SRX23559919,GSM8067254,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP488614,PRJNA1074242,38460518,"",SRS20406034,SAMN39854440,simple,10090,Mus musculus,GSM8067254,"Tumor Immunotherapy Program, University Health Network",SRA1799153,02,2024,St,CD8+ T cells,Total-Halo-M3,CD8+ T cells,CD8+ T cells,C57BL/6,Halofuginone (Halo),,missing,missing
SRR27899679,52234215,2611710750,50,1062,SRX23559920,GSM8067255,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP488614,PRJNA1074242,38460518,"",SRS20406035,SAMN39854439,simple,10090,Mus musculus,GSM8067255,"Tumor Immunotherapy Program, University Health Network",SRA1799153,02,2024,St,CD8+ T cells,Total-Vehicle-M1,CD8+ T cells,CD8+ T cells,C57BL/6,Vehicle Control,,missing,missing
