Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,treatment,geo_loc_name,collection_date,type-material
SRR27982431,12806919,3842075700,150,2691,SRX23635796,GSM8081508,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP489882,PRJNA1076872,,"",SRS20471953,SAMN39954594,simple,5478,Nakaseomyces glabratus,GSM8081508,"Department of Internal Medicine, University of Miyazaki",SRA1803142,12,2024,Miyazaki,CBS138,"WT, no-drug, biol_rep1",CBS138,CBS138,wild-type,no-drug,missing,missing,type material of Cryptococcus glabratus
SRR27982430,12316072,3694821600,150,2577,SRX23635797,GSM8081509,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP489882,PRJNA1076872,,"",SRS20471954,SAMN39954593,simple,5478,Nakaseomyces glabratus,GSM8081509,"Department of Internal Medicine, University of Miyazaki",SRA1803142,12,2024,Miyazaki,CBS138,"WT, no-drug, biol_rep2",CBS138,CBS138,wild-type,no-drug,missing,missing,type material of Cryptococcus glabratus
SRR27982429,12348592,3704577600,150,2583,SRX23635798,GSM8081510,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP489882,PRJNA1076872,,"",SRS20471955,SAMN39954592,simple,5478,Nakaseomyces glabratus,GSM8081510,"Department of Internal Medicine, University of Miyazaki",SRA1803142,12,2024,Miyazaki,CBS138,"WT, no-drug, biol_rep3",CBS138,CBS138,wild-type,no-drug,missing,missing,type material of Cryptococcus glabratus
SRR27982428,12861357,3858407100,150,2714,SRX23635799,GSM8081511,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP489882,PRJNA1076872,,"",SRS20471957,SAMN39954591,simple,5478,Nakaseomyces glabratus,GSM8081511,"Department of Internal Medicine, University of Miyazaki",SRA1803142,12,2024,Miyazaki,CBS138,"WT, micafungin, biol_rep1",CBS138,CBS138,wild-type,micafungin,missing,missing,type material of Cryptococcus glabratus
SRR27982427,13073814,3922144200,150,2715,SRX23635800,GSM8081512,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP489882,PRJNA1076872,,"",SRS20471956,SAMN39954590,simple,5478,Nakaseomyces glabratus,GSM8081512,"Department of Internal Medicine, University of Miyazaki",SRA1803142,12,2024,Miyazaki,CBS138,"WT, micafungin, biol_rep2",CBS138,CBS138,wild-type,micafungin,missing,missing,type material of Cryptococcus glabratus
SRR27982426,13664160,4099248000,150,2852,SRX23635801,GSM8081513,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP489882,PRJNA1076872,,"",SRS20471959,SAMN39954589,simple,5478,Nakaseomyces glabratus,GSM8081513,"Department of Internal Medicine, University of Miyazaki",SRA1803142,12,2024,Miyazaki,CBS138,"WT, micafungin, biol_rep3",CBS138,CBS138,wild-type,micafungin,missing,missing,type material of Cryptococcus glabratus
SRR27982425,14942777,4482833100,150,3134,SRX23635802,GSM8081514,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP489882,PRJNA1076872,,"",SRS20471958,SAMN39954588,simple,5478,Nakaseomyces glabratus,GSM8081514,"Department of Internal Medicine, University of Miyazaki",SRA1803142,12,2024,Miyazaki,ipi1-R70H,"ipi1-R70H, no-drug, biol_rep1",ipi1-R70H,ipi1-R70H,G209A in IPI1,no-drug,missing,missing,
SRR27982424,13734287,4120286100,150,2889,SRX23635803,GSM8081515,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP489882,PRJNA1076872,,"",SRS20471960,SAMN39954587,simple,5478,Nakaseomyces glabratus,GSM8081515,"Department of Internal Medicine, University of Miyazaki",SRA1803142,12,2024,Miyazaki,ipi1-R70H,"ipi1-R70H, no-drug, biol_rep2",ipi1-R70H,ipi1-R70H,G209A in IPI1,no-drug,missing,missing,
SRR27982423,11738918,3521675400,150,2416,SRX23635804,GSM8081516,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP489882,PRJNA1076872,,"",SRS20471961,SAMN39954586,simple,5478,Nakaseomyces glabratus,GSM8081516,"Department of Internal Medicine, University of Miyazaki",SRA1803142,12,2024,Miyazaki,ipi1-R70H,"ipi1-R70H, no-drug, biol_rep3",ipi1-R70H,ipi1-R70H,G209A in IPI1,no-drug,missing,missing,
SRR27982422,12262427,3678728100,150,2547,SRX23635805,GSM8081517,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP489882,PRJNA1076872,,"",SRS20471962,SAMN39954585,simple,5478,Nakaseomyces glabratus,GSM8081517,"Department of Internal Medicine, University of Miyazaki",SRA1803142,12,2024,Miyazaki,ipi1-R70H,"ipi1-R70H, micafungin, biol_rep1",ipi1-R70H,ipi1-R70H,G209A in IPI1,micafungin,missing,missing,
