Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment,fraction,geo_loc_name,collection_date
SRR28092826,14145246,707262300,50,265,SRX23739167,GSM8111673,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP491726,PRJNA1080485,,"",SRS20566074,SAMN40135354,simple,10090,Mus musculus,GSM8111673,Nanjing agricultural university,SRA1809714,02,2024,Zhong,liver,"xz30, liver, CCL4 administration, immunoprecipitation",liver,liver,WT,CCL4 administration,immunoprecipitation,missing,missing
SRR28092825,12352810,617640500,50,234,SRX23739168,GSM8111674,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP491726,PRJNA1080485,,"",SRS20566075,SAMN40135353,simple,10090,Mus musculus,GSM8111674,Nanjing agricultural university,SRA1809714,02,2024,Zhong,liver,"xz31, liver, CCL4 administration, immunoprecipitation",liver,liver,WT,CCL4 administration,immunoprecipitation,missing,missing
SRR28092824,14390042,719502100,50,268,SRX23739169,GSM8111675,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP491726,PRJNA1080485,,"",SRS20566073,SAMN40135352,simple,10090,Mus musculus,GSM8111675,Nanjing agricultural university,SRA1809714,02,2024,Zhong,liver,"xz32, liver, CCL4 administration, immunoprecipitation",liver,liver,WT,CCL4 administration,immunoprecipitation,missing,missing
SRR28092823,11204193,560209650,50,213,SRX23739170,GSM8111676,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP491726,PRJNA1080485,,"",SRS20566070,SAMN40135351,simple,10090,Mus musculus,GSM8111676,Nanjing agricultural university,SRA1809714,02,2024,Zhong,liver,"xz36, liver, immunoprecipitation",liver,liver,WT,control,immunoprecipitation,missing,missing
SRR28092822,9374052,468702600,50,178,SRX23739171,GSM8111677,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP491726,PRJNA1080485,,"",SRS20566319,SAMN40135350,simple,10090,Mus musculus,GSM8111677,Nanjing agricultural university,SRA1809714,02,2024,Zhong,liver,"xz37, liver, immunoprecipitation",liver,liver,WT,control,immunoprecipitation,missing,missing
SRR28092821,14895380,744769000,50,277,SRX23739172,GSM8111678,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP491726,PRJNA1080485,,"",SRS20566072,SAMN40135349,simple,10090,Mus musculus,GSM8111678,Nanjing agricultural university,SRA1809714,02,2024,Zhong,liver,"xz38, liver, immunoprecipitation",liver,liver,WT,control,immunoprecipitation,missing,missing
SRR28092820,10651668,532583400,50,200,SRX23739173,GSM8111679,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP491726,PRJNA1080485,,"",SRS20566071,SAMN40135348,simple,10090,Mus musculus,GSM8111679,Nanjing agricultural university,SRA1809714,02,2024,Zhong,liver,"xz42, liver, CCL4 administration, Input",liver,liver,WT,CCL4 administration,Input,missing,missing
SRR28092819,10133086,506654300,50,187,SRX23739174,GSM8111680,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP491726,PRJNA1080485,,"",SRS20566621,SAMN40135347,simple,10090,Mus musculus,GSM8111680,Nanjing agricultural university,SRA1809714,02,2024,Zhong,liver,"xz43, liver, CCL4 administration, Input",liver,liver,WT,CCL4 administration,Input,missing,missing
SRR28092818,15061872,753093600,50,279,SRX23739175,GSM8111681,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP491726,PRJNA1080485,,"",SRS20566321,SAMN40135346,simple,10090,Mus musculus,GSM8111681,Nanjing agricultural university,SRA1809714,02,2024,Zhong,liver,"xz44, liver, CCL4 administration, Input",liver,liver,WT,CCL4 administration,Input,missing,missing
SRR28092817,13697900,684895000,50,256,SRX23739176,GSM8111682,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP491726,PRJNA1080485,,"",SRS20566322,SAMN40135345,simple,10090,Mus musculus,GSM8111682,Nanjing agricultural university,SRA1809714,02,2024,Zhong,liver,"xz48, liver, Input",liver,liver,WT,control,Input,missing,missing
SRR28092816,13955801,697790050,50,263,SRX23739177,GSM8111683,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP491726,PRJNA1080485,,"",SRS20566320,SAMN40135344,simple,10090,Mus musculus,GSM8111683,Nanjing agricultural university,SRA1809714,02,2024,Zhong,liver,"xz49, liver, Input",liver,liver,WT,control,Input,missing,missing
SRR28092815,14971566,748578300,50,279,SRX23739178,GSM8111684,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP491726,PRJNA1080485,,"",SRS20567103,SAMN40135343,simple,10090,Mus musculus,GSM8111684,Nanjing agricultural university,SRA1809714,02,2024,Zhong,liver,"xz50, liver, Input",liver,liver,WT,control,Input,missing,missing
