Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,treatment,cell type,geo_loc_name,collection_date
SRR28720825,9613641,425723447,44,345,SRX24287234,GSM8213945,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP502367,PRJNA1101459,,"",SRS21051758,SAMN40994842,simple,9606,Homo sapiens,GSM8213945,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1847645,10,2024,Schneider-Poetsch,HEK294T flip in,Disomes_Anisomycin 1,HEK294T flip in,wild type,Anisomycin 0.01 ug/ml,HEK294T flip in,missing,missing
SRR28720824,25694863,1188937148,46,932,SRX24287235,GSM8213946,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP502367,PRJNA1101459,,"",SRS21051759,SAMN40994841,simple,9606,Homo sapiens,GSM8213946,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1847645,10,2024,Schneider-Poetsch,HEK294T flip in,Disomes_Anisomycin 2,HEK294T flip in,wild type,Anisomycin 0.01 ug/ml,HEK294T flip in,missing,missing
SRR28720823,26187845,1137954228,43,931,SRX24287236,GSM8213947,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP502367,PRJNA1101459,,"",SRS21051760,SAMN40994840,simple,9606,Homo sapiens,GSM8213947,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1847645,10,2024,Schneider-Poetsch,HEK294T flip in,Disomes_CHX1,HEK294T flip in,wild type,CHX 1 uM,HEK294T flip in,missing,missing
SRR28720822,43096440,1912232273,44,1540,SRX24287237,GSM8213948,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP502367,PRJNA1101459,,"",SRS21051761,SAMN40994839,simple,9606,Homo sapiens,GSM8213948,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1847645,10,2024,Schneider-Poetsch,HEK294T flip in,Disomes_CHX2,HEK294T flip in,wild type,CHX 2 uM,HEK294T flip in,missing,missing
SRR28720820,21784107,1009027374,46,791,SRX24287238,GSM8213949,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP502367,PRJNA1101459,,"",SRS21051762,SAMN40994838,simple,9606,Homo sapiens,GSM8213949,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1847645,10,2024,Schneider-Poetsch,HEK294T flip in,Disomes_DMSO1,HEK294T flip in,wild type,DMSO1,HEK294T flip in,missing,missing
SRR28720819,16192012,708456279,43,576,SRX24287239,GSM8213950,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP502367,PRJNA1101459,,"",SRS21051763,SAMN40994837,simple,9606,Homo sapiens,GSM8213950,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1847645,10,2024,Schneider-Poetsch,HEK294T flip in,Disomes_DMSO2,HEK294T flip in,wild type,DMSO2,HEK294T flip in,missing,missing
SRR28720818,8943839,259709149,29,281,SRX24287240,GSM8213951,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP502367,PRJNA1101459,,"",SRS21051764,SAMN40994836,simple,9606,Homo sapiens,GSM8213951,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1847645,10,2024,Schneider-Poetsch,HEK294T flip in,Monosomes_Anisomycin1,HEK294T flip in,wild type,Anisomycin 0.01 ug/ml,HEK294T flip in,missing,missing
SRR28720821,120206314,3388668967,28,3755,SRX24287241,GSM8213952,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP502367,PRJNA1101459,,"",SRS21051765,SAMN40994835,simple,9606,Homo sapiens,GSM8213952,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1847645,10,2024,Schneider-Poetsch,HEK294T flip in,Monosomes_Anisomycin2,HEK294T flip in,wild type,Anisomycin 0.01 ug/ml,HEK294T flip in,missing,missing
SRR28720817,37252793,1069092613,28,1172,SRX24287242,GSM8213953,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP502367,PRJNA1101459,,"",SRS21051766,SAMN40994834,simple,9606,Homo sapiens,GSM8213953,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1847645,10,2024,Schneider-Poetsch,HEK294T flip in,Monosomes_CHX1,HEK294T flip in,wild type,CHX 1 uM,HEK294T flip in,missing,missing
SRR28720816,20495322,583783380,28,641,SRX24287243,GSM8213954,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP502367,PRJNA1101459,,"",SRS21051767,SAMN40994833,simple,9606,Homo sapiens,GSM8213954,"Chemical Genomics Research Group, Center for Sustainable Resource Science, RIKEN",SRA1847645,10,2024,Schneider-Poetsch,HEK294T flip in,Monosomes_CHX2,HEK294T flip in,wild type,CHX 2 uM,HEK294T flip in,missing,missing
