Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,developmental stage,cell type,genotype,treatment,geo_loc_name,collection_date
SRR28790269,20044802,6013440600,150,1901,SRX24354535,GSM8228785,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP503769,PRJNA1104180,,"",SRS21112309,SAMN41071447,simple,7955,Danio rerio,GSM8228785,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, RNAseq, low dose, uninj1",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,uninjected,missing,missing
SRR28790268,21903274,6570982200,150,2074,SRX24354536,GSM8228786,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP503769,PRJNA1104180,,"",SRS21112310,SAMN41071446,simple,7955,Danio rerio,GSM8228786,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, RNAseq, low dose, uninj2",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,uninjected,missing,missing
SRR28790267,22817677,6845303100,150,2148,SRX24354537,GSM8228787,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP503769,PRJNA1104180,,"",SRS21112303,SAMN41071445,simple,7955,Danio rerio,GSM8228787,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, RNAseq, low dose, uninj3",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,uninjected,missing,missing
SRR28790266,23091783,6927534900,150,2185,SRX24354538,GSM8228788,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP503769,PRJNA1104180,,"",SRS21112304,SAMN41071444,simple,7955,Danio rerio,GSM8228788,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, RNAseq, low dose, dsRNA1",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,dsRNA,missing,missing
SRR28790265,21297222,6389166600,150,2035,SRX24354539,GSM8228789,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP503769,PRJNA1104180,,"",SRS21112305,SAMN41071443,simple,7955,Danio rerio,GSM8228789,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, RNAseq, low dose, dsRNA2",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,dsRNA,missing,missing
SRR28790264,21244815,6373444500,150,2008,SRX24354540,GSM8228790,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP503769,PRJNA1104180,,"",SRS21112306,SAMN41071442,simple,7955,Danio rerio,GSM8228790,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, RNAseq, low dose, dsRNA3",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,dsRNA,missing,missing
SRR28790263,20737166,6221149800,150,1990,SRX24354541,GSM8228791,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP503769,PRJNA1104180,,"",SRS21112307,SAMN41071441,simple,7955,Danio rerio,GSM8228791,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, RNAseq, high dose, uninj1",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,uninjected,missing,missing
SRR28790262,19450446,5835133800,150,1854,SRX24354542,GSM8228792,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP503769,PRJNA1104180,,"",SRS21112308,SAMN41071440,simple,7955,Danio rerio,GSM8228792,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, RNAseq, high dose, uninj2",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,uninjected,missing,missing
SRR28790261,19527605,5858281500,150,1864,SRX24354543,GSM8228793,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP503769,PRJNA1104180,,"",SRS21112311,SAMN41071439,simple,7955,Danio rerio,GSM8228793,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, RNAseq, high dose, uninj3",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,uninjected,missing,missing
SRR28790260,21298193,6389457900,150,2054,SRX24354544,GSM8228794,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP503769,PRJNA1104180,,"",SRS21112312,SAMN41071438,simple,7955,Danio rerio,GSM8228794,ShanDong University,SRA1852128,04,2024,Feng,whole embryo,"Zebrafish, RNAseq, high dose, dsRNA1",whole embryo,whole embryo,50% epi stage,embryonic cell,wild type,dsRNA,missing,missing
