Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,cultivar,ecotype,age,dev_stage,collection_date,geo_loc_name,tissue,biomaterial_provider,cell_line,cell_type,collected_by,culture_collection,disease,disease_stage,genotype,growth_protocol,height_or_length,isolation_source,lat_lon,phenotype,population,sample_type,sex,specimen_voucher,temp,treatment,BioSampleModel
SRR28798905,28004216,2110319869,75,1021,SRX24362660,3h_WT_Mock_shoot,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP503925,PRJNA1104416,,"",SRS21120133,SAMN41077471,simple,39947,Oryza sativa Japonica Group,shoots of WT plants after mock treatment for 3 hours,Ghent university,SRA1852430,08,2024,Chen,"",3h_WT_Mock_shoot,from WT plants after 3 hr mock treatment,Nipponbare,not collected,14-day-old,not collected,2021-05,Belgium,shoot,Els Van Damme,not collected,not collected,Simin chen,not collected,not collected,not collected,not collected,not collected,not collected,not collected,not collected,wild type,for plants,tissue sample,not collected,not collected,28 degrees,the Hoagland solution with 0.1% (v/v) ethanol for 3 hours,Plant
SRR28798904,24856879,1873820452,75,908,SRX24362661,24h_WT_Mock_shoot,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP503925,PRJNA1104416,,"",SRS21120134,SAMN41077472,simple,39947,Oryza sativa Japonica Group,shoots of WT plants after mock treatment for 24 hours,Ghent university,SRA1852430,08,2024,Chen,"",24h_WT_Mock_shoot,from WT plants after 24 hr mock treatment,Nipponbare,not collected,15-day-old,not collected,2021-05,Belgium,shoot,Els Van Damme,not collected,not collected,Simin chen,not collected,not collected,not collected,not collected,not collected,not collected,not collected,not collected,wild type,for plants,tissue sample,not collected,not collected,28 degrees,the Hoagland solution with 0.1% (v/v) ethanol for 24 hours,Plant
SRR28798903,29560650,2228361660,75,1078,SRX24362662,3h_J_MeJA_shoot,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP503925,PRJNA1104416,,"",SRS21120135,SAMN41077481,simple,39947,Oryza sativa Japonica Group,shoots of plants over-expressing OsRIP1 (line J) after MeJA treatment for 3 hours,Ghent university,SRA1852430,08,2024,Chen,"",3h_J_MeJA_shoot,from plants over-expressing OsRIP1 (line J) after 3 hr MeJA treatment,Nipponbare,not collected,14-day-old,not collected,2021-05,Belgium,shoot,Els Van Damme,not collected,not collected,Simin chen,not collected,not collected,not collected,not collected,not collected,not collected,not collected,not collected,transgenic plants over-expressing OsRIP1 (line J),for plants,tissue sample,not collected,not collected,28 degrees,the Hoagland solution with 100 uM (v/v) methyl jasmonate for 3 hours,Plant
SRR28798902,26435886,1992557320,75,963,SRX24362663,24h_J_MeJA_shoot,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP503925,PRJNA1104416,,"",SRS21120136,SAMN41077482,simple,39947,Oryza sativa Japonica Group,shoots of plants over-expressing OsRIP1 (line J) after MeJA treatment for 24 hours,Ghent university,SRA1852430,08,2024,Chen,"",24h_J_MeJA_shoot,from plants over-expressing OsRIP1 (line J) after 24 hr MeJA treatment,Nipponbare,not collected,15-day-old,not collected,2021-05,Belgium,shoot,Els Van Damme,not collected,not collected,Simin chen,not collected,not collected,not collected,not collected,not collected,not collected,not collected,not collected,transgenic plants over-expressing OsRIP1 (line J),for plants,tissue sample,not collected,not collected,28 degrees,the Hoagland solution with 100 uM (v/v) methyl jasmonate for 24 hours,Plant
SRR28798901,27681060,2085211728,75,1008,SRX24362664,3h_J_Mock_root,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP503925,PRJNA1104416,,"",SRS21120137,SAMN41077483,simple,39947,Oryza sativa Japonica Group,roots of plants over-expressing OsRIP1 (line J) after mock treatment for 3 hours,Ghent university,SRA1852430,08,2024,Chen,"",3h_J_Mock_root,from plants over-expressing OsRIP1 (line J) after 3 hr mock treatment,Nipponbare,not collected,14-day-old,not collected,2021-05,Belgium,root,Els Van Damme,not collected,not collected,Simin chen,not collected,not collected,not collected,not collected,not collected,not collected,not collected,not collected,transgenic plants over-expressing OsRIP1 (line J),for plants,tissue sample,not collected,not collected,28 degrees,the Hoagland solution with 0.1% (v/v) ethanol for 3 hours,Plant
SRR28798900,25972338,1957103229,75,948,SRX24362665,24h_J_Mock_root,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP503925,PRJNA1104416,,"",SRS21120138,SAMN41077484,simple,39947,Oryza sativa Japonica Group,roots of plants over-expressing OsRIP1 (line J) after mock treatment for 24 hours,Ghent university,SRA1852430,08,2024,Chen,"",24h_J_Mock_root,from plants over-expressing OsRIP1 (line J) after 24 hr mock treatment,Nipponbare,not collected,15-day-old,not collected,2021-05,Belgium,root,Els Van Damme,not collected,not collected,Simin chen,not collected,not collected,not collected,not collected,not collected,not collected,not collected,not collected,transgenic plants over-expressing OsRIP1 (line J),for plants,tissue sample,not collected,not collected,28 degrees,the Hoagland solution with 0.1% (v/v) ethanol for 24 hours,Plant
SRR28798899,27929412,2104366707,75,1017,SRX24362666,3h_J_MeJA_root,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP503925,PRJNA1104416,,"",SRS21120139,SAMN41077485,simple,39947,Oryza sativa Japonica Group,roots of plants over-expressing OsRIP1 (line J) after MeJA treatment for 3 hours,Ghent university,SRA1852430,08,2024,Chen,"",3h_J_MeJA_root,from plants over-expressing OsRIP1 (line J) after 3 hr MeJA treatment,Nipponbare,not collected,14-day-old,not collected,2021-05,Belgium,root,Els Van Damme,not collected,not collected,Simin chen,not collected,not collected,not collected,not collected,not collected,not collected,not collected,not collected,transgenic plants over-expressing OsRIP1 (line J),for plants,tissue sample,not collected,not collected,28 degrees,the Hoagland solution with 100 uM (v/v) methyl jasmonate for 3 hours,Plant
SRR28798898,26781549,2018532599,75,980,SRX24362667,24h_J_MeJA_root,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP503925,PRJNA1104416,,"",SRS21120140,SAMN41077486,simple,39947,Oryza sativa Japonica Group,roots of plants over-expressing OsRIP1 (line J) after MeJA treatment for 24 hours,Ghent university,SRA1852430,08,2024,Chen,"",24h_J_MeJA_root,from plants over-expressing OsRIP1 (line J) after 24 hr MeJA treatment,Nipponbare,not collected,15-day-old,not collected,2021-05,Belgium,root,Els Van Damme,not collected,not collected,Simin chen,not collected,not collected,not collected,not collected,not collected,not collected,not collected,not collected,transgenic plants over-expressing OsRIP1 (line J),for plants,tissue sample,not collected,not collected,28 degrees,the Hoagland solution with 100 uM (v/v) methyl jasmonate for 24 hours,Plant
SRR28798897,26284245,1981322977,75,958,SRX24362668,3h_WT_MeJA_shoot,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP503925,PRJNA1104416,,"",SRS21120141,SAMN41077473,simple,39947,Oryza sativa Japonica Group,shoots of WT plants after MeJA treatment for 3 hours,Ghent university,SRA1852430,08,2024,Chen,"",3h_WT_MeJA_shoot,from WT plants after 3 hr MeJA treatment,Nipponbare,not collected,14-day-old,not collected,2021-05,Belgium,shoot,Els Van Damme,not collected,not collected,Simin chen,not collected,not collected,not collected,not collected,not collected,not collected,not collected,not collected,wild type,for plants,tissue sample,not collected,not collected,28 degrees,the Hoagland solution with 100 uM (v/v) methyl jasmonate for 3 hours,Plant
SRR28798896,24494135,1846766728,75,893,SRX24362669,24h_WT_MeJA_shoot,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP503925,PRJNA1104416,,"",SRS21120142,SAMN41077474,simple,39947,Oryza sativa Japonica Group,shoots of WT plants after MeJA treatment for 24 hours,Ghent university,SRA1852430,08,2024,Chen,"",24h_WT_MeJA_shoot,from WT plants after 24 hr MeJA treatment,Nipponbare,not collected,15-day-old,not collected,2021-05,Belgium,shoot,Els Van Damme,not collected,not collected,Simin chen,not collected,not collected,not collected,not collected,not collected,not collected,not collected,not collected,wild type,for plants,tissue sample,not collected,not collected,28 degrees,the Hoagland solution with 100 uM (v/v) methyl jasmonate for 24 hours,Plant
