Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,treatment,geo_loc_name,collection_date
SRR29088285,83650959,25095287700,150,8147,SRX24612403,GSM8281103,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349649,SAMN41462789,simple,10090,Mus musculus,GSM8281103,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI37_1st,bone marrow,bone marrow,T cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088284,67612147,20283644100,150,6641,SRX24612404,GSM8281104,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349650,SAMN41462788,simple,10090,Mus musculus,GSM8281104,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI38_1st,bone marrow,bone marrow,B cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088283,68566758,20570027400,150,6699,SRX24612405,GSM8281105,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349651,SAMN41462787,simple,10090,Mus musculus,GSM8281105,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI39_1st,bone marrow,bone marrow,Myeloid cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088282,110107147,33032144100,150,11027,SRX24612406,GSM8281106,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349653,SAMN41462786,simple,10090,Mus musculus,GSM8281106,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI40_1st,bone marrow,bone marrow,Erythoid cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088281,63491717,19047515100,150,6207,SRX24612407,GSM8281107,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349652,SAMN41462785,simple,10090,Mus musculus,GSM8281107,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI41_1st,bone marrow,bone marrow,MEP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088280,30686279,9205883700,150,3042,SRX24612408,GSM8281108,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349654,SAMN41462784,simple,10090,Mus musculus,GSM8281108,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI42_1st,bone marrow,bone marrow,GMP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088279,64561947,19368584100,150,6444,SRX24612409,GSM8281109,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349655,SAMN41462783,simple,10090,Mus musculus,GSM8281109,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI43_1st,bone marrow,bone marrow,CMP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088278,84587127,25376138100,150,8265,SRX24612410,GSM8281110,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349656,SAMN41462782,simple,10090,Mus musculus,GSM8281110,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI44_1st,bone marrow,bone marrow,CLP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088277,67048209,20114462700,150,6542,SRX24612411,GSM8281111,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349657,SAMN41462781,simple,10090,Mus musculus,GSM8281111,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI45_1st,bone marrow,bone marrow,LT-HSC,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088276,59934002,17980200600,150,5981,SRX24612412,GSM8281112,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349658,SAMN41462780,simple,10090,Mus musculus,GSM8281112,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI46_1st,bone marrow,bone marrow,MPP,low-input Ribo-seq (160 cells/type),missing,missing
