Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR29294588,40505265,12151579500,150,4375,SRX24811771,GSM8306969,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526127,SAMN41693180,simple,9606,Homo sapiens,GSM8306969,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, no drug, RNAseq, rep1 [ND1.RNA]",HEK293,HEK293,Human embryonic kidney cell,WT,"DMSO, no drug",missing,missing
SRR29294587,42461562,12738468600,150,4465,SRX24811772,GSM8306970,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526128,SAMN41693179,simple,9606,Homo sapiens,GSM8306970,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, no drug, RNAseq, rep2 [ND2.RNA]",HEK293,HEK293,Human embryonic kidney cell,WT,"DMSO, no drug",missing,missing
SRR29294586,41335288,12400586400,150,4442,SRX24811773,GSM8306971,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526129,SAMN41693178,simple,9606,Homo sapiens,GSM8306971,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, no drug, RNAseq, rep3 [ND3.RNA]",HEK293,HEK293,Human embryonic kidney cell,WT,"DMSO, no drug",missing,missing
SRR29294585,41658864,12497659200,150,4420,SRX24811774,GSM8306972,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526130,SAMN41693177,simple,9606,Homo sapiens,GSM8306972,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Iso, RNAseq, rep1 [ISO1.RNA]",HEK293,HEK293,Human embryonic kidney cell,WT,"DMSO, 1uM Isoproterenol (2 hr)",missing,missing
SRR29294584,40064297,12019289100,150,4275,SRX24811775,GSM8306973,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526131,SAMN41693176,simple,9606,Homo sapiens,GSM8306973,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Iso, RNAseq, rep2 [ISO2.RNA]",HEK293,HEK293,Human embryonic kidney cell,WT,"DMSO, 1uM Isoproterenol (2 hr)",missing,missing
SRR29294583,48912858,14673857400,150,5185,SRX24811776,GSM8306974,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526132,SAMN41693175,simple,9606,Homo sapiens,GSM8306974,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Iso, RNAseq, rep3 [ISO3.RNA]",HEK293,HEK293,Human embryonic kidney cell,WT,"DMSO, 1uM Isoproterenol (2 hr)",missing,missing
SRR29294582,42747962,12824388600,150,4634,SRX24811777,GSM8306975,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526133,SAMN41693174,simple,9606,Homo sapiens,GSM8306975,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Dyngo, RNAseq, rep1 [DYNGO1.RNA]",HEK293,HEK293,Human embryonic kidney cell,WT,"30uM Dyngo (20 min), no drug",missing,missing
SRR29294581,39135329,11740598700,150,4227,SRX24811778,GSM8306976,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526134,SAMN41693173,simple,9606,Homo sapiens,GSM8306976,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Dyngo, RNAseq, rep2 [DYNGO2.RNA]",HEK293,HEK293,Human embryonic kidney cell,WT,"30uM Dyngo (20 min), no drug",missing,missing
SRR29294580,42865419,12859625700,150,4589,SRX24811779,GSM8306977,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526135,SAMN41693172,simple,9606,Homo sapiens,GSM8306977,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Dyngo, RNAseq, rep3 [DYNGO3.RNA]",HEK293,HEK293,Human embryonic kidney cell,WT,"30uM Dyngo (20 min), no drug",missing,missing
SRR29294579,49323758,14797127400,150,5327,SRX24811780,GSM8306978,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526136,SAMN41693171,simple,9606,Homo sapiens,GSM8306978,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Iso-Dyngo, RNAseq, rep1 [ISODYNGO1.RNA]",HEK293,HEK293,Human embryonic kidney cell,WT,"30uM Dyngo (20 min), 1uM Isoproterenol (2 hr)",missing,missing
SRR29294578,55181174,16554352200,150,5911,SRX24811781,GSM8306979,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526137,SAMN41693170,simple,9606,Homo sapiens,GSM8306979,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Iso-Dyngo, RNAseq, rep2 [ISODYNGO2.RNA]",HEK293,HEK293,Human embryonic kidney cell,WT,"30uM Dyngo (20 min), 1uM Isoproterenol (2 hr)",missing,missing
SRR29294577,44234151,13270245300,150,4713,SRX24811782,GSM8306980,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526138,SAMN41693169,simple,9606,Homo sapiens,GSM8306980,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Iso-Dyngo, RNAseq, rep3 [ISODYNGO3.RNA]",HEK293,HEK293,Human embryonic kidney cell,WT,"30uM Dyngo (20 min), 1uM Isoproterenol (2 hr)",missing,missing
SRR29294576,34375040,10312512000,150,4433,SRX24811783,GSM8306981,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526139,SAMN41693168,simple,9606,Homo sapiens,GSM8306981,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, no drug, Riboseq, rep1 [ND1.RIBO]",HEK293,HEK293,Human embryonic kidney cell,WT,"DMSO, no drug",missing,missing
SRR29294575,30554157,9166247100,150,3920,SRX24811784,GSM8306982,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526141,SAMN41693167,simple,9606,Homo sapiens,GSM8306982,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, no drug, Riboseq, rep2 [ND2.RIBO]",HEK293,HEK293,Human embryonic kidney cell,WT,"DMSO, no drug",missing,missing
SRR29294574,32931836,9879550800,150,4234,SRX24811785,GSM8306983,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526140,SAMN41693166,simple,9606,Homo sapiens,GSM8306983,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, no drug, Riboseq, rep3 [ND3.RIBO]",HEK293,HEK293,Human embryonic kidney cell,WT,"DMSO, no drug",missing,missing
SRR29294573,37956030,11386809000,150,4888,SRX24811786,GSM8306984,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526142,SAMN41693165,simple,9606,Homo sapiens,GSM8306984,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Iso, Riboseq, rep1 [ISO1.RIBO]",HEK293,HEK293,Human embryonic kidney cell,WT,"DMSO, 1uM Isoproterenol (2 hr)",missing,missing
SRR29294572,39510055,11853016500,150,5097,SRX24811787,GSM8306985,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526144,SAMN41693164,simple,9606,Homo sapiens,GSM8306985,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Iso, Riboseq, rep2 [ISO2.RIBO]",HEK293,HEK293,Human embryonic kidney cell,WT,"DMSO, 1uM Isoproterenol (2 hr)",missing,missing
SRR29294571,27486525,8245957500,150,3551,SRX24811788,GSM8306986,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526143,SAMN41693163,simple,9606,Homo sapiens,GSM8306986,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Iso, Riboseq, rep3 [ISO3.RIBO]",HEK293,HEK293,Human embryonic kidney cell,WT,"DMSO, 1uM Isoproterenol (2 hr)",missing,missing
SRR29294570,40621975,12186592500,150,5249,SRX24811789,GSM8306987,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526145,SAMN41693162,simple,9606,Homo sapiens,GSM8306987,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Dyngo, Riboseq, rep1 [DYNGO1.RIBO]",HEK293,HEK293,Human embryonic kidney cell,WT,"30uM Dyngo (20 min), no drug",missing,missing
SRR29294569,40116383,12034914900,150,5208,SRX24811790,GSM8306988,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526146,SAMN41693161,simple,9606,Homo sapiens,GSM8306988,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Dyngo, Riboseq, rep2 [DYNGO2.RIBO]",HEK293,HEK293,Human embryonic kidney cell,WT,"30uM Dyngo (20 min), no drug",missing,missing
SRR29294568,33196663,9958998900,150,4300,SRX24811791,GSM8306989,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526147,SAMN41693160,simple,9606,Homo sapiens,GSM8306989,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Dyngo, Riboseq, rep3 [DYNGO3.RIBO]",HEK293,HEK293,Human embryonic kidney cell,WT,"30uM Dyngo (20 min), no drug",missing,missing
SRR29294567,31715634,9514690200,150,4120,SRX24811792,GSM8306990,OTHER,other,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP511973,PRJNA1120398,,"",SRS21526148,SAMN41693159,simple,9606,Homo sapiens,GSM8306990,"Pharmacology & Cancer Biology, Duke University",SRA1890073,01,2025,Tsvetanova,HEK293,"HEK293, Iso-Dyngo, Riboseq, rep1 [ISODYNGO1.RIBO]",HEK293,HEK293,Human embryonic kidney cell,WT,"30uM Dyngo (20 min), 1uM Isoproterenol (2 hr)",missing,missing
