Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,geo_loc_name,collection_date
SRR29322954,30757318,9227195400,150,3181,SRX24839401,GSM8314016,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP512463,PRJNA1121292,,"",SRS21550961,SAMN41748790,simple,9606,Homo sapiens,GSM8314016,"IGC, Salk Institute for Biological Studies",SRA1892307,10,2024,Williams,Caco-2,"Caco-2, differentiated, control, rep1",Caco-2,Caco-2,"differentiated, control",missing,missing
SRR29322953,20296789,6089036700,150,2124,SRX24839402,GSM8314017,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP512463,PRJNA1121292,,"",SRS21550962,SAMN41748789,simple,9606,Homo sapiens,GSM8314017,"IGC, Salk Institute for Biological Studies",SRA1892307,10,2024,Williams,Caco-2,"Caco-2, differentiated, control, rep2",Caco-2,Caco-2,"differentiated, control",missing,missing
SRR29322952,28703594,8611078200,150,2965,SRX24839403,GSM8314018,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP512463,PRJNA1121292,,"",SRS21550964,SAMN41748788,simple,9606,Homo sapiens,GSM8314018,"IGC, Salk Institute for Biological Studies",SRA1892307,10,2024,Williams,Caco-2,"Caco-2, differentiated, control, rep3",Caco-2,Caco-2,"differentiated, control",missing,missing
SRR29322951,20855578,6256673400,150,2160,SRX24839404,GSM8314019,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP512463,PRJNA1121292,,"",SRS21550966,SAMN41748787,simple,9606,Homo sapiens,GSM8314019,"IGC, Salk Institute for Biological Studies",SRA1892307,10,2024,Williams,Caco-2,"Caco-2, differentiated, lipid micelles, rep1",Caco-2,Caco-2,"differentiated, lipid micelles",missing,missing
SRR29322950,24435993,7330797900,150,2540,SRX24839405,GSM8314020,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP512463,PRJNA1121292,,"",SRS21550963,SAMN41748786,simple,9606,Homo sapiens,GSM8314020,"IGC, Salk Institute for Biological Studies",SRA1892307,10,2024,Williams,Caco-2,"Caco-2, differentiated, lipid micelles, rep2",Caco-2,Caco-2,"differentiated, lipid micelles",missing,missing
SRR29322949,27504875,8251462500,150,2857,SRX24839406,GSM8314021,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP512463,PRJNA1121292,,"",SRS21550965,SAMN41748785,simple,9606,Homo sapiens,GSM8314021,"IGC, Salk Institute for Biological Studies",SRA1892307,10,2024,Williams,Caco-2,"Caco-2, differentiated, lipid micelles, rep3",Caco-2,Caco-2,"differentiated, lipid micelles",missing,missing
SRR29322948,28557882,8567364600,150,3007,SRX24839407,GSM8314022,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP512463,PRJNA1121292,,"",SRS21550968,SAMN41748784,simple,9606,Homo sapiens,GSM8314022,"IGC, Salk Institute for Biological Studies",SRA1892307,10,2024,Williams,Caco-2,"Caco-2, differentiated, micelles without lipid, rep1",Caco-2,Caco-2,"differentiated, micelles without lipid",missing,missing
SRR29322947,24791844,7437553200,150,2583,SRX24839408,GSM8314023,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP512463,PRJNA1121292,,"",SRS21550969,SAMN41748783,simple,9606,Homo sapiens,GSM8314023,"IGC, Salk Institute for Biological Studies",SRA1892307,10,2024,Williams,Caco-2,"Caco-2, differentiated, micelles without lipid, rep2",Caco-2,Caco-2,"differentiated, micelles without lipid",missing,missing
SRR29322946,25170762,7551228600,150,2608,SRX24839409,GSM8314024,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP512463,PRJNA1121292,,"",SRS21550967,SAMN41748782,simple,9606,Homo sapiens,GSM8314024,"IGC, Salk Institute for Biological Studies",SRA1892307,10,2024,Williams,Caco-2,"Caco-2, differentiated, micelles without lipid, rep3",Caco-2,Caco-2,"differentiated, micelles without lipid",missing,missing
SRR29322945,28911863,8673558900,150,3015,SRX24839410,GSM8314025,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP512463,PRJNA1121292,,"",SRS21550970,SAMN41748781,simple,9606,Homo sapiens,GSM8314025,"IGC, Salk Institute for Biological Studies",SRA1892307,10,2024,Williams,Caco-2,"Caco-2, undifferentiated, rep1",Caco-2,Caco-2,undifferentiated,missing,missing
SRR29322944,24878002,7463400600,150,2583,SRX24839411,GSM8314026,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP512463,PRJNA1121292,,"",SRS21550971,SAMN41748780,simple,9606,Homo sapiens,GSM8314026,"IGC, Salk Institute for Biological Studies",SRA1892307,10,2024,Williams,Caco-2,"Caco-2, undifferentiated, rep2",Caco-2,Caco-2,undifferentiated,missing,missing
