Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,geo_loc_name,collection_date
SRR29424522,26214951,8283924516,158,2422,SRX24937392,GSM8331545,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP514155,PRJNA1124388,,"",SRS21641577,SAMN41851648,simple,9606,Homo sapiens,GSM8331545,"Department of Chemistry, University of Chicago",SRA1900122,07,2024,He,Liver,HepG2 siControl Input rep1,Liver,Liver,HepG2,epithelial-like,control knockdown,missing,missing
SRR29424521,30696737,9700168892,158,2833,SRX24937393,GSM8331546,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP514155,PRJNA1124388,,"",SRS21641578,SAMN41851647,simple,9606,Homo sapiens,GSM8331546,"Department of Chemistry, University of Chicago",SRA1900122,07,2024,He,Liver,HepG2 siControl Input rep2,Liver,Liver,HepG2,epithelial-like,control knockdown,missing,missing
SRR29424518,25132988,7942024208,158,2325,SRX24937394,GSM8331547,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP514155,PRJNA1124388,,"",SRS21641579,SAMN41851646,simple,9606,Homo sapiens,GSM8331547,"Department of Chemistry, University of Chicago",SRA1900122,07,2024,He,Liver,HepG2 siControl Input rep3,Liver,Liver,HepG2,epithelial-like,control knockdown,missing,missing
SRR29424517,140783641,44487630556,158,13001,SRX24937395,GSM8331548,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP514155,PRJNA1124388,,"",SRS21641580,SAMN41851645,simple,9606,Homo sapiens,GSM8331548,"Department of Chemistry, University of Chicago",SRA1900122,07,2024,He,Liver,HepG2 siControl RPF rep1,Liver,Liver,HepG2,epithelial-like,control knockdown,missing,missing
SRR29424519,113789230,35957396680,158,10650,SRX24937396,GSM8331549,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP514155,PRJNA1124388,,"",SRS21641581,SAMN41851644,simple,9606,Homo sapiens,GSM8331549,"Department of Chemistry, University of Chicago",SRA1900122,07,2024,He,Liver,HepG2 siControl RPF rep2,Liver,Liver,HepG2,epithelial-like,control knockdown,missing,missing
SRR29424516,105995089,33494448124,158,10033,SRX24937397,GSM8331550,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP514155,PRJNA1124388,,"",SRS21641582,SAMN41851643,simple,9606,Homo sapiens,GSM8331550,"Department of Chemistry, University of Chicago",SRA1900122,07,2024,He,Liver,HepG2 siControl RPF rep3,Liver,Liver,HepG2,epithelial-like,control knockdown,missing,missing
SRR29424520,24613636,7777908976,158,2265,SRX24937398,GSM8331551,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP514155,PRJNA1124388,,"",SRS21641583,SAMN41851642,simple,9606,Homo sapiens,GSM8331551,"Department of Chemistry, University of Chicago",SRA1900122,07,2024,He,Liver,HepG2 siIGF2BP3 Input rep1,Liver,Liver,HepG2,epithelial-like,IGF2BP3 knockdown,missing,missing
SRR29424515,28810490,9104114840,158,2665,SRX24937399,GSM8331552,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP514155,PRJNA1124388,,"",SRS21641584,SAMN41851641,simple,9606,Homo sapiens,GSM8331552,"Department of Chemistry, University of Chicago",SRA1900122,07,2024,He,Liver,HepG2 siIGF2BP3 Input rep2,Liver,Liver,HepG2,epithelial-like,IGF2BP3 knockdown,missing,missing
SRR29424514,25848826,8168229016,158,2401,SRX24937400,GSM8331553,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP514155,PRJNA1124388,,"",SRS21641585,SAMN41851640,simple,9606,Homo sapiens,GSM8331553,"Department of Chemistry, University of Chicago",SRA1900122,07,2024,He,Liver,HepG2 siIGF2BP3 Input rep3,Liver,Liver,HepG2,epithelial-like,IGF2BP3 knockdown,missing,missing
SRR29424512,69801861,22057388076,158,6624,SRX24937401,GSM8331554,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP514155,PRJNA1124388,,"",SRS21641586,SAMN41851639,simple,9606,Homo sapiens,GSM8331554,"Department of Chemistry, University of Chicago",SRA1900122,07,2024,He,Liver,HepG2 siIGF2BP3 RPF rep1,Liver,Liver,HepG2,epithelial-like,IGF2BP3 knockdown,missing,missing
