Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,time,treatment,geo_loc_name,collection_date
SRR29477295,34037327,6875540054,101,2083,SRX24989173,GSM8339687,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690985,SAMN41934776,simple,9606,Homo sapiens,GSM8339687,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 6hr, rep1",WiT49,WiT49,Wilms tumor,6hr,actD,missing,missing
SRR29477294,34313705,6931368410,101,2085,SRX24989174,GSM8339688,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690986,SAMN41934775,simple,9606,Homo sapiens,GSM8339688,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 6hr, rep2",WiT49,WiT49,Wilms tumor,6hr,actD,missing,missing
SRR29477293,33393905,6745568810,101,2032,SRX24989175,GSM8339689,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690987,SAMN41934774,simple,9606,Homo sapiens,GSM8339689,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 6hr, rep3",WiT49,WiT49,Wilms tumor,6hr,actD,missing,missing
SRR29477292,37037517,7481578434,101,2256,SRX24989176,GSM8339690,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690988,SAMN41934773,simple,9606,Homo sapiens,GSM8339690,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 6hr, rep1",WiT49,WiT49,Wilms tumor,6hr,DMSO,missing,missing
SRR29477291,35213240,7113074480,101,2136,SRX24989177,GSM8339691,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690989,SAMN41934772,simple,9606,Homo sapiens,GSM8339691,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 6hr, rep2",WiT49,WiT49,Wilms tumor,6hr,DMSO,missing,missing
SRR29477290,35417067,7154247534,101,2163,SRX24989178,GSM8339692,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690990,SAMN41934771,simple,9606,Homo sapiens,GSM8339692,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 6hr, rep3",WiT49,WiT49,Wilms tumor,6hr,DMSO,missing,missing
SRR29477289,77647498,5901209848,76,2275,SRX24989179,GSM8339693,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690991,SAMN41934770,simple,9606,Homo sapiens,GSM8339693,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 72hr, rep1",WiT49,WiT49,Wilms tumor,72hr,actD,missing,missing
SRR29477288,79523837,6043811612,76,2314,SRX24989180,GSM8339694,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690992,SAMN41934769,simple,9606,Homo sapiens,GSM8339694,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 72hr, rep2",WiT49,WiT49,Wilms tumor,72hr,actD,missing,missing
SRR29477287,77892012,5919792912,76,2271,SRX24989181,GSM8339695,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690993,SAMN41934768,simple,9606,Homo sapiens,GSM8339695,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, actD, 72hr, rep3",WiT49,WiT49,Wilms tumor,72hr,actD,missing,missing
SRR29477286,62518440,4751401440,76,1840,SRX24989182,GSM8339696,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP515023,PRJNA1126209,38948702,"",SRS21690994,SAMN41934767,simple,9606,Homo sapiens,GSM8339696,"Pediatrics, UT Southwestern",SRA1904805,06,2024,Tiburcio,WiT49,"WiT49, DMSO, 72hr, rep1",WiT49,WiT49,Wilms tumor,72hr,DMSO,missing,missing
