Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,disease,genotype,model,geo_loc_name,collection_date
SRR29631080,38779333,1977745983,51,770,SRX25137154,GSM8366492,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP516611,PRJNA1129142,,"",SRS21829236,SAMN42147221,simple,9606,Homo sapiens,GSM8366492,Weill Cornell Medicine,SRA1911945,09,2024,Polyzos,Xenograft Liver,Xenograft Human Primary Tumor 1,Xenograft Liver,Xenograft Liver,M405,melanoma,Primary Tumor,PDX metastasis model,missing,missing
SRR29631079,39187828,1998579228,51,780,SRX25137155,GSM8366493,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP516611,PRJNA1129142,,"",SRS21829237,SAMN42147220,simple,9606,Homo sapiens,GSM8366493,Weill Cornell Medicine,SRA1911945,09,2024,Polyzos,Xenograft Liver,Xenograft Human Metastasis Macro Tumor 1,Xenograft Liver,Xenograft Liver,M405,melanoma,Metastasis,PDX metastasis model,missing,missing
SRR29631078,40432419,2062053369,51,832,SRX25137156,GSM8366494,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP516611,PRJNA1129142,,"",SRS21829238,SAMN42147219,simple,9606,Homo sapiens,GSM8366494,Weill Cornell Medicine,SRA1911945,09,2024,Polyzos,Xenograft Liver,Xenograft Human Metastasis Micro Tumor 1,Xenograft Liver,Xenograft Liver,M405,melanoma,Metastasis,PDX metastasis model,missing,missing
SRR29631077,37834421,1929555471,51,754,SRX25137157,GSM8366495,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP516611,PRJNA1129142,,"",SRS21829239,SAMN42147218,simple,9606,Homo sapiens,GSM8366495,Weill Cornell Medicine,SRA1911945,09,2024,Polyzos,Xenograft Liver,Xenograft Human Primary Tumor 2,Xenograft Liver,Xenograft Liver,M405,melanoma,Primary Tumor,PDX metastasis model,missing,missing
SRR29631076,36701640,1871783640,51,731,SRX25137158,GSM8366496,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP516611,PRJNA1129142,,"",SRS21829240,SAMN42147217,simple,9606,Homo sapiens,GSM8366496,Weill Cornell Medicine,SRA1911945,09,2024,Polyzos,Xenograft Liver,Xenograft Human Metastasis Macro Tumor 2,Xenograft Liver,Xenograft Liver,M405,melanoma,Metastasis,PDX metastasis model,missing,missing
SRR29631075,41909916,2137405716,51,841,SRX25137159,GSM8366497,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP516611,PRJNA1129142,,"",SRS21829241,SAMN42147216,simple,9606,Homo sapiens,GSM8366497,Weill Cornell Medicine,SRA1911945,09,2024,Polyzos,Xenograft Liver,Xenograft Human Metastasis Micro Tumor 2,Xenograft Liver,Xenograft Liver,M405,melanoma,Metastasis,PDX metastasis model,missing,missing
SRR29631074,34344245,1751556495,51,715,SRX25137160,GSM8366498,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP516611,PRJNA1129142,,"",SRS21829242,SAMN42147215,simple,9606,Homo sapiens,GSM8366498,Weill Cornell Medicine,SRA1911945,09,2024,Polyzos,Xenograft Liver,Xenograft Human Primary Tumor 3,Xenograft Liver,Xenograft Liver,M405,melanoma,Primary Tumor,PDX metastasis model,missing,missing
SRR29631073,46260625,2359291875,51,922,SRX25137161,GSM8366499,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP516611,PRJNA1129142,,"",SRS21829243,SAMN42147214,simple,9606,Homo sapiens,GSM8366499,Weill Cornell Medicine,SRA1911945,09,2024,Polyzos,Xenograft Liver,Xenograft Human Metastasis Macro Tumor 3,Xenograft Liver,Xenograft Liver,M405,melanoma,Metastasis,PDX metastasis model,missing,missing
SRR29631072,31648274,1614061974,51,639,SRX25137162,GSM8366500,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP516611,PRJNA1129142,,"",SRS21829244,SAMN42147213,simple,9606,Homo sapiens,GSM8366500,Weill Cornell Medicine,SRA1911945,09,2024,Polyzos,Xenograft Liver,Xenograft Human Metastasis Micro Tumor 3,Xenograft Liver,Xenograft Liver,M405,melanoma,Metastasis,PDX metastasis model,missing,missing
SRR29631071,31210256,1591723056,51,614,SRX25137163,GSM8366501,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP516611,PRJNA1129142,,"",SRS21829246,SAMN42147212,simple,9606,Homo sapiens,GSM8366501,Weill Cornell Medicine,SRA1911945,09,2024,Polyzos,Xenograft Liver,Xenograft Human Primary Tumor 4,Xenograft Liver,Xenograft Liver,M481,melanoma,Primary Tumor,PDX metastasis model,missing,missing
SRR29631070,34830768,1776369168,51,686,SRX25137164,GSM8366502,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP516611,PRJNA1129142,,"",SRS21829245,SAMN42147211,simple,9606,Homo sapiens,GSM8366502,Weill Cornell Medicine,SRA1911945,09,2024,Polyzos,Xenograft Liver,Xenograft Human Metastasis Macro Tumor 4,Xenograft Liver,Xenograft Liver,M481,melanoma,Metastasis,PDX metastasis model,missing,missing
SRR29631069,31855318,1624621218,51,664,SRX25137165,GSM8366503,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP516611,PRJNA1129142,,"",SRS21829247,SAMN42147210,simple,9606,Homo sapiens,GSM8366503,Weill Cornell Medicine,SRA1911945,09,2024,Polyzos,Xenograft Liver,Xenograft Human Metastasis Micro Tumor 4,Xenograft Liver,Xenograft Liver,M481,melanoma,Metastasis,PDX metastasis model,missing,missing
