Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,genotype,infection,geo_loc_name,collection_date
SRR30826350,30686475,9267315450,151,3063,SRX26225665,GSM8544838,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767359,SAMN43965182,simple,9606,Homo sapiens,GSM8544838,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1_RACK1KO_VacV_polysome_2,HAP1,HAP1,RACK1 knock out,Haploid,VacV,missing,missing
SRR30826349,28250649,8531695998,151,2712,SRX26225666,GSM8544839,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767361,SAMN43965181,simple,9606,Homo sapiens,GSM8544839,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1_RACK1KO_VacV_total_2,HAP1,HAP1,RACK1 knock out,Haploid,VacV,missing,missing
SRR30826348,34034487,10278415074,151,3277,SRX26225667,GSM8544840,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767363,SAMN43965180,simple,9606,Homo sapiens,GSM8544840,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_80s ribosome_6,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826347,34575001,10441650302,151,3323,SRX26225668,GSM8544841,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767367,SAMN43965179,simple,9606,Homo sapiens,GSM8544841,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_polysomes_6,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826346,24678045,7452769590,151,2367,SRX26225669,GSM8544842,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767364,SAMN43965178,simple,9606,Homo sapiens,GSM8544842,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_total_6,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826345,32543148,9828030696,151,3226,SRX26225670,GSM8544843,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767366,SAMN43965177,simple,9606,Homo sapiens,GSM8544843,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1_RACK1KO_VacV_80s ribosome_3,HAP1,HAP1,RACK1 knock out,Haploid,VacV,missing,missing
SRR30826344,25440737,7683102574,151,2512,SRX26225671,GSM8544844,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767369,SAMN43965176,simple,9606,Homo sapiens,GSM8544844,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1_RACK1KO_VacV_polysome_3,HAP1,HAP1,RACK1 knock out,Haploid,VacV,missing,missing
SRR30826343,35628435,10759787370,151,3544,SRX26225672,GSM8544845,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767368,SAMN43965175,simple,9606,Homo sapiens,GSM8544845,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1_RACK1KO_VacV_total_3,HAP1,HAP1,RACK1 knock out,Haploid,VacV,missing,missing
SRR30826342,31496135,9511832770,151,3114,SRX26225673,GSM8544846,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767370,SAMN43965174,simple,9606,Homo sapiens,GSM8544846,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_80s ribosome_7,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826341,22825776,6893384352,151,2247,SRX26225674,GSM8544847,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767371,SAMN43965173,simple,9606,Homo sapiens,GSM8544847,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_polysomes_7,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826340,21355781,6449445862,151,2092,SRX26225675,GSM8544848,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767372,SAMN43965172,simple,9606,Homo sapiens,GSM8544848,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_total_7,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826339,31231966,9432053732,151,2889,SRX26225676,GSM8544811,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767374,SAMN43965209,simple,9606,Homo sapiens,GSM8544811,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_mock_80s ribosome_1,HAP1,HAP1,wild type,Haploid,mock,missing,missing
SRR30826338,38355264,11583289728,151,3578,SRX26225677,GSM8544812,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767375,SAMN43965208,simple,9606,Homo sapiens,GSM8544812,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_mock_polysomes_1,HAP1,HAP1,wild type,Haploid,mock,missing,missing
SRR30826337,28899865,8727759230,151,2705,SRX26225678,GSM8544813,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767376,SAMN43965207,simple,9606,Homo sapiens,GSM8544813,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_80s ribosome_1,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826336,33503941,10118190182,151,3121,SRX26225679,GSM8544814,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767377,SAMN43965206,simple,9606,Homo sapiens,GSM8544814,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_VacV_polysomes_1,HAP1,HAP1,wild type,Haploid,VacV,missing,missing
SRR30826335,34802876,10510468552,151,3223,SRX26225680,GSM8544815,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767378,SAMN43965205,simple,9606,Homo sapiens,GSM8544815,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_mock_80s ribosome_2,HAP1,HAP1,wild type,Haploid,mock,missing,missing
SRR30826334,33090585,9993356670,151,3089,SRX26225681,GSM8544816,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767379,SAMN43965204,simple,9606,Homo sapiens,GSM8544816,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_mock_polysomes_2,HAP1,HAP1,wild type,Haploid,mock,missing,missing
SRR30826333,33060617,9984306334,151,3083,SRX26225682,GSM8544817,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP535389,PRJNA1166334,,"",SRS22767381,SAMN43965203,simple,9606,Homo sapiens,GSM8544817,Northwestern Univeristy,SRA1981403,10,2024,Park,HAP1,HAP1parental cell_mock_total_2,HAP1,HAP1,wild type,Haploid,mock,missing,missing
