Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,dev_stage,collection_date,geo_loc_name,tissue,BioSampleModel
SRR31113500,18257844,5477353200,150,1713,SRX26495719,CA,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP540790,PRJNA1177760,,"",SRS23008639,SAMN44448934,simple,307630,Citrus macrophylla,CA,USDA-ARS,SRA1997042,10,2024,Dardick,"","",CA,not provided,not provided,2021-07-28,"USA:Frederick, MD",leaf,Plant
SRR31113499,17129825,5138947500,150,1610,SRX26495720,CB,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP540790,PRJNA1177760,,"",SRS23008640,SAMN44448935,simple,307630,Citrus macrophylla,CB,USDA-ARS,SRA1997042,10,2024,Dardick,"","",CB,not provided,not provided,2021-07-28,"USA:Frederick, MD",leaf,Plant
SRR31113498,15993415,4798024500,150,1514,SRX26495721,CK,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP540790,PRJNA1177760,,"",SRS23008642,SAMN44448944,simple,307630,Citrus macrophylla,CK,USDA-ARS,SRA1997042,10,2024,Dardick,"","",CK,not provided,not provided,2021-06-24,"USA:Frederick, MD",leaf,Plant
SRR31113497,15511238,4653371400,150,1475,SRX26495722,CL,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP540790,PRJNA1177760,,"",SRS23008641,SAMN44448945,simple,307630,Citrus macrophylla,CL,USDA-ARS,SRA1997042,10,2024,Dardick,"","",CL,not provided,not provided,2021-06-24,"USA:Frederick, MD",leaf,Plant
SRR31113496,14027912,4208373600,150,1323,SRX26495723,CC,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP540790,PRJNA1177760,,"",SRS23008643,SAMN44448936,simple,307630,Citrus macrophylla,CC,USDA-ARS,SRA1997042,10,2024,Dardick,"","",CC,not provided,not provided,2021-07-28,"USA:Frederick, MD",leaf,Plant
SRR31113495,17397891,5219367300,150,1639,SRX26495724,CD,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP540790,PRJNA1177760,,"",SRS23008644,SAMN44448937,simple,307630,Citrus macrophylla,CD,USDA-ARS,SRA1997042,10,2024,Dardick,"","",CD,not provided,not provided,2021-07-28,"USA:Frederick, MD",leaf,Plant
SRR31113494,18476987,5543096100,150,1765,SRX26495725,CE,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP540790,PRJNA1177760,,"",SRS23008645,SAMN44448938,simple,307630,Citrus macrophylla,CE,USDA-ARS,SRA1997042,10,2024,Dardick,"","",CE,not provided,not provided,2021-07-06,"USA:Frederick, MD",leaf,Plant
SRR31113493,19954988,5986496400,150,1888,SRX26495726,CF,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP540790,PRJNA1177760,,"",SRS23008646,SAMN44448939,simple,307630,Citrus macrophylla,CF,USDA-ARS,SRA1997042,10,2024,Dardick,"","",CF,not provided,not provided,2021-07-06,"USA:Frederick, MD",leaf,Plant
SRR31113492,20464773,6139431900,150,1980,SRX26495727,CG,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP540790,PRJNA1177760,,"",SRS23008648,SAMN44448940,simple,307630,Citrus macrophylla,CG,USDA-ARS,SRA1997042,10,2024,Dardick,"","",CG,not provided,not provided,2021-06-24,"USA:Frederick, MD",leaf,Plant
SRR31113491,20722313,6216693900,150,1993,SRX26495728,CH,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP540790,PRJNA1177760,,"",SRS23008647,SAMN44448941,simple,307630,Citrus macrophylla,CH,USDA-ARS,SRA1997042,10,2024,Dardick,"","",CH,not provided,not provided,2021-06-24,"USA:Frederick, MD",leaf,Plant
SRR31113490,17855652,5356695600,150,1679,SRX26495729,CI,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP540790,PRJNA1177760,,"",SRS23008649,SAMN44448942,simple,307630,Citrus macrophylla,CI,USDA-ARS,SRA1997042,10,2024,Dardick,"","",CI,not provided,not provided,2021-06-24,"USA:Frederick, MD",leaf,Plant
SRR31113489,18386332,5515899600,150,1743,SRX26495730,CJ,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP540790,PRJNA1177760,,"",SRS23008650,SAMN44448943,simple,307630,Citrus macrophylla,CJ,USDA-ARS,SRA1997042,10,2024,Dardick,"","",CJ,not provided,not provided,2021-06-24,"USA:Frederick, MD",leaf,Plant
