Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,treatment,geo_loc_name,collection_date
SRR31363206,26495505,5337703078,100,1596,SRX26736960,GSM8634682,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP545496,PRJNA1186693,,"",SRS23226989,SAMN44769771,simple,8932,Columba livia,GSM8634682,"OMEI, University of Agriculture in Krakow",SRA2015846,11,2024,Szmatoła,cerebellum1,RNA_S3848Nr15,cerebellum1,cerebellum,control,missing,missing
SRR31363205,35646691,7180530338,100,2276,SRX26736961,GSM8634683,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP545496,PRJNA1186693,,"",SRS23226990,SAMN44769770,simple,8932,Columba livia,GSM8634683,"OMEI, University of Agriculture in Krakow",SRA2015846,11,2024,Szmatoła,cerebellum2,RNA_S3848Nr17,cerebellum2,cerebellum,control,missing,missing
SRR31363204,24154321,4863096838,100,1446,SRX26736962,GSM8634684,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP545496,PRJNA1186693,,"",SRS23226992,SAMN44769769,simple,8932,Columba livia,GSM8634684,"OMEI, University of Agriculture in Krakow",SRA2015846,11,2024,Szmatoła,cerebellum3,RNA_S3848Nr18,cerebellum3,cerebellum,control,missing,missing
SRR31363203,27914679,5625856982,100,1689,SRX26736963,GSM8634685,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP545496,PRJNA1186693,,"",SRS23226991,SAMN44769768,simple,8932,Columba livia,GSM8634685,"OMEI, University of Agriculture in Krakow",SRA2015846,11,2024,Szmatoła,cerebellum4,RNA_S3848Nr19,cerebellum4,cerebellum,control,missing,missing
SRR31363202,26819771,5406842278,100,1603,SRX26736964,GSM8634686,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP545496,PRJNA1186693,,"",SRS23226993,SAMN44769767,simple,8932,Columba livia,GSM8634686,"OMEI, University of Agriculture in Krakow",SRA2015846,11,2024,Szmatoła,cerebellum5,RNA_S3848Nr20,cerebellum5,cerebellum,control,missing,missing
SRR31363201,30185449,6082385466,100,1832,SRX26736965,GSM8634687,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP545496,PRJNA1186693,,"",SRS23226994,SAMN44769766,simple,8932,Columba livia,GSM8634687,"OMEI, University of Agriculture in Krakow",SRA2015846,11,2024,Szmatoła,cerebellum6,RNA_S3848Nr21,cerebellum6,cerebellum,race,missing,missing
SRR31363200,27702832,5582939176,100,1673,SRX26736966,GSM8634688,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP545496,PRJNA1186693,,"",SRS23226995,SAMN44769765,simple,8932,Columba livia,GSM8634688,"OMEI, University of Agriculture in Krakow",SRA2015846,11,2024,Szmatoła,cerebellum7,RNA_S3848Nr23,cerebellum7,cerebellum,race,missing,missing
SRR31363199,26082371,5255269740,100,1582,SRX26736967,GSM8634689,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP545496,PRJNA1186693,,"",SRS23226996,SAMN44769764,simple,8932,Columba livia,GSM8634689,"OMEI, University of Agriculture in Krakow",SRA2015846,11,2024,Szmatoła,cerebellum8,RNA_S3848Nr24,cerebellum8,cerebellum,race,missing,missing
SRR31363198,30641899,6175365820,100,1836,SRX26736968,GSM8634690,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP545496,PRJNA1186693,,"",SRS23226997,SAMN44769763,simple,8932,Columba livia,GSM8634690,"OMEI, University of Agriculture in Krakow",SRA2015846,11,2024,Szmatoła,cerebellum9,RNA_S3848Nr25,cerebellum9,cerebellum,race,missing,missing
SRR31363197,25580256,5154395212,100,1544,SRX26736969,GSM8634691,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP545496,PRJNA1186693,,"",SRS23226998,SAMN44769762,simple,8932,Columba livia,GSM8634691,"OMEI, University of Agriculture in Krakow",SRA2015846,11,2024,Szmatoła,cerebellum10,RNA_S3848Nr26,cerebellum10,cerebellum,race,missing,missing
