Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,treatment,cell type,genetic background,GEO Accession
SRR449467,14626320,511921200,35,292,SRX132041,GSM904893: Footprint for vehicle-treated wild-type MEFs Replicate 1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP011987,PRJNA157105,22552098,"",SRS306582,SAMN00847493,simple,10090,Mus musculus,GSM904893,GEO,SRA051335,05,2012,Thoreen,Cell culture,Footprint for vehicle-treated wild-type MEFs Replicate 1,Cell culture,4EBP1/2 +/+ p53 -/-,Vehicle,embryonic fibroblast,129/Svj1,GSM904893
SRR449468,14549852,509244820,35,299,SRX132042,GSM904894: Footprint for Torin1-treated wild-type MEFs Replicate 1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP011987,PRJNA157105,22552098,"",SRS306583,SAMN00847494,simple,10090,Mus musculus,GSM904894,GEO,SRA051335,05,2012,Thoreen,Cell culture,Footprint for Torin1-treated wild-type MEFs Replicate 1,Cell culture,4EBP1/2 +/+ p53 -/-,Torin1,embryonic fibroblast,129/Svj1,GSM904894
SRR449469,12270986,429484510,35,220,SRX132043,GSM904895: mRNA-seq for vehicle-treated wild-type MEFs Replicate 1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP011987,PRJNA157105,22552098,"",SRS306584,SAMN00847495,simple,10090,Mus musculus,GSM904895,GEO,SRA051335,05,2012,Thoreen,Cell culture,mRNA-seq for vehicle-treated wild-type MEFs Replicate 1,Cell culture,4EBP1/2 +/+ p53 -/-,Vehicle,embryonic fibroblast,129/Svj1,GSM904895
SRR449470,12925907,452406745,35,246,SRX132044,GSM904896: mRNA-seq for Torin1-treated wild-type MEFs Replicate 1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP011987,PRJNA157105,22552098,"",SRS306585,SAMN00847496,simple,10090,Mus musculus,GSM904896,GEO,SRA051335,05,2012,Thoreen,Cell culture,mRNA-seq for Torin1-treated wild-type MEFs Replicate 1,Cell culture,4EBP1/2 +/+ p53 -/-,Torin1,embryonic fibroblast,129/Svj1,GSM904896
SRR449471,23212758,812446530,35,383,SRX132045,GSM904897: Footprint for vehicle-treated 4EBP1/2 KO MEFs Replicate 1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP011987,PRJNA157105,22552098,"",SRS306586,SAMN00847497,simple,10090,Mus musculus,GSM904897,GEO,SRA051335,05,2012,Thoreen,Cell culture,Footprint for vehicle-treated 4EBP1/2 KO MEFs Replicate 1,Cell culture,4EBP1/2 -/- p53 -/-,Vehicle,embryonic fibroblast,129/Svj1,GSM904897
SRR449472,22999012,804965420,35,382,SRX132046,GSM904898: Footprint for Torin1-treated 4EBP1/2 KO MEFs Replicate 1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP011987,PRJNA157105,22552098,"",SRS306587,SAMN00847498,simple,10090,Mus musculus,GSM904898,GEO,SRA051335,05,2012,Thoreen,Cell culture,Footprint for Torin1-treated 4EBP1/2 KO MEFs Replicate 1,Cell culture,4EBP1/2 -/- p53 -/-,Torin1,embryonic fibroblast,129/Svj1,GSM904898
SRR449473,21120103,739203605,35,347,SRX132047,GSM904899: mRNA-seq for vehicle-treated 4EBP1/2 KO MEFs Replicate 1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP011987,PRJNA157105,22552098,"",SRS306588,SAMN00847499,simple,10090,Mus musculus,GSM904899,GEO,SRA051335,05,2012,Thoreen,Cell culture,mRNA-seq for vehicle-treated 4EBP1/2 KO MEFs Replicate 1,Cell culture,4EBP1/2 -/- p53 -/-,Vehicle,embryonic fibroblast,129/Svj1,GSM904899
SRR449474,21149582,740235370,35,347,SRX132048,GSM904900: mRNA-seq for Torin1-treated 4EBP1/2 KO MEFs Replicate 1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP011987,PRJNA157105,22552098,"",SRS306589,SAMN00847500,simple,10090,Mus musculus,GSM904900,GEO,SRA051335,05,2012,Thoreen,Cell culture,mRNA-seq for Torin1-treated 4EBP1/2 KO MEFs Replicate 1,Cell culture,4EBP1/2 -/- p53 -/-,Torin1,embryonic fibroblast,129/Svj1,GSM904900
SRR449475,7896394,284270184,36,176,SRX132049,GSM904901: Footprint for vehicle-treated wild-type MEFs Replicate 2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP011987,PRJNA157105,22552098,"",SRS306590,SAMN00847501,simple,10090,Mus musculus,GSM904901,GEO,SRA051335,05,2012,Thoreen,Cell culture,Footprint for vehicle-treated wild-type MEFs Replicate 2,Cell culture,4EBP1/2 +/+ p53 -/-,Vehicle,embryonic fibroblast,129/Svj1,GSM904901
SRR449476,15260491,549377676,36,308,SRX132050,GSM904902: Footprint for Torin1-treated wild-type MEFs Replicate 2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP011987,PRJNA157105,22552098,"",SRS306591,SAMN00847502,simple,10090,Mus musculus,GSM904902,GEO,SRA051335,05,2012,Thoreen,Cell culture,Footprint for Torin1-treated wild-type MEFs Replicate 2,Cell culture,4EBP1/2 +/+ p53 -/-,Torin1,embryonic fibroblast,129/Svj1,GSM904902
