Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,treatment,transgene,GEO Accession
SRR826795,87141122,4357056100,50,3084,SRX265138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021058,PRJNA197001,23696641,"",SRS412367,SAMN02045513,simple,10090,Mus musculus,GSM1122205,GEO,SRA073403,09,2013,Howard,Liver,Wt Ribo-Seq 0 ppm Se,Liver,FVB/N,3 weeks,6 week diet 0 ppm selenium,,GSM1122205
SRR826796,105472092,5273604600,50,3735,SRX265139,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021058,PRJNA197001,23696641,"",SRS412368,SAMN02045514,simple,10090,Mus musculus,GSM1122206,GEO,SRA073403,09,2013,Howard,Liver,Wt Ribo-Seq 0.1 ppm Se,Liver,FVB/N,3 weeks,6 week diet 0.1 ppm selenium,,GSM1122206
SRR826797,99631977,4981598850,50,3545,SRX265140,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021058,PRJNA197001,23696641,"",SRS412369,SAMN02045515,simple,10090,Mus musculus,GSM1122207,GEO,SRA073403,09,2013,Howard,Liver,Wt Ribo-Seq 2.0 ppm Se,Liver,FVB/N,3 weeks,6 week diet 2.0 ppm selenium,,GSM1122207
SRR826798,85466312,4273315600,50,3017,SRX265141,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021058,PRJNA197001,23696641,"",SRS412370,SAMN02045516,simple,10090,Mus musculus,GSM1122208,GEO,SRA073403,09,2013,Howard,Liver,A37G Ribo-Seq 0 ppm Se,Liver,FVB/N/TrspA37G,3 weeks,6 week diet 0 ppm selenium,Contains 20 copies TrspA37G,GSM1122208
SRR826799,105899832,5294991600,50,3736,SRX265142,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021058,PRJNA197001,23696641,"",SRS412371,SAMN02045517,simple,10090,Mus musculus,GSM1122209,GEO,SRA073403,09,2013,Howard,Liver,A37G Ribo-Seq 0.1 ppm Se,Liver,FVB/N/TrspA37G,3 weeks,6 week diet 0.1 ppm selenium,Contains 20 copies TrspA37G,GSM1122209
SRR826800,101447699,5072384950,50,3628,SRX265143,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021058,PRJNA197001,23696641,"",SRS412372,SAMN02045518,simple,10090,Mus musculus,GSM1122210,GEO,SRA073403,09,2013,Howard,Liver,A37G Ribo-Seq 2.0 ppm Se,Liver,FVB/N/TrspA37G,3 weeks,6 week diet 2.0 ppm selenium,Contains 20 copies TrspA37G,GSM1122210
SRR826801,84542996,4227149800,50,2958,SRX265144,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021058,PRJNA197001,23696641,"",SRS412373,SAMN02045519,simple,10090,Mus musculus,GSM1122211,GEO,SRA073403,09,2013,Howard,Liver,Wt total RNA 0 ppm Se,Liver,FVB/N,3 weeks,6 week diet 0 ppm selenium,,GSM1122211
SRR826802,70968600,3548430000,50,2489,SRX265145,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021058,PRJNA197001,23696641,"",SRS412374,SAMN02045520,simple,10090,Mus musculus,GSM1122212,GEO,SRA073403,09,2013,Howard,Liver,Wt total RNA 0.1 ppm Se,Liver,FVB/N,3 weeks,6 week diet 0.1 ppm selenium,,GSM1122212
SRR826803,64990233,3249511650,50,2280,SRX265146,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021058,PRJNA197001,23696641,"",SRS412375,SAMN02045521,simple,10090,Mus musculus,GSM1122213,GEO,SRA073403,09,2013,Howard,Liver,Wt total RNA 2.0 ppm Se,Liver,FVB/N,3 weeks,6 week diet 2.0 ppm selenium,,GSM1122213
SRR826804,63936038,3196801900,50,2214,SRX265147,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021058,PRJNA197001,23696641,"",SRS412376,SAMN02045522,simple,10090,Mus musculus,GSM1122214,GEO,SRA073403,09,2013,Howard,Liver,A37G total RNA 0 ppm Se,Liver,FVB/N/TrspA37G,3 weeks,6 week diet 0 ppm selenium,Contains 20 copies TrspA37G,GSM1122214
SRR826805,64833213,3241660650,50,2234,SRX265148,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021058,PRJNA197001,23696641,"",SRS412377,SAMN02045523,simple,10090,Mus musculus,GSM1122215,GEO,SRA073403,09,2013,Howard,Liver,A37G total RNA 0.1 ppm Se,Liver,FVB/N/TrspA37G,3 weeks,6 week diet 0.1 ppm selenium,Contains 20 copies TrspA37G,GSM1122215
SRR826806,83662125,4183106250,50,2885,SRX265149,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP021058,PRJNA197001,23696641,"",SRS412378,SAMN02045524,simple,10090,Mus musculus,GSM1122216,GEO,SRA073403,09,2013,Howard,Liver,A37G total RNA 2.0 ppm Se,Liver,FVB/N/TrspA37G,3 weeks,6 week diet 2.0 ppm selenium,Contains 20 copies TrspA37G,GSM1122216
