Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,developmental stage,Sex,cell line,ecotype,GEO Accession
SRR1039856,33125989,1325039560,40,840,SRX384666,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508865,SAMN02423226,simple,4896,Schizosaccharomyces pombe,GSM1276537,GEO,SRA114402,07,2015,Subtelny,schizosaccharomyces pombe cells,Pombe_RNA,schizosaccharomyces pombe cells,972,,,,,GSM1276537
SRR1039857,30145951,1205838040,40,807,SRX384667,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508866,SAMN02423218,simple,4896,Schizosaccharomyces pombe,GSM1276538,GEO,SRA114402,07,2015,Subtelny,schizosaccharomyces pombe cells,Pombe_RPF,schizosaccharomyces pombe cells,972,,,,,GSM1276538
SRR1039858,19169806,766792240,40,450,SRX384668,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508868,SAMN02423227,simple,10090,Mus musculus,GSM1276539,GEO,SRA114402,07,2015,Subtelny,mouse liver,Liver_RNA,mouse liver,C57BL/6,6 week,male,,,GSM1276539
SRR1039859,18149191,725967640,40,435,SRX384669,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508867,SAMN02423230,simple,10090,Mus musculus,GSM1276540,GEO,SRA114402,07,2015,Subtelny,mouse liver,Liver_RPF,mouse liver,C57BL/6,6 week,male,,,GSM1276540
SRR1039860,20865702,834628080,40,490,SRX384670,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508869,SAMN02423223,simple,9606,Homo sapiens,GSM1276541,GEO,SRA114402,07,2015,Subtelny,HEK293T cells,Hek293T_RNA,HEK293T cells,,,,HEK293T,,GSM1276541
SRR1039861,22153203,886128120,40,529,SRX384671,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508870,SAMN02423228,simple,9606,Homo sapiens,GSM1276542,GEO,SRA114402,07,2015,Subtelny,HEK293T cells,Hek293T_RPF,HEK293T cells,,,,HEK293T,,GSM1276542
SRR1039862,32894253,1315770120,40,779,SRX384672,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508871,SAMN02423221,simple,10090,Mus musculus,GSM1276543,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_RNA,3T3 cells,,,,3T3,,GSM1276543
SRR1039863,34022582,1360903280,40,821,SRX384673,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508872,SAMN02423229,simple,10090,Mus musculus,GSM1276544,GEO,SRA114402,07,2015,Subtelny,3T3 cells,3T3_RPF,3T3 cells,,,,3T3,,GSM1276544
SRR1039864,34604876,1384195040,40,864,SRX384674,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508873,SAMN02423222,simple,7955,Danio rerio,GSM1276545,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_mock_2hpf_RNA,zebrafish embryo,AB,2 hours post-fertilization,,,,GSM1276545
SRR1039865,30448475,1217939000,40,763,SRX384675,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508874,SAMN02423233,simple,7955,Danio rerio,GSM1276546,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_132_2hpf_RNA,zebrafish embryo,AB,2 hours post-fertilization,,,,GSM1276546
SRR1039866,31087016,1243480640,40,776,SRX384676,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508876,SAMN02423224,simple,7955,Danio rerio,GSM1276547,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_155_2hpf_RNA,zebrafish embryo,AB,2 hours post-fertilization,,,,GSM1276547
SRR1039867,27462710,1098508400,40,672,SRX384677,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033369,PRJNA230112,24476825,"",SRS508875,SAMN02423234,simple,7955,Danio rerio,GSM1276548,GEO,SRA114402,07,2015,Subtelny,zebrafish embryo,Dre_mock_4hpf_RNA,zebrafish embryo,AB,4 hours post-fertilization,,,,GSM1276548
