Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,growth phase,strain,cdna type,sub_species,GEO Accession
SRR1265834,16000000,1.024e+09,64,399,SRX529230,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041549,PRJNA245830,25313041,"",SRS598921,SAMN02740946,simple,93061,Staphylococcus aureus subsp. aureus NCTC 8325,GSM1376706,GEO,SRA160441,11,2014,Davis,Bacterial cells_without_azithromycin,mRNA(-)AZ_rep1,Bacterial cells_without_azithromycin,Exponential,NCTC 8325,total fragmented mRNA,aureus,GSM1376706
SRR1265835,1644431,105243584,64,41,SRX529230,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041549,PRJNA245830,25313041,"",SRS598921,SAMN02740946,simple,93061,Staphylococcus aureus subsp. aureus NCTC 8325,GSM1376706,GEO,SRA160441,11,2014,Davis,Bacterial cells_without_azithromycin,mRNA(-)AZ_rep1,Bacterial cells_without_azithromycin,Exponential,NCTC 8325,Ribosome protected mRNA fragments,aureus,GSM1376707
SRR1265836,13081432,837211648,64,311,SRX529231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041549,PRJNA245830,25313041,"",SRS598922,SAMN02740950,simple,93061,Staphylococcus aureus subsp. aureus NCTC 8325,GSM1376707,GEO,SRA160441,11,2014,Davis,Bacterial cells_without_azithromycin,RPF1(-)AZ_rep1,Bacterial cells_without_azithromycin,Exponential,NCTC 8325,Ribosome protected mRNA fragments,aureus,GSM1376708
SRR1265837,9430867,603575488,64,230,SRX529232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041549,PRJNA245830,25313041,"",SRS598923,SAMN02740955,simple,93061,Staphylococcus aureus subsp. aureus NCTC 8325,GSM1376708,GEO,SRA160441,11,2014,Davis,Bacterial cells_without_azithromycin,RPF2(-)AZ_rep1,Bacterial cells_with_azithromycin,Exponential,NCTC 8325,total fragmented mRNA,aureus,GSM1376709
SRR1265838,10976133,702472512,64,274,SRX529233,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041549,PRJNA245830,25313041,"",SRS598924,SAMN02740947,simple,93061,Staphylococcus aureus subsp. aureus NCTC 8325,GSM1376709,GEO,SRA160441,11,2014,Davis,Bacterial cells_with_azithromycin,mRNA(+)AZ_rep1,Bacterial cells_with_azithromycin,Exponential,NCTC 8325,Ribosome protected mRNA fragments,aureus,GSM1376710
SRR1265839,10954130,701064320,64,255,SRX529234,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041549,PRJNA245830,25313041,"",SRS598925,SAMN02740949,simple,93061,Staphylococcus aureus subsp. aureus NCTC 8325,GSM1376710,GEO,SRA160441,11,2014,Davis,Bacterial cells_with_azithromycin,RPF1(+)AZ_rep1,Bacterial cells_with_azithromycin,Exponential,NCTC 8325,Ribosome protected mRNA fragments,aureus,GSM1376711
SRR1265840,14696988,940607232,64,298,SRX529235,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041549,PRJNA245830,25313041,"",SRS598926,SAMN02740954,simple,93061,Staphylococcus aureus subsp. aureus NCTC 8325,GSM1376711,GEO,SRA160441,11,2014,Davis,Bacterial cells_with_azithromycin,RPF2(+)AZ_rep1,Bacterial cells_without_azithromycin,Exponential,NCTC 8325,total fragmented mRNA,aureus,GSM1376712
SRR1265841,13211288,845522432,64,337,SRX529236,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041549,PRJNA245830,25313041,"",SRS598927,SAMN02740951,simple,93061,Staphylococcus aureus subsp. aureus NCTC 8325,GSM1376712,GEO,SRA160441,11,2014,Davis,Bacterial cells_without_azithromycin,mRNA(-)AZ_rep2,Bacterial cells_without_azithromycin,Exponential,NCTC 8325,Ribosome protected mRNA fragments,aureus,GSM1376713
SRR1265842,12124389,775960896,64,288,SRX529237,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041549,PRJNA245830,25313041,"",SRS598928,SAMN02740948,simple,93061,Staphylococcus aureus subsp. aureus NCTC 8325,GSM1376713,GEO,SRA160441,11,2014,Davis,Bacterial cells_without_azithromycin,RPF1(-)AZ_rep2,Bacterial cells_without_azithromycin,Exponential,NCTC 8325,Ribosome protected mRNA fragments,aureus,GSM1376714
SRR1265843,9563522,612065408,64,223,SRX529238,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041549,PRJNA245830,25313041,"",SRS598929,SAMN02740953,simple,93061,Staphylococcus aureus subsp. aureus NCTC 8325,GSM1376714,GEO,SRA160441,11,2014,Davis,Bacterial cells_without_azithromycin,RPF2(-)AZ_rep2,Bacterial cells_with_azithromycin,Exponential,NCTC 8325,total fragmented mRNA,aureus,GSM1376715
