Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,breed,age,biomaterial_provider,sex,tissue,BioSampleModel,cell_line,isolate
SRR1630809,44735497,1291906058,28,907,SRX738341,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS726177,SAMN02741938,simple,10090,Mus musculus,QTI-Seq mouse liver fasting,Cornell University,SRA160745,10,2014,Wan,"",QTI-Seq liver fasting,RiboTag and Alb-Cre mouse,8-12 weeks,N/A,not determined,liver,Model organism or animal,,
SRR1630811,46414543,1353995548,29,966,SRX738342,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS726177,SAMN02741938,simple,10090,Mus musculus,QTI-Seq mouse liver fasting,Cornell University,SRA160745,10,2014,Wan,"",QTI-Seq liver fasting,RiboTag and Alb-Cre mouse,8-12 weeks,N/A,not determined,liver,Model organism or animal,,
SRR1630812,9230176,268584156,29,196,SRX738343,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS726177,SAMN02741938,simple,10090,Mus musculus,QTI-Seq mouse liver fasting,Cornell University,SRA160745,10,2014,Wan,"",QTI-Seq liver fasting,RiboTag and Alb-Cre mouse,8-12 weeks,N/A,not determined,liver,Model organism or animal,,
SRR1630813,46414543,1353995548,29,966,SRX738344,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS726177,SAMN02741938,simple,10090,Mus musculus,QTI-Seq mouse liver fasting,Cornell University,SRA160745,10,2014,Wan,"",QTI-Seq liver fasting,RiboTag and Alb-Cre mouse,8-12 weeks,N/A,not determined,liver,Model organism or animal,,
SRR1630834,61516806,2377597992,38,1517,SRX738345,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS726177,SAMN02741938,simple,10090,Mus musculus,QTI-Seq mouse liver fasting,Cornell University,SRA160745,10,2014,Wan,"",QTI-Seq liver fasting,RiboTag and Alb-Cre mouse,8-12 weeks,N/A,not determined,liver,Model organism or animal,,
SRR1630835,54036754,2093225375,38,1335,SRX738346,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS726177,SAMN02741938,simple,10090,Mus musculus,QTI-Seq mouse liver fasting,Cornell University,SRA160745,10,2014,Wan,"",QTI-Seq liver fasting,RiboTag and Alb-Cre mouse,8-12 weeks,N/A,not determined,liver,Model organism or animal,,
SRR1630814,27775689,809817712,29,541,SRX739267,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS727029,SAMN02741883,simple,10090,Mus musculus,QTI-Seq MEF starvation,Cornell University,SRA160745,10,2014,Wan,"","",mouse,N/A,N/A,not determined,fibroblasts,Model organism or animal,,
SRR1630815,29231969,854285204,29,569,SRX739272,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS727029,SAMN02741883,simple,10090,Mus musculus,QTI-Seq MEF starvation,Cornell University,SRA160745,10,2014,Wan,"","",mouse,N/A,N/A,not determined,fibroblasts,Model organism or animal,,
SRR1630816,36285411,1022196210,28,751,SRX739294,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS727029,SAMN02741883,simple,10090,Mus musculus,QTI-Seq MEF starvation,Cornell University,SRA160745,10,2014,Wan,"","",mouse,N/A,N/A,not determined,fibroblasts,Model organism or animal,,
SRR1630817,36070283,1010250912,28,723,SRX739327,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS727029,SAMN02741883,simple,10090,Mus musculus,QTI-Seq MEF starvation,Cornell University,SRA160745,10,2014,Wan,"","",mouse,N/A,N/A,not determined,fibroblasts,Model organism or animal,,
