Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,time,cell type,strain,age,Sex,treatment,cell line,tissue,growth condition,GEO Accession
SRR1551115,24970889,898952004,36,471,SRX680675,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684354,SAMN02990346,simple,10090,Mus musculus,GSM1479569,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 2 h RNA,primary B cell,2 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479569
SRR1551116,181733969,7269358760,40,4663,SRX680675,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684354,SAMN02990346,simple,10090,Mus musculus,GSM1479569,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 2 h RNA,primary B cell,4 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479570
SRR1551117,22563295,812278620,36,417,SRX680676,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684356,SAMN02990347,simple,10090,Mus musculus,GSM1479570,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 4 h RNA,primary B cell,8 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479571
SRR1551118,164423546,6576941840,40,4140,SRX680676,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684356,SAMN02990347,simple,10090,Mus musculus,GSM1479570,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 4 h RNA,primary B cell,48 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479572
SRR1551119,20636202,742903272,36,373,SRX680677,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684355,SAMN02990348,simple,10090,Mus musculus,GSM1479571,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 8 h RNA,primary B cell,2 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479573
SRR1551120,154759658,6190386320,40,3875,SRX680677,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684355,SAMN02990348,simple,10090,Mus musculus,GSM1479571,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 8 h RNA,primary B cell,4 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479574
SRR1551121,28847683,1038516588,36,616,SRX680678,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684357,SAMN02990349,simple,10090,Mus musculus,GSM1479572,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 48 h RNA,primary B cell,8 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479575
SRR1551122,23293990,768701670,33,440,SRX680679,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684358,SAMN02990350,simple,10090,Mus musculus,GSM1479573,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 2 h RPF,primary B cell,48 h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479576
SRR1551123,214659064,8586362560,40,5698,SRX680679,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684358,SAMN02990350,simple,10090,Mus musculus,GSM1479573,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 2 h RPF,primary B cell,2h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479577
SRR1551124,21355881,704744073,33,402,SRX680680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP045501,PRJNA258219,25263593,"",SRS684359,SAMN02990351,simple,10090,Mus musculus,GSM1479574,GEO,SRA179319,07,2015,Eichhorn,primary B cell,wild-type B cell 4 h RPF,primary B cell,4h,primary B cell,C57BL/6,3 months,male,"LPS, IL-4, and anti-CD-40 antibody",,,,GSM1479578
