Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,growth phase,media,strain,genotype,cdna type,GEO Accession
SRR2733429,16000000,8e+08,50,279,SRX1357229,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123043,SAMN04196685,simple,1280,Staphylococcus aureus,GSM1914375,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_WT_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914375
SRR2733430,16000000,8e+08,50,287,SRX1357229,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123043,SAMN04196685,simple,1280,Staphylococcus aureus,GSM1914375,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_WT_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914376
SRR2733431,13928237,696411850,50,255,SRX1357229,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123043,SAMN04196685,simple,1280,Staphylococcus aureus,GSM1914375,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_WT_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914377
SRR2733432,16000000,8e+08,50,280,SRX1357230,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123042,SAMN04196686,simple,1280,Staphylococcus aureus,GSM1914376,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914378
SRR2733433,16000000,8e+08,50,281,SRX1357230,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123042,SAMN04196686,simple,1280,Staphylococcus aureus,GSM1914376,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914379
SRR2733434,16000000,8e+08,50,291,SRX1357230,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123042,SAMN04196686,simple,1280,Staphylococcus aureus,GSM1914376,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914380
SRR2733435,16000000,8e+08,50,290,SRX1357230,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123042,SAMN04196686,simple,1280,Staphylococcus aureus,GSM1914376,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914381
SRR2733436,6285308,314265400,50,118,SRX1357230,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123042,SAMN04196686,simple,1280,Staphylococcus aureus,GSM1914376,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914382
SRR2733437,16000000,8e+08,50,277,SRX1357231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123041,SAMN04196687,simple,1280,Staphylococcus aureus,GSM1914377,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_WT_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914383
SRR2733438,16000000,8e+08,50,281,SRX1357231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123041,SAMN04196687,simple,1280,Staphylococcus aureus,GSM1914377,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_WT_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914384
SRR2733439,16000000,8e+08,50,287,SRX1357231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123041,SAMN04196687,simple,1280,Staphylococcus aureus,GSM1914377,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_WT_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914385
SRR2733440,14502911,725145550,50,267,SRX1357231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123041,SAMN04196687,simple,1280,Staphylococcus aureus,GSM1914377,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_WT_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914386
SRR2733441,16000000,8e+08,50,277,SRX1357232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123040,SAMN04196688,simple,1280,Staphylococcus aureus,GSM1914378,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914387
SRR2733442,16000000,8e+08,50,282,SRX1357232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123040,SAMN04196688,simple,1280,Staphylococcus aureus,GSM1914378,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914388
