Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell treatment,GEO Accession
SRR5099264,25631448,1281572400,50,329,SRX2416024,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853607,SAMN06132006,simple,9606,Homo sapiens,GSM2424844,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF3-PAR-CLIP-repl.1,HeLa,HeLa cells,N terminal Flag-HA tagged YTHDF3 HeLa stable expression cell line,GSM2424844
SRR5099265,21446231,1072311550,50,284,SRX2416025,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853608,SAMN06132005,simple,9606,Homo sapiens,GSM2424845,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF3-PAR-CLIP-repl.2,HeLa,HeLa cells,N terminal Flag-HA tagged YTHDF3 HeLa stable expression cell line,GSM2424845
SRR5099266,30385517,1519275850,50,361,SRX2416026,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP083699,PRJNA340948,28106072,"",SRS1853609,SAMN06132004,simple,9606,Homo sapiens,GSM2424846,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF3-PAR-CLIP-repl.3,HeLa,HeLa cells,N terminal Flag-HA tagged YTHDF3 HeLa stable expression cell line,GSM2424846
SRR5099267,16000000,1.6e+09,100,581,SRX2416027,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP083699,PRJNA340948,28106072,"",SRS1853610,SAMN06132003,simple,9606,Homo sapiens,GSM2424847,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF3-RIP-IP-repl.1,HeLa,HeLa cells,overexpress N terminal Flag tagged YTHDF3 for 24 hr (0.75 ug plasmid/ml media),GSM2424847
SRR5099268,3400310,340031000,100,124,SRX2416027,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP083699,PRJNA340948,28106072,"",SRS1853610,SAMN06132003,simple,9606,Homo sapiens,GSM2424847,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF3-RIP-IP-repl.1,HeLa,HeLa cells,overexpress N terminal Flag tagged YTHDF3 for 24 hr (0.75 ug plasmid/ml media),GSM2424848
SRR5099269,16000000,1.6e+09,100,580,SRX2416028,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP083699,PRJNA340948,28106072,"",SRS1853611,SAMN06132002,simple,9606,Homo sapiens,GSM2424848,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF3-RIP-IP-repl.2,HeLa,HeLa cells,overexpress N terminal Flag tagged YTHDF3 for 24 hr (0.75 ug plasmid/ml media),GSM2424849
SRR5099270,11952236,1195223600,100,437,SRX2416028,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP083699,PRJNA340948,28106072,"",SRS1853611,SAMN06132002,simple,9606,Homo sapiens,GSM2424848,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF3-RIP-IP-repl.2,HeLa,HeLa cells,overexpress N terminal Flag tagged YTHDF3 for 24 hr (0.75 ug plasmid/ml media),GSM2424850
SRR5099271,16000000,1.6e+09,100,588,SRX2416029,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP083699,PRJNA340948,28106072,"",SRS1853612,SAMN06132001,simple,9606,Homo sapiens,GSM2424849,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF3-RIP-input-polyA,HeLa,HeLa cells,"40 nM siRNA knockdown for 48 hr, then 100 ug/ml Cycloheximide (CHX) incubation",GSM2424851
SRR5099272,4717337,471733700,100,173,SRX2416029,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP083699,PRJNA340948,28106072,"",SRS1853612,SAMN06132001,simple,9606,Homo sapiens,GSM2424849,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF3-RIP-input-polyA,HeLa,HeLa cells,"40 nM siRNA knockdown for 48 hr, then 100 ug/ml Cycloheximide (CHX) incubation",GSM2424852
SRR5099273,16000000,1.6e+09,100,586,SRX2416030,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP083699,PRJNA340948,28106072,"",SRS1853613,SAMN06132000,simple,9606,Homo sapiens,GSM2424850,GEO,SRA458091,12,2016,Shi,HeLa,YTHDF3-RIP-input-ribominus,HeLa,HeLa cells,"40 nM siRNA knockdown for 48 hr, then 100 ug/ml Cycloheximide (CHX) incubation",GSM2424853
