Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,age,tissue,GEO Accession
SRR6164214,110303378,27575844500,125,9165,SRX3275549,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586833,SAMN07777081,simple,10090,Mus musculus,GSM2809429,GEO,SRA619109,10,2023,"",RNA_E13.5_retina,RNA_E13.5_rep1,RNA_E13.5_retina,C57BL/6,wild type,embryo days 13.5,Retina,GSM2809429
SRR6164215,123535896,30883974000,125,10461,SRX3275550,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586834,SAMN07777080,simple,10090,Mus musculus,GSM2809430,GEO,SRA619109,10,2023,"",RNA_E13.5_retina,RNA_E13.5_rep2,RNA_E13.5_retina,C57BL/6,wild type,embryo days 13.5,Retina,GSM2809430
SRR6164218,122367937,30591984250,125,10113,SRX3275553,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586837,SAMN07777077,simple,10090,Mus musculus,GSM2809433,GEO,SRA619109,10,2023,"",RNA_P0_retina,RNA_P0_rep1,RNA_P0_retina,C57BL/6,wild type,postnatal days 0,Retina,GSM2809433
SRR6164219,124935935,31233983750,125,10329,SRX3275554,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586838,SAMN07777076,simple,10090,Mus musculus,GSM2809434,GEO,SRA619109,10,2023,"",RNA_P0_retina,RNA_P0_rep2,RNA_P0_retina,C57BL/6,wild type,postnatal days 0,Retina,GSM2809434
SRR6164220,124525388,31131347000,125,10266,SRX3275555,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586839,SAMN07777075,simple,10090,Mus musculus,GSM2809435,GEO,SRA619109,10,2023,"",RNA_P6_retina,RNA_P6_rep1,RNA_P6_retina,C57BL/6,wild type,postnatal days 6,Retina,GSM2809435
SRR6164221,124942213,31235553250,125,10467,SRX3275556,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586840,SAMN07777074,simple,10090,Mus musculus,GSM2809436,GEO,SRA619109,10,2023,"",RNA_P6_retina,RNA_P6_rep2,RNA_P6_retina,C57BL/6,wild type,postnatal days 6,Retina,GSM2809436
SRR6164224,124787808,31196952000,125,10375,SRX3275559,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586843,SAMN07777071,simple,10090,Mus musculus,GSM2809439,GEO,SRA619109,10,2023,"",RNA_P21_retina,RNA_P21_rep1,RNA_P21_retina,C57BL/6,wild type,postnatal days 21,Retina,GSM2809439
SRR6164225,114351112,28587778000,125,9494,SRX3275560,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586844,SAMN07777070,simple,10090,Mus musculus,GSM2809440,GEO,SRA619109,10,2023,"",RNA_P21_retina,RNA_P21_rep2,RNA_P21_retina,C57BL/6,wild type,postnatal days 21,Retina,GSM2809440
SRR6164226,111366920,27841730000,125,9241,SRX3275561,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586845,SAMN07777068,simple,10090,Mus musculus,GSM2809441,GEO,SRA619109,10,2023,"",RNA_P42_retina,RNA_P42_rep1,RNA_P42_retina,C57BL/6,wild type,postnatal days 42,Retina,GSM2809441
SRR6164227,112960653,28240163250,125,9350,SRX3275562,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP119847,PRJNA414090,,"",SRS2586846,SAMN07777067,simple,10090,Mus musculus,GSM2809442,GEO,SRA619109,10,2023,"",RNA_P42_retina,RNA_P42_rep2,RNA_P42_retina,C57BL/6,wild type,postnatal days 42,Retina,GSM2809442
