Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,age,genotype,GEO Accession
SRR8627906,32931461,9879438300,150,3873,SRX5426704,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186822,PRJNA524194,38310199,"",SRS4409821,SAMN11017038,simple,3702,Arabidopsis thaliana,GSM3629476,GEO,SRA852252,02,2024,Duan,14-day-old seedlings,Col-0_input_rep1,14-day-old seedlings,seedlings,14-day,wild-type,GSM3629476
SRR8627907,34847150,10454145000,150,4161,SRX5426705,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186822,PRJNA524194,38310199,"",SRS4409823,SAMN11017036,simple,3702,Arabidopsis thaliana,GSM3629477,GEO,SRA852252,02,2024,Duan,14-day-old seedlings,Col-0_input_rep2,14-day-old seedlings,seedlings,14-day,wild-type,GSM3629477
SRR8627908,33901676,10170502800,150,4095,SRX5426706,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186822,PRJNA524194,38310199,"",SRS4409822,SAMN11017034,simple,3702,Arabidopsis thaliana,GSM3629478,GEO,SRA852252,02,2024,Duan,14-day-old seedlings,rlmnl3_input_rep1,14-day-old seedlings,seedlings,14-day,rlmnl3 T-DNA insertion mutant,GSM3629478
SRR8627909,21771200,6531360000,150,2595,SRX5426707,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186822,PRJNA524194,38310199,"",SRS4409824,SAMN11017032,simple,3702,Arabidopsis thaliana,GSM3629479,GEO,SRA852252,02,2024,Duan,14-day-old seedlings,rlmnl3_input_rep2,14-day-old seedlings,seedlings,14-day,rlmnl3 T-DNA insertion mutant,GSM3629479
SRR8627910,25350639,1292882589,51,639,SRX5426708,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186822,PRJNA524194,38310199,"",SRS4409825,SAMN11017030,simple,3702,Arabidopsis thaliana,GSM3629480,GEO,SRA852252,02,2024,Duan,14-day-old seedlings,Col-0_RF_rep1,14-day-old seedlings,seedlings,14-day,wild-type,GSM3629480
SRR8627911,24754581,1262483631,51,614,SRX5426708,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186822,PRJNA524194,38310199,"",SRS4409825,SAMN11017030,simple,3702,Arabidopsis thaliana,GSM3629480,GEO,SRA852252,02,2024,Duan,14-day-old seedlings,Col-0_RF_rep1,14-day-old seedlings,seedlings,14-day,wild-type,GSM3629481
SRR8627912,28551480,1456125480,51,699,SRX5426709,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186822,PRJNA524194,38310199,"",SRS4409826,SAMN11017028,simple,3702,Arabidopsis thaliana,GSM3629481,GEO,SRA852252,02,2024,Duan,14-day-old seedlings,Col-0_RF_rep2,14-day-old seedlings,seedlings,14-day,rlmnl3 T-DNA insertion mutant,GSM3629482
SRR8627913,27822160,1418930160,51,670,SRX5426709,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186822,PRJNA524194,38310199,"",SRS4409826,SAMN11017028,simple,3702,Arabidopsis thaliana,GSM3629481,GEO,SRA852252,02,2024,Duan,14-day-old seedlings,Col-0_RF_rep2,14-day-old seedlings,seedlings,14-day,rlmnl3 T-DNA insertion mutant,GSM3629483
SRR8627914,36898695,1881833445,51,943,SRX5426710,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186822,PRJNA524194,38310199,"",SRS4409827,SAMN11017027,simple,3702,Arabidopsis thaliana,GSM3629482,GEO,SRA852252,02,2024,Duan,14-day-old seedlings,rlmnl3_RF_rep1,14-day-old seedlings,seedlings,14-day,wild-type,GSM3629476
SRR8627915,36159376,1844128176,51,907,SRX5426710,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186822,PRJNA524194,38310199,"",SRS4409827,SAMN11017027,simple,3702,Arabidopsis thaliana,GSM3629482,GEO,SRA852252,02,2024,Duan,14-day-old seedlings,rlmnl3_RF_rep1,14-day-old seedlings,seedlings,14-day,wild-type,GSM3629477
SRR8627916,15805908,806101308,51,413,SRX5426711,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP186822,PRJNA524194,38310199,"",SRS4409828,SAMN11017025,simple,3702,Arabidopsis thaliana,GSM3629483,GEO,SRA852252,02,2024,Duan,14-day-old seedlings,rlmnl3_RF_rep2,14-day-old seedlings,seedlings,14-day,rlmnl3 T-DNA insertion mutant,GSM3629478
