Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,developmental stage,tissue,genotype,ecotype,GEO Accession
SRR11782873,24978847,1873413525,75,743,SRX8335325,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261395,PRJNA632480,,"",SRS6654323,SAMN14910583,simple,3702,Arabidopsis thaliana,GSM4550821,GEO,SRA1074991,01,2025,"",seedlings,GFP replicate 1,seedlings,14-day-old seedlings,seedlings,GFP,Col-0,GSM4550821
SRR11782874,34826757,2612006775,75,1067,SRX8335326,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261395,PRJNA632480,,"",SRS6654324,SAMN14910600,simple,3702,Arabidopsis thaliana,GSM4550822,GEO,SRA1074991,01,2025,"",seedlings,GFP replicate 2,seedlings,14-day-old seedlings,seedlings,GFP,Col-0,GSM4550822
SRR11782875,59594594,8939189100,150,3992,SRX8335327,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261395,PRJNA632480,,"",SRS6654325,SAMN14910599,simple,3702,Arabidopsis thaliana,GSM4550823,GEO,SRA1074991,01,2025,"",seedlings,GFP replicate 3,seedlings,14-day-old seedlings,seedlings,GFP,Col-0,GSM4550823
SRR11782876,43281573,3246117975,75,1180,SRX8335328,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261395,PRJNA632480,,"",SRS6654326,SAMN14910598,simple,3702,Arabidopsis thaliana,GSM4550824,GEO,SRA1074991,01,2025,"",seedlings,GFP replicate 4,seedlings,14-day-old seedlings,seedlings,GFP,Col-0,GSM4550824
SRR11782877,45262891,3394716825,75,1401,SRX8335329,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261395,PRJNA632480,,"",SRS6654327,SAMN14910597,simple,3702,Arabidopsis thaliana,GSM4550825,GEO,SRA1074991,01,2025,"",seedlings,GFP-FIB1 replicate 1,seedlings,14-day-old seedlings,seedlings,GFP-FIB1,Col-0,GSM4550825
SRR11782878,43135659,6470348850,150,2853,SRX8335330,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261395,PRJNA632480,,"",SRS6654328,SAMN14910596,simple,3702,Arabidopsis thaliana,GSM4550826,GEO,SRA1074991,01,2025,"",seedlings,GFP-FIB1 replicate 2,seedlings,14-day-old seedlings,seedlings,GFP-FIB1,Col-0,GSM4550826
SRR11782879,38803351,5820502650,150,2550,SRX8335331,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261395,PRJNA632480,,"",SRS6654329,SAMN14910595,simple,3702,Arabidopsis thaliana,GSM4550827,GEO,SRA1074991,01,2025,"",seedlings,GFP-FIB1 replicate 3,seedlings,14-day-old seedlings,seedlings,GFP-FIB1,Col-0,GSM4550827
SRR11782880,35726525,2679489375,75,959,SRX8335332,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261395,PRJNA632480,,"",SRS6654330,SAMN14910594,simple,3702,Arabidopsis thaliana,GSM4550828,GEO,SRA1074991,01,2025,"",seedlings,GFP-FIB1 replicate 4,seedlings,14-day-old seedlings,seedlings,GFP-FIB1,Col-0,GSM4550828
SRR11782881,40708494,3053137050,75,1247,SRX8335333,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261395,PRJNA632480,,"",SRS6654331,SAMN14910593,simple,3702,Arabidopsis thaliana,GSM4550829,GEO,SRA1074991,01,2025,"",seedlings,CFP-FIB2 replicate 1,seedlings,14-day-old seedlings,seedlings,CFP-FIB2,Col-0,GSM4550829
SRR11782882,51971853,7795777950,150,3451,SRX8335334,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261395,PRJNA632480,,"",SRS6654332,SAMN14910591,simple,3702,Arabidopsis thaliana,GSM4550830,GEO,SRA1074991,01,2025,"",seedlings,CFP-FIB2 replicate 2,seedlings,14-day-old seedlings,seedlings,CFP-FIB2,Col-0,GSM4550830
SRR11782883,40339072,6050860800,150,2616,SRX8335335,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261395,PRJNA632480,,"",SRS6654333,SAMN14910590,simple,3702,Arabidopsis thaliana,GSM4550831,GEO,SRA1074991,01,2025,"",seedlings,CFP-FIB2 replicate 3,seedlings,14-day-old seedlings,seedlings,CFP-FIB2,Col-0,GSM4550831
SRR11782884,37421293,2806596975,75,1014,SRX8335336,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP261395,PRJNA632480,,"",SRS6654334,SAMN14910589,simple,3702,Arabidopsis thaliana,GSM4550832,GEO,SRA1074991,01,2025,"",seedlings,CFP-FIB2 replicate 4,seedlings,14-day-old seedlings,seedlings,CFP-FIB2,Col-0,GSM4550832
