Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line background,cell type,knock-out / igg control,time point,GEO Accession
SRR12146054,19078286,839444584,5,337,SRX8666778,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947347,SAMN15448031,simple,10090,Mus musculus,GSM4654275,GEO,SRA1094713,08,2024,"",IgG_time 0,"IgG, time 0, replicate 1",IgG_time 0,E14,mouse embryonic stem cells,IgG control,t0,GSM4654275
SRR12146055,121889564,5363140816,5,2133,SRX8666779,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947348,SAMN15448030,simple,10090,Mus musculus,GSM4654276,GEO,SRA1094713,08,2024,"",IgG_time 0,"IgG, time 0, replicate 2",IgG_time 0,E14,mouse embryonic stem cells,IgG control,t0,GSM4654276
SRR12146056,64603450,2842551800,5,1127,SRX8666780,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947349,SAMN15448029,simple,10090,Mus musculus,GSM4654277,GEO,SRA1094713,08,2024,"",IgG_time 0,"IgG, time 0, replicate 3",IgG_time 0,E14,mouse embryonic stem cells,IgG control,t0,GSM4654277
SRR12146057,4347267,191279748,5,76,SRX8666781,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947350,SAMN15448028,simple,10090,Mus musculus,GSM4654278,GEO,SRA1094713,08,2024,"",IgG_time 10,"IgG, time 10, replicate 1",IgG_time 10,E14,mouse embryonic stem cells,IgG control,t10,GSM4654278
SRR12146058,2820575,124105300,5,49,SRX8666782,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947351,SAMN15448027,simple,10090,Mus musculus,GSM4654279,GEO,SRA1094713,08,2024,"",IgG_time 10,"IgG, time 10, replicate 2",IgG_time 10,E14,mouse embryonic stem cells,IgG control,t10,GSM4654279
SRR12146059,430353,18935532,5,7,SRX8666783,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947352,SAMN15448026,simple,10090,Mus musculus,GSM4654280,GEO,SRA1094713,08,2024,"",IgG_time 10,"IgG, time 10, replicate 3",IgG_time 10,E14,mouse embryonic stem cells,IgG control,t10,GSM4654280
SRR12146060,28435970,1251182680,5,565,SRX8666784,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947353,SAMN15448025,simple,10090,Mus musculus,GSM4654281,GEO,SRA1094713,08,2024,"",Quaking KO_time 0,"Quaking KO, time 0, replicate 1",Quaking KO_time 0,E14,mouse embryonic stem cells,Quaking,t0,GSM4654281
SRR12146061,37856326,1665678344,5,747,SRX8666785,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947354,SAMN15448024,simple,10090,Mus musculus,GSM4654282,GEO,SRA1094713,08,2024,"",Quaking KO_time 0,"Quaking KO, time 0, replicate 2",Quaking KO_time 0,E14,mouse embryonic stem cells,Quaking,t0,GSM4654282
SRR12146062,98845914,4349220216,5,1934,SRX8666786,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947355,SAMN15448023,simple,10090,Mus musculus,GSM4654283,GEO,SRA1094713,08,2024,"",Quaking KO_time 0,"Quaking KO, time 0, replicate 3",Quaking KO_time 0,E14,mouse embryonic stem cells,Quaking,t0,GSM4654283
SRR12146063,63781161,2806371084,5,1255,SRX8666787,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947356,SAMN15448022,simple,10090,Mus musculus,GSM4654284,GEO,SRA1094713,08,2024,"",Quaking KO_time 10,"Quaking KO, time 10, replicate 1",Quaking KO_time 10,E14,mouse embryonic stem cells,Quaking,t10,GSM4654284
SRR12146064,3112460,136948240,5,63,SRX8666788,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947357,SAMN15448021,simple,10090,Mus musculus,GSM4654285,GEO,SRA1094713,08,2024,"",Quaking KO_time 10,"Quaking KO, time 10, replicate 2",Quaking KO_time 10,E14,mouse embryonic stem cells,Quaking,t10,GSM4654285
SRR12146065,32245847,1418817268,5,645,SRX8666789,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947358,SAMN15448020,simple,10090,Mus musculus,GSM4654286,GEO,SRA1094713,08,2024,"",Quaking KO_time 10,"Quaking KO, time 10, replicate 3",Quaking KO_time 10,E14,mouse embryonic stem cells,Quaking,t10,GSM4654286
SRR12146066,8819616,388063104,5,171,SRX8666790,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947359,SAMN15448019,simple,10090,Mus musculus,GSM4654287,GEO,SRA1094713,08,2024,"",Sam68 KO_time 0,"Sam68 KO, time 0, replicate 1",Sam68 KO_time 0,E14,mouse embryonic stem cells,Sam68,t0,GSM4654287
SRR12146067,81572080,3589171520,5,1572,SRX8666791,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947360,SAMN15448018,simple,10090,Mus musculus,GSM4654288,GEO,SRA1094713,08,2024,"",Sam68 KO_time 0,"Sam68 KO, time 0, replicate 2",Sam68 KO_time 0,E14,mouse embryonic stem cells,Sam68,t0,GSM4654288
SRR12146068,51439983,2263359252,5,995,SRX8666792,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947361,SAMN15448017,simple,10090,Mus musculus,GSM4654289,GEO,SRA1094713,08,2024,"",Sam68 KO_time 0,"Sam68 KO, time 0, replicate 3",Sam68 KO_time 0,E14,mouse embryonic stem cells,Sam68,t0,GSM4654289
SRR12146069,1653599,72758356,5,32,SRX8666793,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947362,SAMN15448016,simple,10090,Mus musculus,GSM4654290,GEO,SRA1094713,08,2024,"",Sam68 KO_time 10,"Sam68 KO, time 10, replicate 1",Sam68 KO_time 10,E14,mouse embryonic stem cells,Sam68,t10,GSM4654290
SRR12146070,120839160,5316923040,5,2327,SRX8666794,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270007,PRJNA644119,,"",SRS6947363,SAMN15448015,simple,10090,Mus musculus,GSM4654291,GEO,SRA1094713,08,2024,"",Sam68 KO_time 10,"Sam68 KO, time 10, replicate 2",Sam68 KO_time 10,E14,mouse embryonic stem cells,Sam68,t10,GSM4654291
