Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line background,cell type,knock-out,time point,GEO Accession
SRR12146072,27530280,1376514000,50,599,SRX8666796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270008,PRJNA644120,,"",SRS6947365,SAMN15448054,simple,10090,Mus musculus,GSM4654293,GEO,SRA1094714,08,2024,"","Quaking KO, time 0","Quaking KO, time 0, replicate 1 [Ribosome profiling]","Quaking KO, time 0",E14,mouse embryonic stem cells,Quaking,t0,GSM4654293
SRR12146073,8921129,446056450,50,194,SRX8666797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270008,PRJNA644120,,"",SRS6947366,SAMN15448053,simple,10090,Mus musculus,GSM4654294,GEO,SRA1094714,08,2024,"","Quaking KO, time 0","Quaking KO, time 0, replicate 2 [Ribosome profiling]","Quaking KO, time 0",E14,mouse embryonic stem cells,Quaking,t0,GSM4654294
SRR12146074,19814970,990748500,50,427,SRX8666798,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270008,PRJNA644120,,"",SRS6947367,SAMN15448052,simple,10090,Mus musculus,GSM4654295,GEO,SRA1094714,08,2024,"","Quaking KO, time 0","Quaking KO, time 0, replicate 3 [Ribosome profiling]","Quaking KO, time 0",E14,mouse embryonic stem cells,Quaking,t0,GSM4654295
SRR12146075,23428712,1171435600,50,522,SRX8666799,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270008,PRJNA644120,,"",SRS6947368,SAMN15448051,simple,10090,Mus musculus,GSM4654296,GEO,SRA1094714,08,2024,"","Quaking KO, time 10","Quaking KO, time 10, replicate 1 [Ribosome profiling]","Quaking KO, time 10",E14,mouse embryonic stem cells,Quaking,t10,GSM4654296
SRR12146076,39112459,1955622950,50,875,SRX8666800,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270008,PRJNA644120,,"",SRS6947369,SAMN15448050,simple,10090,Mus musculus,GSM4654297,GEO,SRA1094714,08,2024,"","Quaking KO, time 10","Quaking KO, time 10, replicate 2 [Ribosome profiling]","Quaking KO, time 10",E14,mouse embryonic stem cells,Quaking,t10,GSM4654297
SRR12146077,24578708,1228935400,50,544,SRX8666801,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270008,PRJNA644120,,"",SRS6947370,SAMN15448049,simple,10090,Mus musculus,GSM4654298,GEO,SRA1094714,08,2024,"","Quaking KO, time 10","Quaking KO, time 10, replicate 3 [Ribosome profiling]","Quaking KO, time 10",E14,mouse embryonic stem cells,Quaking,t10,GSM4654298
SRR12146078,31336363,1566818150,50,709,SRX8666802,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270008,PRJNA644120,,"",SRS6947371,SAMN15448048,simple,10090,Mus musculus,GSM4654299,GEO,SRA1094714,08,2024,"","Sam68 KO, time 0","Sam68 KO, time 0, replicate 1 [Ribosome profiling]","Sam68 KO, time 0",E14,mouse embryonic stem cells,Sam68,t0,GSM4654299
SRR12146079,56918783,2845939150,50,1270,SRX8666803,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270008,PRJNA644120,,"",SRS6947372,SAMN15448047,simple,10090,Mus musculus,GSM4654300,GEO,SRA1094714,08,2024,"","Sam68 KO, time 0","Sam68 KO, time 0, replicate 2 [Ribosome profiling]","Sam68 KO, time 0",E14,mouse embryonic stem cells,Sam68,t0,GSM4654300
SRR12146080,47049664,2352483200,50,1049,SRX8666804,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270008,PRJNA644120,,"",SRS6947373,SAMN15448046,simple,10090,Mus musculus,GSM4654301,GEO,SRA1094714,08,2024,"","Sam68 KO, time 0","Sam68 KO, time 0, replicate 3 [Ribosome profiling]","Sam68 KO, time 0",E14,mouse embryonic stem cells,Sam68,t0,GSM4654301
SRR12146081,58235812,2911790600,50,1297,SRX8666805,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP270008,PRJNA644120,,"",SRS6947374,SAMN15448045,simple,10090,Mus musculus,GSM4654302,GEO,SRA1094714,08,2024,"","Sam68 KO, time 10","Sam68 KO, time 10, replicate 1 [Ribosome profiling]","Sam68 KO, time 10",E14,mouse embryonic stem cells,Sam68,t10,GSM4654302
