Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,chip antibody,GEO Accession
SRR12930903,10581559,1544253588,72,586,SRX9394994,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP290276,PRJNA673152,1,"",SRS7626931,SAMN16592004,simple,9606,Homo sapiens,GSM4872300,GEO,SRA1149983,10,2023,Makar,S2-013 6 hour treatment input,"S2-013 cells, 6 hour acetate treatment, input",S2-013 6 hour treatment input,pancreatic cancer cell line S2-013,Acetate,none,GSM4872300
SRR12930904,10458460,1526525995,72,579,SRX9394994,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP290276,PRJNA673152,1,"",SRS7626931,SAMN16592004,simple,9606,Homo sapiens,GSM4872300,GEO,SRA1149983,10,2023,Makar,S2-013 6 hour treatment input,"S2-013 cells, 6 hour acetate treatment, input",S2-013 cell line control,pancreatic cancer cell line S2-013,Vehicle,"H3K27Ac (Active Motif, #39133)",GSM4872297
SRR12930905,12014679,1755563684,72,649,SRX9394994,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP290276,PRJNA673152,1,"",SRS7626931,SAMN16592004,simple,9606,Homo sapiens,GSM4872300,GEO,SRA1149983,10,2023,Makar,S2-013 6 hour treatment input,"S2-013 cells, 6 hour acetate treatment, input",S2-013 cell line input,pancreatic cancer cell line S2-013,Vehicle,none,GSM4872298
SRR12930906,10623093,1549926844,72,589,SRX9394994,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP290276,PRJNA673152,1,"",SRS7626931,SAMN16592004,simple,9606,Homo sapiens,GSM4872300,GEO,SRA1149983,10,2023,Makar,S2-013 6 hour treatment input,"S2-013 cells, 6 hour acetate treatment, input",S2-013 6 hour treatment,pancreatic cancer cell line S2-013,Acetate,"H3K27Ac (Active Motif, #39133)",GSM4872299
SRR12930891,9061710,1334996945,73,512,SRX9394995,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP290276,PRJNA673152,1,"",SRS7626930,SAMN16592007,simple,9606,Homo sapiens,GSM4872297,GEO,SRA1149983,10,2023,Makar,S2-013 cell line control,"S2-013 cells, control treatment, ChIP-seq",S2-013 6 hour treatment input,pancreatic cancer cell line S2-013,Acetate,none,GSM4872300
SRR12930892,8940844,1317304282,73,504,SRX9394995,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP290276,PRJNA673152,1,"",SRS7626930,SAMN16592007,simple,9606,Homo sapiens,GSM4872297,GEO,SRA1149983,10,2023,Makar,S2-013 cell line control,"S2-013 cells, control treatment, ChIP-seq",S2-013 cell line control,pancreatic cancer cell line S2-013,Vehicle,"H3K27Ac (Active Motif, #39133)",GSM4872297
SRR12930893,10229028,1508421788,73,562,SRX9394995,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP290276,PRJNA673152,1,"",SRS7626930,SAMN16592007,simple,9606,Homo sapiens,GSM4872297,GEO,SRA1149983,10,2023,Makar,S2-013 cell line control,"S2-013 cells, control treatment, ChIP-seq",S2-013 cell line input,pancreatic cancer cell line S2-013,Vehicle,none,GSM4872298
SRR12930894,9037352,1330967910,73,510,SRX9394995,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP290276,PRJNA673152,1,"",SRS7626930,SAMN16592007,simple,9606,Homo sapiens,GSM4872297,GEO,SRA1149983,10,2023,Makar,S2-013 cell line control,"S2-013 cells, control treatment, ChIP-seq",S2-013 6 hour treatment,pancreatic cancer cell line S2-013,Acetate,"H3K27Ac (Active Motif, #39133)",GSM4872299
SRR12930895,9405073,1377685680,73,529,SRX9394996,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP290276,PRJNA673152,1,"",SRS7626932,SAMN16592006,simple,9606,Homo sapiens,GSM4872298,GEO,SRA1149983,10,2023,Makar,S2-013 cell line input,"S2-013 cells, control treatment, input",S2-013 6 hour treatment input,pancreatic cancer cell line S2-013,Acetate,none,GSM4872300
SRR12930896,9259492,1356566324,73,520,SRX9394996,,ChIP-Seq,ChIP,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP290276,PRJNA673152,1,"",SRS7626932,SAMN16592006,simple,9606,Homo sapiens,GSM4872298,GEO,SRA1149983,10,2023,Makar,S2-013 cell line input,"S2-013 cells, control treatment, input",S2-013 cell line control,pancreatic cancer cell line S2-013,Vehicle,"H3K27Ac (Active Motif, #39133)",GSM4872297
