Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,growth phase,cdna type,GEO Accession
SRR13858939,35237341,1761867050,50,513,SRX10239935,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309329,PRJNA706704,38252661,"",SRS8381341,SAMN18140848,simple,1280,Staphylococcus aureus,GSM5135222,GEO,SRA1203083,01,2024,Shields,YP2_RPF_KES34_bacterial cells,YP2_RPF_KES34_rep1,YP2_RPF_KES34_bacterial cells,USA300_FPR3757,KES34 (unmodified ribosomes),Exponentially grown,Ribosome-protected mRNA fragments (RPFs),GSM5135222
SRR13858940,27138414,1356920700,50,364,SRX10239936,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309329,PRJNA706704,38252661,"",SRS8381342,SAMN18140847,simple,1280,Staphylococcus aureus,GSM5135223,GEO,SRA1203083,01,2024,Shields,YP4_Total_KES34_bacterial cells,YP4_Total_KES34_rep1,YP4_Total_KES34_bacterial cells,USA300_FPR3757,KES34 (unmodified ribosomes),Exponentially grown,Total mRNAs,GSM5135223
SRR13858941,26411763,1320588150,50,385,SRX10239937,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309329,PRJNA706704,38252661,"",SRS8381343,SAMN18140846,simple,1280,Staphylococcus aureus,GSM5135224,GEO,SRA1203083,01,2024,Shields,YP6_RPF_KES34_bacterial cells,YP6_RPF_KES34_rep2,YP6_RPF_KES34_bacterial cells,USA300_FPR3757,KES34 (unmodified ribosomes),Exponentially grown,Ribosome-protected mRNA fragments (RPFs),GSM5135224
SRR13858942,29756102,1487805100,50,432,SRX10239938,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309329,PRJNA706704,38252661,"",SRS8381344,SAMN18140845,simple,1280,Staphylococcus aureus,GSM5135225,GEO,SRA1203083,01,2024,Shields,YP8_Total_KES34_bacterial cells,YP8_Total_KES34_rep2,YP8_Total_KES34_bacterial cells,USA300_FPR3757,KES34 (unmodified ribosomes),Exponentially grown,Total mRNAs,GSM5135225
SRR13858943,44689327,2234466350,50,647,SRX10239939,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309329,PRJNA706704,38252661,"",SRS8381345,SAMN18140844,simple,1280,Staphylococcus aureus,GSM5135226,GEO,SRA1203083,01,2024,Shields,YP10_RPF_KES34_bacterial cells,YP10_RPF_KES34_rep3,YP10_RPF_KES34_bacterial cells,USA300_FPR3757,KES34 (unmodified ribosomes),Exponentially grown,Ribosome-protected mRNA fragments (RPFs),GSM5135226
SRR13858944,31086772,1554338600,50,443,SRX10239940,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309329,PRJNA706704,38252661,"",SRS8381346,SAMN18140843,simple,1280,Staphylococcus aureus,GSM5135227,GEO,SRA1203083,01,2024,Shields,YP12_Total_KES34_bacterial cells,YP12_Total_KES34_rep3,YP12_Total_KES34_bacterial cells,USA300_FPR3757,KES34 (unmodified ribosomes),Exponentially grown,Total mRNAs,GSM5135227
SRR13858945,39237249,2001099699,51,609,SRX10239941,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309329,PRJNA706704,38252661,"",SRS8381347,SAMN18140842,simple,1280,Staphylococcus aureus,GSM5135228,GEO,SRA1203083,01,2024,Shields,YP13_RPF_KES30_bacterial cells,YP13_RPF_KES30_rep1,YP13_RPF_KES30_bacterial cells,USA300_FPR3757,KES30 (m6A2058-modified ribosomes),Exponentially grown,Ribosome-protected mRNA fragments (RPFs),GSM5135228
SRR13858946,34598466,1764521766,51,539,SRX10239942,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309329,PRJNA706704,38252661,"",SRS8381348,SAMN18140841,simple,1280,Staphylococcus aureus,GSM5135229,GEO,SRA1203083,01,2024,Shields,YP15_RPF_KES30_bacterial cells,YP15_RPF_KES30_rep2,YP15_RPF_KES30_bacterial cells,USA300_FPR3757,KES30 (m6A2058-modified ribosomes),Exponentially grown,Ribosome-protected mRNA fragments (RPFs),GSM5135229
SRR13858947,45309385,2310778635,51,698,SRX10239943,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309329,PRJNA706704,38252661,"",SRS8381349,SAMN18140840,simple,1280,Staphylococcus aureus,GSM5135230,GEO,SRA1203083,01,2024,Shields,YP16_Total_KES30_bacterial cells,YP16_Total_KES30_rep1,YP16_Total_KES30_bacterial cells,USA300_FPR3757,KES30 (m6A2058-modified ribosomes),Exponentially grown,Total mRNAs,GSM5135230
SRR13858948,30737116,1567592916,51,476,SRX10239944,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP309329,PRJNA706704,38252661,"",SRS8381350,SAMN18140839,simple,1280,Staphylococcus aureus,GSM5135231,GEO,SRA1203083,01,2024,Shields,YP_18_Total_KES30_bacterial cells,YP_18_Total_KES30_rep2,YP_18_Total_KES30_bacterial cells,USA300_FPR3757,KES30 (m6A2058-modified ribosomes),Exponentially grown,Total mRNAs,GSM5135231
