Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,sample type,GEO Accession
SRR14065995,23720523,1186026150,50,972,SRX10440494,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312034,PRJNA717060,,"",SRS8572914,SAMN18477357,simple,9606,Homo sapiens,GSM5210382,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Vector_Polyribosome_rep1,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,Wild type,RNA-seq,GSM5210382
SRR14065996,23745188,1187259400,50,985,SRX10440495,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312034,PRJNA717060,,"",SRS8572915,SAMN18477356,simple,9606,Homo sapiens,GSM5210383,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Vector_Polyribosome_rep2,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,Wild type,RNA-seq,GSM5210383
SRR14065997,22347161,1117358050,50,922,SRX10440496,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312034,PRJNA717060,,"",SRS8572916,SAMN18477355,simple,9606,Homo sapiens,GSM5210384,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Vector_Polyribosome_rep3,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,Wild type,RNA-seq,GSM5210384
SRR14065998,23783936,1189196800,50,989,SRX10440497,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312034,PRJNA717060,,"",SRS8572917,SAMN18477354,simple,9606,Homo sapiens,GSM5210385,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,KO_Input_rep1,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,METTL1 knockout,RNA-seq,GSM5210385
SRR14065999,23782132,1189106600,50,991,SRX10440498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312034,PRJNA717060,,"",SRS8572918,SAMN18477353,simple,9606,Homo sapiens,GSM5210386,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,KO_Input_rep2,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,METTL1 knockout,RNA-seq,GSM5210386
SRR14066000,23778086,1188904300,50,992,SRX10440499,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312034,PRJNA717060,,"",SRS8572919,SAMN18477352,simple,9606,Homo sapiens,GSM5210387,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,KO_Input_rep3,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,METTL1 knockout,RNA-seq,GSM5210387
SRR14066001,23788204,1189410200,50,983,SRX10440500,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312034,PRJNA717060,,"",SRS8572920,SAMN18477351,simple,9606,Homo sapiens,GSM5210388,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,KO_Polyribosome_rep1,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,METTL1 knockout,RNA-seq,GSM5210388
SRR14066002,23788594,1189429700,50,980,SRX10440501,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312034,PRJNA717060,,"",SRS8572921,SAMN18477350,simple,9606,Homo sapiens,GSM5210389,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,KO_Polyribosome_rep2,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,METTL1 knockout,RNA-seq,GSM5210389
SRR14066003,23781677,1189083850,50,989,SRX10440502,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312034,PRJNA717060,,"",SRS8572922,SAMN18477349,simple,9606,Homo sapiens,GSM5210390,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,KO_Polyribosome_rep3,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,METTL1 knockout,RNA-seq,GSM5210390
SRR14066004,36076852,3607685200,100,2453,SRX10440503,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312034,PRJNA717060,,"",SRS8572923,SAMN18477348,simple,9606,Homo sapiens,GSM5210391,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Vector_Alkb_Treated_Input_for_TRAC-Seq,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,Wild type,TRAC-seq,GSM5210391
SRR14066005,27584889,2758488900,100,1868,SRX10440504,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312034,PRJNA717060,,"",SRS8572924,SAMN18477347,simple,9606,Homo sapiens,GSM5210392,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Knockout_Alkb_Treated_Input_for_TRAC-Seq,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,METTL1 knockout,TRAC-seq,GSM5210392
SRR14066006,35071747,3507174700,100,2403,SRX10440505,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312034,PRJNA717060,,"",SRS8572925,SAMN18477346,simple,9606,Homo sapiens,GSM5210393,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Vector_Alkb_and_NaBH4_Treated_TRAC-Seq,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,Wild type,TRAC-seq,GSM5210393
SRR14066007,37936773,3793677300,100,2533,SRX10440506,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP312034,PRJNA717060,,"",SRS8572926,SAMN18477345,simple,9606,Homo sapiens,GSM5210394,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Knockout_Alkb_and_NaBH4_Treated_TRAC-Seq,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,METTL1 knockout,TRAC-seq,GSM5210394
SRR14066008,20939051,3140857650,150,1015,SRX10440507,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP312034,PRJNA717060,,"",SRS8572927,SAMN18477364,simple,9606,Homo sapiens,GSM5210395,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Vector_Input_for_RiboSeq,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,Wild type,Ribo-seq,GSM5210395
SRR14066009,146809207,22021381050,150,9384,SRX10440508,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP312034,PRJNA717060,,"",SRS8572928,SAMN18477363,simple,9606,Homo sapiens,GSM5210396,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Vector_RiboSeq,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,Wild type,Ribo-seq,GSM5210396
SRR14066010,20939051,3140857650,150,963,SRX10440509,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP312034,PRJNA717060,,"",SRS8572929,SAMN18477362,simple,9606,Homo sapiens,GSM5210397,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Knockout_Input_for_RiboSeq,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,METTL1 knockout,Ribo-seq,GSM5210397
SRR14066011,138243588,20736538200,150,8814,SRX10440510,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP312034,PRJNA717060,,"",SRS8572930,SAMN18477361,simple,9606,Homo sapiens,GSM5210398,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Knockout_RiboSeq,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,METTL1 knockout,Ribo-seq,GSM5210398
SRR14065992,23814524,1190726200,50,976,SRX10440511,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312034,PRJNA717060,,"",SRS8572931,SAMN18477360,simple,9606,Homo sapiens,GSM5210379,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Vector_Input_repl,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,Wild type,RNA-seq,GSM5210379
SRR14065993,23799250,1189962500,50,977,SRX10440512,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312034,PRJNA717060,,"",SRS8572932,SAMN18477359,simple,9606,Homo sapiens,GSM5210380,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Vector_Input_rep2,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,Wild type,RNA-seq,GSM5210380
SRR14065994,23783215,1189160750,50,992,SRX10440513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP312034,PRJNA717060,,"",SRS8572933,SAMN18477358,simple,9606,Homo sapiens,GSM5210381,GEO,SRA1210103,03,2024,"",Nasopharyngeal carcinoma 5-8F cells,Vector_Input_rep3,Nasopharyngeal carcinoma 5-8F cells,5-8F,Nasopharyngeal carcinoma cell line,Wild type,RNA-seq,GSM5210381
