Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,isolates,cell type,genotype,GEO Accession
SRR26680410,12719581,1672775962,131,626,SRX22380264,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426843,SAMN38116561,simple,4932,Saccharomyces cerevisiae,GSM7882951,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_AMH-1,yeast cells,AMH,yeast cells,Wild type,GSM7882951
SRR26680411,17336427,2278879530,131,859,SRX22380265,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426844,SAMN38116562,simple,4932,Saccharomyces cerevisiae,GSM7882952,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_AMH-2,yeast cells,AMH,yeast cells,Wild type,GSM7882952
SRR26680412,12176666,1604132843,131,598,SRX22380266,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426845,SAMN38116563,simple,4932,Saccharomyces cerevisiae,GSM7882953,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_BAN-1,yeast cells,BAN,yeast cells,Wild type,GSM7882953
SRR26680413,15056273,1993404036,132,748,SRX22380267,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426846,SAMN38116559,simple,4932,Saccharomyces cerevisiae,GSM7882954,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_BAN-2,yeast cells,BAN,yeast cells,Wild type,GSM7882954
SRR26680414,12455856,1619772710,130,595,SRX22380268,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426847,SAMN38116564,simple,4932,Saccharomyces cerevisiae,GSM7882955,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_BED-1,yeast cells,BED,yeast cells,Wild type,GSM7882955
SRR26680415,17033644,2216239981,130,809,SRX22380269,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426848,SAMN38116565,simple,4932,Saccharomyces cerevisiae,GSM7882956,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_BED-2,yeast cells,BED,yeast cells,Wild type,GSM7882956
SRR26680416,14359405,1889034468,131,688,SRX22380270,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426849,SAMN38116566,simple,4932,Saccharomyces cerevisiae,GSM7882957,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_BPL-1,yeast cells,BPL,yeast cells,Wild type,GSM7882957
SRR26680417,13625503,1793463992,131,657,SRX22380271,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426850,SAMN38116567,simple,4932,Saccharomyces cerevisiae,GSM7882958,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_BPL-2,yeast cells,BPL,yeast cells,Wild type,GSM7882958
SRR26680418,13222557,1731729439,130,633,SRX22380272,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426851,SAMN38116568,simple,4932,Saccharomyces cerevisiae,GSM7882959,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_BTT-1,yeast cells,BTT,yeast cells,Wild type,GSM7882959
SRR26680419,13864265,1817271452,131,662,SRX22380273,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426852,SAMN38116569,simple,4932,Saccharomyces cerevisiae,GSM7882960,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_BTT-2,yeast cells,BTT,yeast cells,Wild type,GSM7882960
SRR26680420,10733736,1429972324,133,541,SRX22380274,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426853,SAMN38116570,simple,4932,Saccharomyces cerevisiae,GSM7882961,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_CMP-1,yeast cells,CMP,yeast cells,Wild type,GSM7882961
SRR26680421,12684105,1688594059,133,640,SRX22380275,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426854,SAMN38116571,simple,4932,Saccharomyces cerevisiae,GSM7882962,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_CMP-2,yeast cells,CMP,yeast cells,Wild type,GSM7882962
SRR26680422,14881644,1960014618,131,722,SRX22380276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426855,SAMN38116572,simple,4932,Saccharomyces cerevisiae,GSM7882963,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_CPI-1,yeast cells,CPI,yeast cells,Wild type,GSM7882963
SRR26680423,16103038,2126902609,132,796,SRX22380277,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426856,SAMN38116573,simple,4932,Saccharomyces cerevisiae,GSM7882964,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_CPI-2,yeast cells,CPI,yeast cells,Wild type,GSM7882964
SRR26680424,13738161,1825550742,132,688,SRX22380278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426857,SAMN38116574,simple,4932,Saccharomyces cerevisiae,GSM7882965,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_CQC-1,yeast cells,CQC,yeast cells,Wild type,GSM7882965
SRR26680425,12464586,1655637738,132,624,SRX22380279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426858,SAMN38116575,simple,4932,Saccharomyces cerevisiae,GSM7882966,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,RNA_CQC-2,yeast cells,CQC,yeast cells,Wild type,GSM7882966
SRR26680426,36068564,845982088,23,1167,SRX22380280,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426859,SAMN38116576,simple,4932,Saccharomyces cerevisiae,GSM7882967,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_AMH-1,yeast cells,AMH,yeast cells,Wild type,GSM7882967
SRR26680427,71155158,1655601845,23,2296,SRX22380281,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426860,SAMN38116577,simple,4932,Saccharomyces cerevisiae,GSM7882968,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_AMH-2,yeast cells,AMH,yeast cells,Wild type,GSM7882968
SRR26680428,29713397,751469051,25,979,SRX22380282,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426861,SAMN38116578,simple,4932,Saccharomyces cerevisiae,GSM7882969,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_BAN-1,yeast cells,BAN,yeast cells,Wild type,GSM7882969
SRR26680429,20668776,517954571,25,680,SRX22380283,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426862,SAMN38116579,simple,4932,Saccharomyces cerevisiae,GSM7882970,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_BAN-2,yeast cells,BAN,yeast cells,Wild type,GSM7882970
SRR26680430,21985653,559168630,25,726,SRX22380284,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426863,SAMN38116580,simple,4932,Saccharomyces cerevisiae,GSM7882971,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_BED-1,yeast cells,BED,yeast cells,Wild type,GSM7882971
SRR26680431,30829004,789586618,25,1019,SRX22380285,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426864,SAMN38116581,simple,4932,Saccharomyces cerevisiae,GSM7882972,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_BED-2,yeast cells,BED,yeast cells,Wild type,GSM7882972
SRR26680432,22756237,579659951,25,752,SRX22380286,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426865,SAMN38116582,simple,4932,Saccharomyces cerevisiae,GSM7882973,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_BPL-1,yeast cells,BPL,yeast cells,Wild type,GSM7882973
SRR26680433,34235308,865717667,25,1127,SRX22380287,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426866,SAMN38116583,simple,4932,Saccharomyces cerevisiae,GSM7882974,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_BPL-2,yeast cells,BPL,yeast cells,Wild type,GSM7882974
SRR26680434,65424287,1585491038,24,2133,SRX22380288,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426867,SAMN38116584,simple,4932,Saccharomyces cerevisiae,GSM7882975,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_BTT-1,yeast cells,BTT,yeast cells,Wild type,GSM7882975
SRR26680435,84138652,2069375777,24,2750,SRX22380289,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426868,SAMN38116585,simple,4932,Saccharomyces cerevisiae,GSM7882976,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_BTT-2,yeast cells,BTT,yeast cells,Wild type,GSM7882976
SRR26680436,32386524,761498423,23,1049,SRX22380290,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426869,SAMN38116586,simple,4932,Saccharomyces cerevisiae,GSM7882977,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_CMP-1,yeast cells,CMP,yeast cells,Wild type,GSM7882977
SRR26680437,34739069,828492783,23,1130,SRX22380291,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426870,SAMN38116587,simple,4932,Saccharomyces cerevisiae,GSM7882978,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_CMP-2,yeast cells,CMP,yeast cells,Wild type,GSM7882978
SRR26680438,34169211,833331140,24,1117,SRX22380292,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426871,SAMN38116588,simple,4932,Saccharomyces cerevisiae,GSM7882979,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_CPI-1,yeast cells,CPI,yeast cells,Wild type,GSM7882979
SRR26680439,33071814,797530124,24,1078,SRX22380293,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426872,SAMN38116589,simple,4932,Saccharomyces cerevisiae,GSM7882980,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_CPI-2,yeast cells,CPI,yeast cells,Wild type,GSM7882980
SRR26680440,34047613,840051097,24,1117,SRX22380294,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426873,SAMN38116590,simple,4932,Saccharomyces cerevisiae,GSM7882981,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_CQC-1,yeast cells,CQC,yeast cells,Wild type,GSM7882981
SRR26680441,33926517,806867921,23,1101,SRX22380295,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP318024,PRJNA726548,38261993,"",SRS19426874,SAMN38116591,simple,4932,Saccharomyces cerevisiae,GSM7882982,GEO,SRA1226041,02,2024,Teyssonniere,yeast cells,Ribo_CQC-2,yeast cells,CQC,yeast cells,Wild type,GSM7882982
