Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,cell type
SRR16561784,23802827,1190141350,50,668,SRX12763901,GSM5653159,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP342986,PRJNA774057,,"",SRS10711061,SAMN22549798,simple,9606,Homo sapiens,GSM5653159,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,Vector_Input_rep1,Nasopharyngeal carcinoma 5-8F cells,Widl type,Nasopharyngeal carcinoma 5-8F cells
SRR16561783,23547462,1177373100,50,660,SRX12763902,GSM5653160,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP342986,PRJNA774057,,"",SRS10711062,SAMN22549797,simple,9606,Homo sapiens,GSM5653160,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,Vector_Input_rep2,Nasopharyngeal carcinoma 5-8F cells,Wild type,Nasopharyngeal carcinoma 5-8F cells
SRR16561782,23817309,1190865450,50,653,SRX12763903,GSM5653161,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP342986,PRJNA774057,,"",SRS10711063,SAMN22549796,simple,9606,Homo sapiens,GSM5653161,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,Vector_Input_rep3,Nasopharyngeal carcinoma 5-8F cells,Wild type,Nasopharyngeal carcinoma 5-8F cells
SRR16561781,23770500,1188525000,50,659,SRX12763904,GSM5653162,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP342986,PRJNA774057,,"",SRS10711064,SAMN22549795,simple,9606,Homo sapiens,GSM5653162,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,Vector_Polyribosome_rep1,Nasopharyngeal carcinoma 5-8F cells,Widl type,Nasopharyngeal carcinoma 5-8F cells
SRR16561780,23842337,1192116850,50,659,SRX12763905,GSM5653163,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP342986,PRJNA774057,,"",SRS10711065,SAMN22549794,simple,9606,Homo sapiens,GSM5653163,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,Vector_Polyribosome_rep2,Nasopharyngeal carcinoma 5-8F cells,Wild type,Nasopharyngeal carcinoma 5-8F cells
SRR16561779,23701755,1185087750,50,656,SRX12763906,GSM5653164,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP342986,PRJNA774057,,"",SRS10711066,SAMN22549793,simple,9606,Homo sapiens,GSM5653164,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,Vector_Polyribosome_rep3,Nasopharyngeal carcinoma 5-8F cells,Wild type,Nasopharyngeal carcinoma 5-8F cells
SRR16561778,23697896,1184894800,50,658,SRX12763907,GSM5653165,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP342986,PRJNA774057,,"",SRS10711067,SAMN22549792,simple,9606,Homo sapiens,GSM5653165,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,KO_Input_rep1,Nasopharyngeal carcinoma 5-8F cells,METTL5 knockout,Nasopharyngeal carcinoma 5-8F cells
SRR16561777,23773957,1188697850,50,661,SRX12763908,GSM5653166,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP342986,PRJNA774057,,"",SRS10711068,SAMN22549791,simple,9606,Homo sapiens,GSM5653166,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,KO_Input_rep2,Nasopharyngeal carcinoma 5-8F cells,METTL5 knockout,Nasopharyngeal carcinoma 5-8F cells
SRR16561776,23679999,1183999950,50,652,SRX12763909,GSM5653167,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP342986,PRJNA774057,,"",SRS10711069,SAMN22549790,simple,9606,Homo sapiens,GSM5653167,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,KO_Input_rep3,Nasopharyngeal carcinoma 5-8F cells,METTL5 knockout,Nasopharyngeal carcinoma 5-8F cells
SRR16561775,23804878,1190243900,50,664,SRX12763910,GSM5653168,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP342986,PRJNA774057,,"",SRS10711070,SAMN22549789,simple,9606,Homo sapiens,GSM5653168,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,KO_Polyribosome_rep1,Nasopharyngeal carcinoma 5-8F cells,METTL5 knockout,Nasopharyngeal carcinoma 5-8F cells
SRR16561774,23809947,1190497350,50,662,SRX12763911,GSM5653169,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP342986,PRJNA774057,,"",SRS10711071,SAMN22549788,simple,9606,Homo sapiens,GSM5653169,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,KO_Polyribosome_rep2,Nasopharyngeal carcinoma 5-8F cells,METTL5 knockout,Nasopharyngeal carcinoma 5-8F cells
SRR16561773,23791280,1189564000,50,665,SRX12763912,GSM5653170,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP342986,PRJNA774057,,"",SRS10711072,SAMN22549787,simple,9606,Homo sapiens,GSM5653170,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,KO_Polyribosome_rep3,Nasopharyngeal carcinoma 5-8F cells,METTL5 knockout,Nasopharyngeal carcinoma 5-8F cells
SRR16561772,23982180,3597327000,150,1102,SRX12763913,GSM5653171,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP342986,PRJNA774057,,"",SRS10711073,SAMN22549786,simple,9606,Homo sapiens,GSM5653171,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,Vector_Input_for_RiboSeq,Nasopharyngeal carcinoma 5-8F cells,Wild type,Nasopharyngeal carcinoma 5-8F cells
SRR16561771,23982180,3597327000,0,1212,SRX12763914,GSM5653172,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP342986,PRJNA774057,,"",SRS10711074,SAMN22549785,simple,9606,Homo sapiens,GSM5653172,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,Vector_RiboSeq,Nasopharyngeal carcinoma 5-8F cells,Wild type,Nasopharyngeal carcinoma 5-8F cells
SRR16561770,20186504,3027975600,150,923,SRX12763915,GSM5653173,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP342986,PRJNA774057,,"",SRS10711075,SAMN22549784,simple,9606,Homo sapiens,GSM5653173,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,Knockout_Input_for_RiboSeq,Nasopharyngeal carcinoma 5-8F cells,METTL5 knockout,Nasopharyngeal carcinoma 5-8F cells
SRR16561769,20186504,3027975600,0,1011,SRX12763916,GSM5653174,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP342986,PRJNA774057,,"",SRS10711076,SAMN22549783,simple,9606,Homo sapiens,GSM5653174,"Clincial for Translational Medicine, The First Affiliated Hospital of Sun Yat-sen University",SRA1322584,10,2024,Peng,Nasopharyngeal carcinoma 5-8F cells,Knockout_RiboSeq,Nasopharyngeal carcinoma 5-8F cells,METTL5 knockout,Nasopharyngeal carcinoma 5-8F cells
