Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,developmental stage,Sex,tissue,growth conditions,GEO Accession
SRR16761063,67632415,10144862250,150,3385,SRX12961379,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903124,SAMN22863194,simple,6239,Caenorhabditis elegans,GSM5668003,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004) C. elegans,wildtypeANSDisomeShortRep1,unc-54(srf1004) C. elegans,WJA1004,unc-54(srf1004),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668003
SRR16761064,70691337,10603700550,150,3557,SRX12961380,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903126,SAMN22863195,simple,6239,Caenorhabditis elegans,GSM5668004,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004) C. elegans,wildtypeANSDisomeRep1,unc-54(srf1004) C. elegans,WJA1004,unc-54(srf1004),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668004
SRR16761065,9742626,1461393900,150,458,SRX12961381,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903125,SAMN22863196,simple,6239,Caenorhabditis elegans,GSM5668005,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004) C. elegans,wildtypeRNASeq,unc-54(srf1004) C. elegans,WJA1004,unc-54(srf1004),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668005
SRR16761066,17360532,2604079800,150,855,SRX12961382,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903127,SAMN22863197,simple,6239,Caenorhabditis elegans,GSM5668006,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004); znf-598(srf2119) C. elegans,znf-598CHXMonosomeRep1,unc-54(srf1004); znf-598(srf2119) C. elegans,WJA1009,unc-54(srf1004); znf-598(srf2119),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668006
SRR16761067,14554013,2183101950,150,735,SRX12961383,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903128,SAMN22863198,simple,6239,Caenorhabditis elegans,GSM5668007,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004); znf-598(srf2119) C. elegans,znf-598CHXDisomeRep1,unc-54(srf1004); znf-598(srf2119) C. elegans,WJA1009,unc-54(srf1004); znf-598(srf2119),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668007
SRR16761068,42088482,6313272300,150,2070,SRX12961384,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903129,SAMN22863199,simple,6239,Caenorhabditis elegans,GSM5668008,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004); znf-598(srf2119) C. elegans,znf-598ANSMonosomeRep1,unc-54(srf1004); znf-598(srf2119) C. elegans,WJA1009,unc-54(srf1004); znf-598(srf2119),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668008
SRR16761069,45427212,6814081800,150,2320,SRX12961385,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903130,SAMN22863200,simple,6239,Caenorhabditis elegans,GSM5668009,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004); znf-598(srf2119) C. elegans,znf-598ANSDisomeShortRep1,unc-54(srf1004); znf-598(srf2119) C. elegans,WJA1009,unc-54(srf1004); znf-598(srf2119),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668009
SRR16761070,55948275,8392241250,150,2785,SRX12961386,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903131,SAMN22863201,simple,6239,Caenorhabditis elegans,GSM5668010,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004); znf-598(srf2119) C. elegans,znf-598ANSDisomeRep1,unc-54(srf1004); znf-598(srf2119) C. elegans,WJA1009,unc-54(srf1004); znf-598(srf2119),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668010
SRR16761071,3915721,587358150,150,186,SRX12961387,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903132,SAMN22863202,simple,6239,Caenorhabditis elegans,GSM5668011,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004); znf-598(srf2119) C. elegans,znf-598RNASeq,unc-54(srf1004); znf-598(srf2119) C. elegans,WJA1009,unc-54(srf1004); znf-598(srf2119),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668011
SRR16761050,26860386,4029057900,150,1326,SRX12961388,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP344351,PRJNA777454,1,"",SRS10903134,SAMN22863203,simple,6239,Caenorhabditis elegans,GSM5668012,GEO,SRA1321717,11,2023,Makar,unc-54(srf1004) C. elegans,wildtypeCHXMonosomeRep2,unc-54(srf1004) C. elegans,WJA1004,unc-54(srf1004),young adult,hermaphrodite,whole body,NGM + OP50,GSM5668012
