Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,GEO Accession
SRR16894982,68354707,20643121514,151,7836,SRX13087659,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP345324,PRJNA779102,39677659,"",SRS11024469,SAMN23012076,simple,9606,Homo sapiens,GSM5684315,GEO,SRA1326896,12,2024,Liu,HEK293T,WT 5' SLAM-seq 0 h rep1,HEK293T,wild-type,GSM5684315
SRR16894983,89917273,27155016446,151,10589,SRX13087660,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP345324,PRJNA779102,39677659,"",SRS11024468,SAMN23012077,simple,9606,Homo sapiens,GSM5684316,GEO,SRA1326896,12,2024,Liu,HEK293T,WT 5' SLAM-seq 2 h rep1,HEK293T,wild-type,GSM5684316
SRR16894984,50627372,15289466344,151,5782,SRX13087661,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP345324,PRJNA779102,39677659,"",SRS11024471,SAMN23012078,simple,9606,Homo sapiens,GSM5684317,GEO,SRA1326896,12,2024,Liu,HEK293T,WT 5' SLAM-seq 6 h rep1,HEK293T,wild-type,GSM5684317
SRR16894985,89528826,27037705452,151,10271,SRX13087662,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP345324,PRJNA779102,39677659,"",SRS11024472,SAMN23012079,simple,9606,Homo sapiens,GSM5684318,GEO,SRA1326896,12,2024,Liu,HEK293T,WT 5' SLAM-seq 12 h rep1,HEK293T,wild-type,GSM5684318
SRR16894986,42197216,12743559232,151,4849,SRX13087663,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP345324,PRJNA779102,39677659,"",SRS11024470,SAMN23012080,simple,9606,Homo sapiens,GSM5684319,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO 5' SLAM-seq 0 h rep1,HEK293T,PCIF1 knockout,GSM5684319
SRR16894987,16709531,5046278362,151,1941,SRX13087664,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP345324,PRJNA779102,39677659,"",SRS11024473,SAMN23012081,simple,9606,Homo sapiens,GSM5684320,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO 5' SLAM-seq 2 h rep1,HEK293T,PCIF1 knockout,GSM5684320
SRR16894988,23771866,7179103532,151,2772,SRX13087665,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP345324,PRJNA779102,39677659,"",SRS11024474,SAMN23012082,simple,9606,Homo sapiens,GSM5684321,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO 5' SLAM-seq 6 h rep1,HEK293T,PCIF1 knockout,GSM5684321
SRR16894989,53527700,16165365400,151,6138,SRX13087666,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP345324,PRJNA779102,39677659,"",SRS11024476,SAMN23012083,simple,9606,Homo sapiens,GSM5684322,GEO,SRA1326896,12,2024,Liu,HEK293T,PCIF1 KO 5' SLAM-seq 12 h rep1,HEK293T,PCIF1 knockout,GSM5684322
SRR16894990,30317398,6124114396,101,1959,SRX13087667,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024475,SAMN23012084,simple,9606,Homo sapiens,GSM5684323,GEO,SRA1326896,12,2024,Liu,HEK293T,WT 5' SLAM-seq 0 h rep2,HEK293T,wild-type,GSM5684323
SRR16894991,31596190,6382430380,101,2032,SRX13087668,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345324,PRJNA779102,39677659,"",SRS11024477,SAMN23012085,simple,9606,Homo sapiens,GSM5684324,GEO,SRA1326896,12,2024,Liu,HEK293T,WT 5' SLAM-seq 2 h rep2,HEK293T,wild-type,GSM5684324
