Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,Aliquote,cultivar,dev_stage,geo_loc_name,tissue,BioSampleModel
SRR17083603,13011576,2628338352,101,780,SRX13271780,DLSM-10,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348966,PRJNA785119,1,"",SRS11202637,SAMN23531356,simple,4072,Capsicum annuum,DLSM-10,"ICAR-National Research Centre on Plant Biotechnology, INDIA",SRA1337005,12,2023,Makar,"",DLSM-10,DLSM-10 Replicate one,DLS-10,10 DAI,India,Leaves,Plant
SRR17083602,11865638,2396858876,101,707,SRX13271781,DLSM-20,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348966,PRJNA785119,1,"",SRS11202638,SAMN23531357,simple,4072,Capsicum annuum,DLSM-20,"ICAR-National Research Centre on Plant Biotechnology, INDIA",SRA1337005,12,2023,Makar,"",DLSM-20,DLSM-20 Replicate one,DLS-10,20 DAI,India,Leaves,Plant
SRR17083601,12780532,2581667464,101,768,SRX13271782,DLSM-30,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348966,PRJNA785119,1,"",SRS11202639,SAMN23531358,simple,4072,Capsicum annuum,DLSM-30,"ICAR-National Research Centre on Plant Biotechnology, INDIA",SRA1337005,12,2023,Makar,"",DLSM-30,DLSM-30 Replicate one,DLS-10,30 DAI,India,Leaves,Plant
SRR17083600,11210515,2264524030,101,674,SRX13271783,PMI-10,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348966,PRJNA785119,1,"",SRS11202641,SAMN23531359,simple,4072,Capsicum annuum,PMI-10,"ICAR-National Research Centre on Plant Biotechnology, INDIA",SRA1337005,12,2023,Makar,"",PMI-10,PMI-10 Replicate one,Pusa Mukta,10 DAI,India,Leaves,Plant
SRR17083599,15130840,3056429680,101,899,SRX13271784,PMI-20,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348966,PRJNA785119,1,"",SRS11202640,SAMN23531360,simple,4072,Capsicum annuum,PMI-20,"ICAR-National Research Centre on Plant Biotechnology, INDIA",SRA1337005,12,2023,Makar,"",PMI-20,PMI-20 Replicate one,Pusa Mukta,20 DAI,India,Leaves,Plant
SRR17083598,12427414,2510337628,101,747,SRX13271785,PMI-30,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348966,PRJNA785119,1,"",SRS11202642,SAMN23531361,simple,4072,Capsicum annuum,PMI-30,"ICAR-National Research Centre on Plant Biotechnology, INDIA",SRA1337005,12,2023,Makar,"",PMI-30,PMI-30 Replicate one,Pusa Mukta,30 DAI,India,Leaves,Plant
SRR17083597,10970838,2216109276,101,661,SRX13271786,PMM-10,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348966,PRJNA785119,1,"",SRS11202643,SAMN23531362,simple,4072,Capsicum annuum,PMM-10,"ICAR-National Research Centre on Plant Biotechnology, INDIA",SRA1337005,12,2023,Makar,"",PMM-10,PMM-10 Replicate one,Pusa Mukta,10 DAI,India,Leaves,Plant
SRR17083596,14608944,2951006688,101,875,SRX13271787,DLSI-10,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348966,PRJNA785119,1,"",SRS11202645,SAMN23531353,simple,4072,Capsicum annuum,DLSI-10,"ICAR-National Research Centre on Plant Biotechnology, INDIA",SRA1337005,12,2023,Makar,"",DLSI-10,DLSI-10 Replicate one,DLS-10,10 DAI,India,Leaves,Plant
SRR17083595,13771582,2781859564,101,825,SRX13271788,DLSI-20,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348966,PRJNA785119,1,"",SRS11202644,SAMN23531354,simple,4072,Capsicum annuum,DLSI-20,"ICAR-National Research Centre on Plant Biotechnology, INDIA",SRA1337005,12,2023,Makar,"",DLSI-20,DLSI-20 Replicate one,DLS-10,20 DAI,India,Leaves,Plant
SRR17083594,12132062,2450676524,101,723,SRX13271789,PMM-20,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348966,PRJNA785119,1,"",SRS11202647,SAMN23531363,simple,4072,Capsicum annuum,PMM-20,"ICAR-National Research Centre on Plant Biotechnology, INDIA",SRA1337005,12,2023,Makar,"",PMM-20,PMM-20 Replicate one,Pusa Mukta,20 DAI,India,Leaves,Plant
SRR17083593,11584104,2339989008,101,692,SRX13271790,PMM-30,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348966,PRJNA785119,1,"",SRS11202646,SAMN23531364,simple,4072,Capsicum annuum,PMM-30,"ICAR-National Research Centre on Plant Biotechnology, INDIA",SRA1337005,12,2023,Makar,"",PMM-30,PMM-30 Replicate one,Pusa Mukta,30 DAI,India,Leaves,Plant
SRR17083592,13440436,2714968072,101,801,SRX13271791,DLSI-30,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP348966,PRJNA785119,1,"",SRS11202648,SAMN23531355,simple,4072,Capsicum annuum,DLSI-30,"ICAR-National Research Centre on Plant Biotechnology, INDIA",SRA1337005,12,2023,Makar,"",DLSI-30,DLSI-30 Replicate one,DLS-10,30 DAI,India,Leaves,Plant
