Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,dev_stage,sex,tissue,cell_line,cell_subtype,cell_type,growth_protocol,isolation_source,sample_type,treatment,BioSampleModel
SRR17319775,48599883,4033790289,42,1487,SRX13496276,JU3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391666,SAMN24365491,simple,5691,Trypanosoma brucei,PCF Polysome RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,Procyclic T. brucei 427 wild-type strain,Procyclic form,not applicable,not applicable,Procyclic form,Procyclic form,Procyclic form,"Procyclic T. brucei 427 wild-type strain and the genetically modified 29–13 strains, which carries integrated genes for T7 polymerase and the tetracycline repressor, were grown in SDM-79 medium supplemented with 10% fetal calf serum.",Polysomes from sucrose gradient,Polysome RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319774,73371090,6089800470,42,2277,SRX13496277,JU4,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391667,SAMN24365492,simple,5691,Trypanosoma brucei,BSF Polysome RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,T. brucei 427 BSF wild-type,Bloodstream form,not applicable,not applicable,Bloodstream form,Bloodstream form,Bloodstream form,T. brucei 427 BSF wild-type cells was aerobically cultivated at 37°C under 5% CO2 in HMI-9 medium supplemented with 10% fetal calf serum.,Polysomes from sucrose gradient,Polysome RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319773,14255950,1183243850,42,436,SRX13496278,JU5,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391667,SAMN24365492,simple,5691,Trypanosoma brucei,BSF Polysome RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,T. brucei 427 BSF wild-type,Bloodstream form,not applicable,not applicable,Bloodstream form,Bloodstream form,Bloodstream form,T. brucei 427 BSF wild-type cells was aerobically cultivated at 37°C under 5% CO2 in HMI-9 medium supplemented with 10% fetal calf serum.,Polysomes from sucrose gradient,Polysome RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319772,19460485,1615220255,42,589,SRX13496279,JU6,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391667,SAMN24365492,simple,5691,Trypanosoma brucei,BSF Polysome RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,T. brucei 427 BSF wild-type,Bloodstream form,not applicable,not applicable,Bloodstream form,Bloodstream form,Bloodstream form,T. brucei 427 BSF wild-type cells was aerobically cultivated at 37°C under 5% CO2 in HMI-9 medium supplemented with 10% fetal calf serum.,Polysomes from sucrose gradient,Polysome RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319771,19178317,1591800311,42,579,SRX13496280,H1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391668,SAMN24365495,simple,5691,Trypanosoma brucei,PCF Total RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,Procyclic T. brucei 427 wild-type strain,Procyclic form,not applicable,not applicable,Procyclic form,Procyclic form,Procyclic form,"Procyclic T. brucei 427 wild-type strain and the genetically modified 29–13 strains, which carries integrated genes for T7 polymerase and the tetracycline repressor, were grown in SDM-79 medium supplemented with 10% fetal calf serum.",Total RNA,Total RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319770,20675583,1716073389,42,626,SRX13496281,H3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391668,SAMN24365495,simple,5691,Trypanosoma brucei,PCF Total RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,Procyclic T. brucei 427 wild-type strain,Procyclic form,not applicable,not applicable,Procyclic form,Procyclic form,Procyclic form,"Procyclic T. brucei 427 wild-type strain and the genetically modified 29–13 strains, which carries integrated genes for T7 polymerase and the tetracycline repressor, were grown in SDM-79 medium supplemented with 10% fetal calf serum.",Total RNA,Total RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319769,21156107,1755956881,42,645,SRX13496282,H4,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391668,SAMN24365495,simple,5691,Trypanosoma brucei,PCF Total RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,Procyclic T. brucei 427 wild-type strain,Procyclic form,not applicable,not applicable,Procyclic form,Procyclic form,Procyclic form,"Procyclic T. brucei 427 wild-type strain and the genetically modified 29–13 strains, which carries integrated genes for T7 polymerase and the tetracycline repressor, were grown in SDM-79 medium supplemented with 10% fetal calf serum.",Total RNA,Total RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319768,21559399,1789430117,42,668,SRX13496283,H6,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391669,SAMN24365496,simple,5691,Trypanosoma brucei,BSF Total RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,T. brucei 427 BSF wild-type,Bloodstream form,not applicable,not applicable,Bloodstream form,Bloodstream form,Bloodstream form,T. brucei 427 BSF wild-type cells was aerobically cultivated at 37°C under 5% CO2 in HMI-9 medium supplemented with 10% fetal calf serum.,Total RNA,Total RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319767,15499102,1286425466,42,474,SRX13496284,JU1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391666,SAMN24365491,simple,5691,Trypanosoma brucei,PCF Polysome RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,Procyclic T. brucei 427 wild-type strain,Procyclic form,not applicable,not applicable,Procyclic form,Procyclic form,Procyclic form,"Procyclic T. brucei 427 wild-type strain and the genetically modified 29–13 strains, which carries integrated genes for T7 polymerase and the tetracycline repressor, were grown in SDM-79 medium supplemented with 10% fetal calf serum.",Polysomes from sucrose gradient,Polysome RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319766,10529932,873984356,42,320,SRX13496285,JU2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391666,SAMN24365491,simple,5691,Trypanosoma brucei,PCF Polysome RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,Procyclic T. brucei 427 wild-type strain,Procyclic form,not applicable,not applicable,Procyclic form,Procyclic form,Procyclic form,"Procyclic T. brucei 427 wild-type strain and the genetically modified 29–13 strains, which carries integrated genes for T7 polymerase and the tetracycline repressor, were grown in SDM-79 medium supplemented with 10% fetal calf serum.",Polysomes from sucrose gradient,Polysome RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319765,24984370,2073702710,42,751,SRX13496286,H7,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391669,SAMN24365496,simple,5691,Trypanosoma brucei,BSF Total RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,T. brucei 427 BSF wild-type,Bloodstream form,not applicable,not applicable,Bloodstream form,Bloodstream form,Bloodstream form,T. brucei 427 BSF wild-type cells was aerobically cultivated at 37°C under 5% CO2 in HMI-9 medium supplemented with 10% fetal calf serum.,Total RNA,Total RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319764,18522468,1537364844,42,564,SRX13496287,H8,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391669,SAMN24365496,simple,5691,Trypanosoma brucei,BSF Total RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,T. brucei 427 BSF wild-type,Bloodstream form,not applicable,not applicable,Bloodstream form,Bloodstream form,Bloodstream form,T. brucei 427 BSF wild-type cells was aerobically cultivated at 37°C under 5% CO2 in HMI-9 medium supplemented with 10% fetal calf serum.,Total RNA,Total RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319763,23640508,1962162164,42,706,SRX13496288,H9,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391669,SAMN24365496,simple,5691,Trypanosoma brucei,BSF Total RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,T. brucei 427 BSF wild-type,Bloodstream form,not applicable,not applicable,Bloodstream form,Bloodstream form,Bloodstream form,T. brucei 427 BSF wild-type cells was aerobically cultivated at 37°C under 5% CO2 in HMI-9 medium supplemented with 10% fetal calf serum.,Total RNA,Total RNA,Hydrazine 45'-Aniline 15',Model organism or animal
SRR17319762,21806058,1809902814,42,660,SRX13496289,H14,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP352265,PRJNA791832,,"",SRS11391668,SAMN24365495,simple,5691,Trypanosoma brucei,PCF Total RNA HydraPsi-seq,Bar Ilan University,SRA1347972,10,2023,Doniger,"","",T. brucei 427,Procyclic T. brucei 427 wild-type strain,Procyclic form,not applicable,not applicable,Procyclic form,Procyclic form,Procyclic form,"Procyclic T. brucei 427 wild-type strain and the genetically modified 29–13 strains, which carries integrated genes for T7 polymerase and the tetracycline repressor, were grown in SDM-79 medium supplemented with 10% fetal calf serum.",Total RNA,Total RNA,Hydrazine 45'-Aniline 15',Model organism or animal
