Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment,geo_loc_name,collection_date
SRR20519123,31900797,2424460572,76,894,SRX16542919,GSM6368943,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP387753,PRJNA860962,,"",SRS14177923,SAMN29872844,simple,197,Campylobacter jejuni,GSM6368943,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1461471,05,2024,Gelhausen,NCTC11168,Exp1-RNA-R1,NCTC11168,NCTC11168,wild-type,untreated,missing,missing
SRR20519122,28629488,2175841088,76,824,SRX16542920,GSM6368944,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP387753,PRJNA860962,,"",SRS14177921,SAMN29872843,simple,197,Campylobacter jejuni,GSM6368944,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1461471,05,2024,Gelhausen,NCTC11168,Exp1-RIBO-R1,NCTC11168,NCTC11168,wild-type,chloramphenicol,missing,missing
SRR20519121,64519167,4903456692,76,1881,SRX16542921,GSM6368945,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP387753,PRJNA860962,,"",SRS14177922,SAMN29872842,simple,197,Campylobacter jejuni,GSM6368945,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1461471,05,2024,Gelhausen,NCTC11168,Exp1-RNA-R2,NCTC11168,NCTC11168,wild-type,untreated,missing,missing
SRR20519120,76882121,5843041196,76,2231,SRX16542922,GSM6368946,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP387753,PRJNA860962,,"",SRS14177924,SAMN29872841,simple,197,Campylobacter jejuni,GSM6368946,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1461471,05,2024,Gelhausen,NCTC11168,Exp1-RIBO-R2,NCTC11168,NCTC11168,wild-type,chloramphenicol,missing,missing
SRR20519119,51583716,3920362416,76,1490,SRX16542923,GSM6368947,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP387753,PRJNA860962,,"",SRS14177925,SAMN29872840,simple,197,Campylobacter jejuni,GSM6368947,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1461471,05,2024,Gelhausen,NCTC11168,Exp1-RNA-R3,NCTC11168,NCTC11168,wild-type,untreated,missing,missing
SRR20519118,47720868,3626785968,76,1401,SRX16542924,GSM6368948,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP387753,PRJNA860962,,"",SRS14177926,SAMN29872839,simple,197,Campylobacter jejuni,GSM6368948,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1461471,05,2024,Gelhausen,NCTC11168,Exp1-RIBO-R3,NCTC11168,NCTC11168,wild-type,chloramphenicol,missing,missing
SRR20519117,25079732,1906059632,76,749,SRX16542925,GSM6368949,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP387753,PRJNA860962,,"",SRS14177927,SAMN29872838,simple,197,Campylobacter jejuni,GSM6368949,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1461471,05,2024,Gelhausen,NCTC11168,Exp2-RNA-R1,NCTC11168,NCTC11168,delta-cmeB,untreated,missing,missing
SRR20519116,25154868,1911769968,76,756,SRX16542926,GSM6368950,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP387753,PRJNA860962,,"",SRS14177928,SAMN29872837,simple,197,Campylobacter jejuni,GSM6368950,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1461471,05,2024,Gelhausen,NCTC11168,Exp2-RIBO-R1,NCTC11168,NCTC11168,delta-cmeB,untreated,missing,missing
SRR20519115,28836700,2191589200,76,877,SRX16542927,GSM6368951,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP387753,PRJNA860962,,"",SRS14177930,SAMN29872836,simple,197,Campylobacter jejuni,GSM6368951,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1461471,05,2024,Gelhausen,NCTC11168,Exp2-TIS(Ret)-R1,NCTC11168,NCTC11168,delta-cmeB,retapamulin 12.5 µg/ml,missing,missing
SRR20519114,16399821,1246386396,76,527,SRX16542928,GSM6368952,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP387753,PRJNA860962,,"",SRS14177929,SAMN29872835,simple,197,Campylobacter jejuni,GSM6368952,"Bioinformatics Group (AG Backofen), Department of Computer Science, Albert-Ludwigs-University Freiburg",SRA1461471,05,2024,Gelhausen,NCTC11168,Exp2-RNA-R2,NCTC11168,NCTC11168,delta-cmeB,untreated,missing,missing
