Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,sirna,time point,geo_loc_name,collection_date,cell type,transfection,antibody
SRR20374499,50820764,5082076400,100,2949,SRX16407256,GSM6372278,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044042,SAMN29881685,simple,9606,Homo sapiens,GSM6372278,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siCTRL_rep1_0h,HEK293T cell line,HEK293T,siCTRL,0h,missing,missing,,,
SRR20374498,50449972,5044997200,100,2948,SRX16407257,GSM6372279,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044045,SAMN29881684,simple,9606,Homo sapiens,GSM6372279,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siCTRL_rep1_12h,HEK293T cell line,HEK293T,siCTRL,12h,missing,missing,,,
SRR20374497,44110520,4411052000,100,2514,SRX16407258,GSM6372280,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044043,SAMN29881683,simple,9606,Homo sapiens,GSM6372280,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siCTRL_rep1_24h,HEK293T cell line,HEK293T,siCTRL,24h,missing,missing,,,
SRR20374496,50636128,5063612800,100,2942,SRX16407259,GSM6372281,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044044,SAMN29881682,simple,9606,Homo sapiens,GSM6372281,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siCTRL_rep1_6h,HEK293T cell line,HEK293T,siCTRL,6h,missing,missing,,,
SRR20374495,52907736,5290773600,100,3091,SRX16407260,GSM6372282,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044046,SAMN29881681,simple,9606,Homo sapiens,GSM6372282,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siCTRL_rep2_0h,HEK293T cell line,HEK293T,siCTRL,0h,missing,missing,,,
SRR20374494,50797980,5079798000,100,2937,SRX16407261,GSM6372283,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044047,SAMN29881680,simple,9606,Homo sapiens,GSM6372283,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siCTRL_rep2_12h,HEK293T cell line,HEK293T,siCTRL,12h,missing,missing,,,
SRR20374493,50696420,5069642000,100,2926,SRX16407262,GSM6372284,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044048,SAMN29881679,simple,9606,Homo sapiens,GSM6372284,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siCTRL_rep2_24h,HEK293T cell line,HEK293T,siCTRL,24h,missing,missing,,,
SRR20374492,50699868,5069986800,100,2957,SRX16407263,GSM6372285,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044049,SAMN29881678,simple,9606,Homo sapiens,GSM6372285,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siCTRL_rep2_6h,HEK293T cell line,HEK293T,siCTRL,6h,missing,missing,,,
SRR20374491,50671878,5067187800,100,2930,SRX16407264,GSM6372286,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044050,SAMN29881677,simple,9606,Homo sapiens,GSM6372286,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siFBL_rep1_0h,HEK293T cell line,HEK293T,siFBL,0h,missing,missing,,,
SRR20374490,52964278,5296427800,100,3046,SRX16407265,GSM6372287,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044052,SAMN29881676,simple,9606,Homo sapiens,GSM6372287,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siFBL_rep1_12h,HEK293T cell line,HEK293T,siFBL,12h,missing,missing,,,
SRR20374489,50520542,5052054200,100,2935,SRX16407266,GSM6372288,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044051,SAMN29881675,simple,9606,Homo sapiens,GSM6372288,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siFBL_rep1_24h,HEK293T cell line,HEK293T,siFBL,24h,missing,missing,,,
SRR20374488,50647060,5064706000,100,2912,SRX16407267,GSM6372289,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044054,SAMN29881674,simple,9606,Homo sapiens,GSM6372289,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siFBL_rep1_6h,HEK293T cell line,HEK293T,siFBL,6h,missing,missing,,,
SRR20374487,52685672,5268567200,100,3015,SRX16407268,GSM6372290,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044053,SAMN29881673,simple,9606,Homo sapiens,GSM6372290,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siFBL_rep2_0h,HEK293T cell line,HEK293T,siFBL,0h,missing,missing,,,
SRR20374486,52789924,5278992400,100,3048,SRX16407269,GSM6372291,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044056,SAMN29881672,simple,9606,Homo sapiens,GSM6372291,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siFBL_rep2_12h,HEK293T cell line,HEK293T,siFBL,12h,missing,missing,,,
SRR20374485,52694722,5269472200,100,3020,SRX16407270,GSM6372292,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044055,SAMN29881671,simple,9606,Homo sapiens,GSM6372292,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siFBL_rep2_24h,HEK293T cell line,HEK293T,siFBL,24h,missing,missing,,,
SRR20374484,52440648,5244064800,100,3046,SRX16407271,GSM6372293,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044057,SAMN29881670,simple,9606,Homo sapiens,GSM6372293,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siFBL_rep2_6h,HEK293T cell line,HEK293T,siFBL,6h,missing,missing,,,
SRR20374483,52448312,5244831200,100,3018,SRX16407272,GSM6372294,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP387503,PRJNA861010,,"",SRS14044059,SAMN29881669,simple,9606,Homo sapiens,GSM6372294,"Kaifu Chen Lab, Cardiology Department, Boston Children's Hospital",SRA1508491,06,2024,Li,HEK293T cell line,siNOP56_rep1_0h,HEK293T cell line,HEK293T,siNOP56,0h,missing,missing,,,
