Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype,geo_loc_name,collection_date
SRR27821830,44290576,13287172800,150,5780,SRX23485190,GSM8057017,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396096,PRJNA877653,,"",SRS20337593,SAMN39710899,simple,3702,Arabidopsis thaliana,GSM8057017,Fudan University,SRA1795504,10,2024,Song,seedling,"WT seedling, normal condition, rep1",seedling,seedling,somatic,Col-0,missing,missing
SRR27821829,57247753,17174325900,150,7592,SRX23485191,GSM8057018,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396096,PRJNA877653,,"",SRS20337594,SAMN39710898,simple,3702,Arabidopsis thaliana,GSM8057018,Fudan University,SRA1795504,10,2024,Song,seedling,"WT seedling, normal condition, rep2",seedling,seedling,somatic,Col-0,missing,missing
SRR27821828,41941995,12582598500,150,5502,SRX23485192,GSM8057019,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396096,PRJNA877653,,"",SRS20337595,SAMN39710897,simple,3702,Arabidopsis thaliana,GSM8057019,Fudan University,SRA1795504,10,2024,Song,seedling,"WT seedling, normal condition, rep3",seedling,seedling,somatic,Col-0,missing,missing
SRR27821827,44993038,13497911400,150,5898,SRX23485193,GSM8057020,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396096,PRJNA877653,,"",SRS20337596,SAMN39710896,simple,3702,Arabidopsis thaliana,GSM8057020,Fudan University,SRA1795504,10,2024,Song,seedling,"hot3-2 seedling, normal condition, rep1",seedling,seedling,somatic,hot3-2,missing,missing
SRR27821826,56729482,17018844600,150,7476,SRX23485194,GSM8057021,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396096,PRJNA877653,,"",SRS20337597,SAMN39710895,simple,3702,Arabidopsis thaliana,GSM8057021,Fudan University,SRA1795504,10,2024,Song,seedling,"hot3-2 seedling, normal condition, rep2",seedling,seedling,somatic,hot3-2,missing,missing
SRR27821825,52432320,15729696000,150,6915,SRX23485195,GSM8057022,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396096,PRJNA877653,,"",SRS20337598,SAMN39710894,simple,3702,Arabidopsis thaliana,GSM8057022,Fudan University,SRA1795504,10,2024,Song,seedling,"hot3-2seedling, normal condition, rep3",seedling,seedling,somatic,hot3-2,missing,missing
SRR27821824,33382329,10014698700,150,4297,SRX23485196,GSM8057023,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396096,PRJNA877653,,"",SRS20337599,SAMN39710893,simple,3702,Arabidopsis thaliana,GSM8057023,Fudan University,SRA1795504,10,2024,Song,inflorescence,"WT inflorescence, normal condition, rep1",inflorescence,inflorescence,somatic,Col-0,missing,missing
SRR27821823,35712916,10713874800,150,4617,SRX23485197,GSM8057024,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396096,PRJNA877653,,"",SRS20337600,SAMN39710892,simple,3702,Arabidopsis thaliana,GSM8057024,Fudan University,SRA1795504,10,2024,Song,inflorescence,"WT inflorescence, normal condition, rep2",inflorescence,inflorescence,somatic,Col-0,missing,missing
SRR27821822,32972372,9891711600,150,4219,SRX23485198,GSM8057025,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396096,PRJNA877653,,"",SRS20337601,SAMN39710891,simple,3702,Arabidopsis thaliana,GSM8057025,Fudan University,SRA1795504,10,2024,Song,inflorescence,"WT inflorescence, normal condition, rep3",inflorescence,inflorescence,somatic,Col-0,missing,missing
SRR27821821,34637291,10391187300,150,4435,SRX23485199,GSM8057026,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396096,PRJNA877653,,"",SRS20337602,SAMN39710890,simple,3702,Arabidopsis thaliana,GSM8057026,Fudan University,SRA1795504,10,2024,Song,inflorescence,"hot3-2 inflorescence, normal condition, rep1",inflorescence,inflorescence,somatic,hot3-2,missing,missing
SRR27821820,36279860,10883958000,150,4676,SRX23485200,GSM8057027,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396096,PRJNA877653,,"",SRS20337603,SAMN39710889,simple,3702,Arabidopsis thaliana,GSM8057027,Fudan University,SRA1795504,10,2024,Song,inflorescence,"hot3-2 inflorescence, normal condition, rep2",inflorescence,inflorescence,somatic,hot3-2,missing,missing
SRR27821819,39128972,11738691600,150,4990,SRX23485201,GSM8057028,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP396096,PRJNA877653,,"",SRS20337604,SAMN39710888,simple,3702,Arabidopsis thaliana,GSM8057028,Fudan University,SRA1795504,10,2024,Song,inflorescence,"hot3-2 inflorescence, normal condition, rep3",inflorescence,inflorescence,somatic,hot3-2,missing,missing
