Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype,treatment,geo_loc_name,collection_date
SRR21641501,27660836,2766083600,100,1143,SRX17641606,GSM6594331,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP398263,PRJNA882451,38457494,"",SRS15175630,SAMN30935560,simple,10090,Mus musculus,GSM6594331,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,preB #3,preB cells,preB cells,preB,C57BL/6,NA,missing,missing
SRR21641500,27662307,2766230700,100,1148,SRX17641607,GSM6594332,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP398263,PRJNA882451,38457494,"",SRS15175631,SAMN30935559,simple,10090,Mus musculus,GSM6594332,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,preB #4,preB cells,preB cells,preB,C57BL/6,NA,missing,missing
SRR21641499,27772988,2777298800,100,1123,SRX17641608,GSM6594333,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP398263,PRJNA882451,38457494,"",SRS15175632,SAMN30935558,simple,10090,Mus musculus,GSM6594333,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,preB #1,preB cells,preB cells,preB,C57BL/6,NA,missing,missing
SRR21641498,25457711,2545771100,100,1031,SRX17641609,GSM6594334,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP398263,PRJNA882451,38457494,"",SRS15175633,SAMN30935557,simple,10090,Mus musculus,GSM6594334,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,preB #2,preB cells,preB cells,preB,C57BL/6,NA,missing,missing
SRR21641497,26569145,2656914500,100,1075,SRX17641610,GSM6594335,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP398263,PRJNA882451,38457494,"",SRS15175634,SAMN30935556,simple,10090,Mus musculus,GSM6594335,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,preB leukaemia #1,preB cells,preB cells,preB leukaemia,P190T/+,NA,missing,missing
SRR21641496,26383422,2638342200,100,1061,SRX17641611,GSM6594336,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP398263,PRJNA882451,38457494,"",SRS15175635,SAMN30935555,simple,10090,Mus musculus,GSM6594336,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,preB leukaemia #2,preB cells,preB cells,preB leukaemia,P190T/+,NA,missing,missing
SRR21641495,25652869,2565286900,100,1037,SRX17641612,GSM6594337,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP398263,PRJNA882451,38457494,"",SRS15175636,SAMN30935554,simple,10090,Mus musculus,GSM6594337,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,preB leukaemia #3,preB cells,preB cells,preB leukaemia,P190T/+,NA,missing,missing
SRR21641494,27523785,2752378500,100,1114,SRX17641613,GSM6594338,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP398263,PRJNA882451,38457494,"",SRS15175637,SAMN30935553,simple,10090,Mus musculus,GSM6594338,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,preB leukaemia #4,preB cells,preB cells,preB leukaemia,P190T/+,NA,missing,missing
SRR21641493,25317965,2531796500,100,1022,SRX17641614,GSM6594339,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP398263,PRJNA882451,38457494,"",SRS15175638,SAMN30935552,simple,10090,Mus musculus,GSM6594339,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,preB leukaemia #5,preB cells,preB cells,preB leukaemia,P190T/+,NA,missing,missing
SRR21641492,31398927,3139892700,100,946,SRX17641615,GSM6594340,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175639,SAMN30935551,simple,10090,Mus musculus,GSM6594340,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#87 preB leukaemia, Tamoxifen",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;cMycdelta/delta,Tamoxifen,missing,missing
SRR21641491,33568739,3356873900,100,1012,SRX17641616,GSM6594341,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175640,SAMN30935550,simple,10090,Mus musculus,GSM6594341,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#87 preB leukaemia, DMSO",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;cMycfl/fl,DMSO,missing,missing
SRR21641490,34340965,3434096500,100,1043,SRX17641617,GSM6594342,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175641,SAMN30935549,simple,10090,Mus musculus,GSM6594342,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#87 preB leukaemia, DMSO pseudo-replicate",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;cMycfl/fl,DMSO,missing,missing
SRR21641489,41717847,4171784700,100,1252,SRX17641618,GSM6594343,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175642,SAMN30935548,simple,10090,Mus musculus,GSM6594343,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#87 preB leukaemia, Tamoxifen pseudo-replicate",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;cMycdelta/delta,Tamoxifen,missing,missing
SRR21641487,36881951,3688195100,100,1111,SRX17641619,GSM6594344,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175643,SAMN30935547,simple,10090,Mus musculus,GSM6594344,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#86 preB leukaemia, Tamoxifen",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;cMycdelta/delta,Tamoxifen,missing,missing
SRR21641486,39806302,3980630200,100,1197,SRX17641620,GSM6594345,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175644,SAMN30935546,simple,10090,Mus musculus,GSM6594345,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#86 preB leukaemia, DMSO",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;cMycfl/fl,DMSO,missing,missing
SRR21641485,27756385,2775638500,100,840,SRX17641621,GSM6594346,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175645,SAMN30935545,simple,10090,Mus musculus,GSM6594346,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#86 preB leukaemia, DMSO pseudo-replicate",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;cMycfl/fl,DMSO,missing,missing
SRR21641488,32940599,3294059900,100,991,SRX17641622,GSM6594347,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175646,SAMN30935544,simple,10090,Mus musculus,GSM6594347,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#86 preB leukaemia, Tamoxifen pseudo-replicate",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;cMycdelta/delta,Tamoxifen,missing,missing
SRR21641484,36177082,3617708200,100,1127,SRX17641623,GSM6594348,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175647,SAMN30935543,simple,10090,Mus musculus,GSM6594348,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#162 preB leukaemia, DMSO",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;Ergfl/fl,DMSO,missing,missing
SRR21641483,34352575,3435257500,100,1068,SRX17641624,GSM6594349,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175648,SAMN30935542,simple,10090,Mus musculus,GSM6594349,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#162 preB leukaemia, DMSO pseudo-replicate",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;Ergfl/fl,DMSO,missing,missing
SRR21641482,33632133,3363213300,100,1094,SRX17641625,GSM6594350,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175649,SAMN30935541,simple,10090,Mus musculus,GSM6594350,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#162 preB leukaemia, Tamoxifen",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;Ergdelta/delta,Tamoxifen,missing,missing
SRR21641481,27589130,2758913000,100,962,SRX17641626,GSM6594351,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175650,SAMN30935540,simple,10090,Mus musculus,GSM6594351,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#162 preB leukaemia, Tamoxifen pseudo-replicate",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;Ergdelta/delta,Tamoxifen,missing,missing
SRR21641479,37591326,3759132600,100,1213,SRX17641627,GSM6594352,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175651,SAMN30935539,simple,10090,Mus musculus,GSM6594352,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#174 preB leukaemia, DMSO",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;Ergfl/fl,DMSO,missing,missing
SRR21641478,37614357,3761435700,100,1175,SRX17641628,GSM6594353,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175652,SAMN30935538,simple,10090,Mus musculus,GSM6594353,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#174 preB leukaemia, DMSO pseudo-replicate",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;Ergfl/fl,DMSO,missing,missing
SRR21641477,38737233,3873723300,100,1223,SRX17641629,GSM6594354,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175653,SAMN30935537,simple,10090,Mus musculus,GSM6594354,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#174 preB leukaemia, Tamoxifen",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;Ergdelta/delta,Tamoxifen,missing,missing
SRR21641480,34638731,3463873100,100,1081,SRX17641630,GSM6594355,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175654,SAMN30935536,simple,10090,Mus musculus,GSM6594355,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preB cells,"#174 preB leukaemia, Tamoxifen pseudo-replicate",preB cells,preB cells,preB leukaemia,P190T/+;CreERT2T/+;Ergdelta/delta,Tamoxifen,missing,missing
SRR21641476,32412053,2430903975,75,920,SRX17641631,GSM6594356,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175655,SAMN30935535,simple,10090,Mus musculus,GSM6594356,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,proB cells,"ChIP-seq, proBC57BL/6-AbCAM",proB cells,proB cells,proB cells,C57BL/6,NA,missing,missing
SRR21641475,19937917,1495343775,75,569,SRX17641632,GSM6594357,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 1000,SRP398263,PRJNA882451,38457494,"",SRS15175656,SAMN30935534,simple,10090,Mus musculus,GSM6594357,The Walter and Eliza Hall Institute of Medical Research,SRA1502317,01,2024,Behrens,preproB cells,"ChIP-seq, preproBRag1CreT/+;ErgΔ/Δ-AbCAM",preproB cells,preproB cells,preproB cells,Rag1CreT/+;Ergdelta/delta,NA,missing,missing
