Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,region,age,genotype,Sex,collection,geo_loc_name,collection_date
SRR21866763,28733491,4310023650,75,1739,SRX17853734,GSM6630847,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374898,SAMN31247502,simple,10090,Mus musculus,GSM6630847,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_WT_MALE_C1.1,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,WT,male,C1.1,,
SRR21866762,25698393,3854758950,75,1555,SRX17853735,GSM6630848,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374899,SAMN31247501,simple,10090,Mus musculus,GSM6630848,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_OVX_MALE_C1.1,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,OVX,male,C1.1,,
SRR21866761,18140634,2721095100,75,1140,SRX17853736,GSM6630849,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374900,SAMN31247500,simple,10090,Mus musculus,GSM6630849,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_WT_MALE_C1.2,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,WT,male,C1.2,,
SRR21866760,33522444,5028366600,75,2029,SRX17853737,GSM6630850,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374901,SAMN31247499,simple,10090,Mus musculus,GSM6630850,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_OVX_MALE_C1.2,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,OVX,male,C1.2,,
SRR21866759,29550685,4432602750,75,1788,SRX17853738,GSM6630851,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374902,SAMN31247498,simple,10090,Mus musculus,GSM6630851,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_WT_MALE_C1.3,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,WT,male,C1.3,,
SRR21866758,30240155,4536023250,75,1839,SRX17853739,GSM6630852,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374903,SAMN31247497,simple,10090,Mus musculus,GSM6630852,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_OVX_MALE_C1.3,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,OVX,male,C1.3,,
SRR21866757,29604606,4440690900,75,1821,SRX17853740,GSM6630853,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374904,SAMN31247496,simple,10090,Mus musculus,GSM6630853,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_WT_MALE_C1.4,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,WT,male,C1.4,,
SRR21866756,29516632,4427494800,75,1787,SRX17853741,GSM6630854,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374905,SAMN31247495,simple,10090,Mus musculus,GSM6630854,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_OVX_MALE_C1.4,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,OVX,male,C1.4,,
SRR21866755,27456619,4118492850,75,1683,SRX17853742,GSM6630855,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374906,SAMN31247494,simple,10090,Mus musculus,GSM6630855,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_WT_FEMALE_C1.1,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,WT,female,C1.1,,
SRR21866754,25173050,3775957500,75,1544,SRX17853743,GSM6630856,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402051,PRJNA889520,,"",SRS15374907,SAMN31247493,simple,10090,Mus musculus,GSM6630856,"Wade-Martins Laboratory of Molecular Neurodegeneration, Department of Physiology, Anatomy and Genetics, University of Oxford",SRA1518358,10,2023,Kilfeather,ventral midbrain,MB_YOUNG_OVX_FEMALE_C1.1,ventral midbrain,ventral midbrain,dopaminergic neurons,MB,YOUNG,OVX,female,C1.1,,
