Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,geo_loc_name,collection_date
SRR21972697,20094137,1518260043,75,600,SRX17956155,GSM6658424,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP403469,PRJNA892076,38431639,"",SRS15473235,SAMN31367118,simple,9606,Homo sapiens,GSM6658424,Northwestern University,SRA1523559,02,2024,Yang,MCF-7,uSLC35A4-Ctrl1-rep1,MCF-7,MCF-7,breast cancer cell,uSLC35A4 control1,missing,missing
SRR21972696,24253711,1533763295,63,612,SRX17956156,GSM6658425,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP403469,PRJNA892076,38431639,"",SRS15473237,SAMN31367117,simple,9606,Homo sapiens,GSM6658425,Northwestern University,SRA1523559,02,2024,Yang,MCF-7,uSLC35A4-Ctrl1-rep2,MCF-7,MCF-7,breast cancer cell,uSLC35A4 control1,missing,missing
SRR21972695,21138492,1188443716,56,477,SRX17956157,GSM6658426,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP403469,PRJNA892076,38431639,"",SRS15473236,SAMN31367116,simple,9606,Homo sapiens,GSM6658426,Northwestern University,SRA1523559,02,2024,Yang,MCF-7,uSLC35A4-Ctrl2-rep1,MCF-7,MCF-7,breast cancer cell,uSLC35A4 control2,missing,missing
SRR21972694,25776106,1526471068,59,617,SRX17956158,GSM6658428,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP403469,PRJNA892076,38431639,"",SRS15473238,SAMN31367115,simple,9606,Homo sapiens,GSM6658428,Northwestern University,SRA1523559,02,2024,Yang,MCF-7,uSLC35A4-Ctrl2-rep2,MCF-7,MCF-7,breast cancer cell,uSLC35A4 control2,missing,missing
SRR21972693,32414433,1932334629,59,775,SRX17956159,GSM6658430,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP403469,PRJNA892076,38431639,"",SRS15473239,SAMN31367114,simple,9606,Homo sapiens,GSM6658430,Northwestern University,SRA1523559,02,2024,Yang,MCF-7,uSLC35A4-WT-rep1,MCF-7,MCF-7,breast cancer cell,uSLC35A4 overexpression,missing,missing
SRR21972692,25469200,1456497994,57,591,SRX17956160,GSM6658432,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP403469,PRJNA892076,38431639,"",SRS15473240,SAMN31367113,simple,9606,Homo sapiens,GSM6658432,Northwestern University,SRA1523559,02,2024,Yang,MCF-7,uSLC35A4-WT-rep2,MCF-7,MCF-7,breast cancer cell,uSLC35A4 overexpression,missing,missing
SRR21972691,23643177,1336584474,56,540,SRX17956161,GSM6658434,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP403469,PRJNA892076,38431639,"",SRS15473241,SAMN31367112,simple,9606,Homo sapiens,GSM6658434,Northwestern University,SRA1523559,02,2024,Yang,MCF-7,iPGRMC1-Ctrl-rep1,MCF-7,MCF-7,breast cancer cell,iPGRMC1 control,missing,missing
SRR21972690,21973104,1037161572,47,428,SRX17956162,GSM6658436,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP403469,PRJNA892076,38431639,"",SRS15473242,SAMN31367111,simple,9606,Homo sapiens,GSM6658436,Northwestern University,SRA1523559,02,2024,Yang,MCF-7,iPGRMC1-Ctrl-rep2,MCF-7,MCF-7,breast cancer cell,iPGRMC1 control,missing,missing
SRR21972689,26000350,1591446962,61,643,SRX17956163,GSM6658438,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP403469,PRJNA892076,38431639,"",SRS15473243,SAMN31367110,simple,9606,Homo sapiens,GSM6658438,Northwestern University,SRA1523559,02,2024,Yang,MCF-7,iPGRMC1-WT-rep1,MCF-7,MCF-7,breast cancer cell,iPGRMC1 overexpression,missing,missing
SRR21972688,25614799,1302127535,50,531,SRX17956164,GSM6658440,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP403469,PRJNA892076,38431639,"",SRS15473244,SAMN31367109,simple,9606,Homo sapiens,GSM6658440,Northwestern University,SRA1523559,02,2024,Yang,MCF-7,iPGRMC1-WT-rep2,MCF-7,MCF-7,breast cancer cell,iPGRMC1 overexpression,missing,missing
