Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,molecule subtype,geo_loc_name,collection_date
SRR22122988,124142761,6207138050,50,1660,SRX18102678,GSM6701450,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605572,SAMN31544958,simple,9606,Homo sapiens,GSM6701450,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 1_HeLa cells, 80S footprints, NT control, rep1",HeLa,HeLa,human epithelial cell,WT,"non-targeting siRNA, 72 hours",80S RNA footprints,missing,missing
SRR22122987,45013192,6751978800,150,2460,SRX18102679,GSM6701467,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605573,SAMN31544941,simple,9606,Homo sapiens,GSM6701467,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 18_HeLa cells, mRNA, eIF3d KD, rep2",HeLa,HeLa,human epithelial cell,EIF3D knock down,"eIF3d siRNA, 72 hours",,missing,missing
SRR22122986,51553171,7732975650,150,2813,SRX18102680,GSM6701468,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605574,SAMN31544940,simple,9606,Homo sapiens,GSM6701468,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 19_HeLa cells, mRNA, eIF3d KD, rep3",HeLa,HeLa,human epithelial cell,EIF3D knock down,"eIF3d siRNA, 72 hours",,missing,missing
SRR22122985,53222038,7983305700,150,2906,SRX18102681,GSM6701469,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605575,SAMN31544939,simple,9606,Homo sapiens,GSM6701469,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 20_HeLa cells, mRNA, eIF3d KD, rep4",HeLa,HeLa,human epithelial cell,EIF3D knock down,"eIF3d siRNA, 72 hours",,missing,missing
SRR22122984,49566826,7435023900,150,2690,SRX18102682,GSM6701470,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605576,SAMN31544938,simple,9606,Homo sapiens,GSM6701470,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 21_HeLa cells, mRNA, eIF3e KD, rep1",HeLa,HeLa,human epithelial cell,EIF3E knock down,"eIF3e siRNA, 72 hours",,missing,missing
SRR22122983,57610917,8641637550,150,3143,SRX18102683,GSM6701471,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605577,SAMN31544937,simple,9606,Homo sapiens,GSM6701471,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 22_HeLa cells, mRNA, eIF3e KD, rep2",HeLa,HeLa,human epithelial cell,EIF3E knock down,"eIF3e siRNA, 72 hours",,missing,missing
SRR22122982,49743485,7461522750,150,2696,SRX18102684,GSM6701472,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605578,SAMN31544936,simple,9606,Homo sapiens,GSM6701472,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 23_HeLa cells, mRNA, eIF3e KD, rep3",HeLa,HeLa,human epithelial cell,EIF3E knock down,"eIF3e siRNA, 72 hours",,missing,missing
SRR22122981,52594651,7889197650,150,2870,SRX18102685,GSM6701473,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605579,SAMN31544935,simple,9606,Homo sapiens,GSM6701473,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 24_HeLa cells, mRNA, eIF3e KD, rep4",HeLa,HeLa,human epithelial cell,EIF3E knock down,"eIF3e siRNA, 72 hours",,missing,missing
SRR22122980,49483947,7422592050,150,2712,SRX18102686,GSM6701474,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605580,SAMN31544934,simple,9606,Homo sapiens,GSM6701474,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 25_HeLa cells, mRNA, eIF3h KD, rep1",HeLa,HeLa,human epithelial cell,EIF3H knock down,"eIF3h siRNA, 72 hours",,missing,missing
SRR22122979,121886389,6094319450,50,1613,SRX18102687,GSM6701451,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP405607,PRJNA896488,,"",SRS15605581,SAMN31544957,simple,9606,Homo sapiens,GSM6701451,"Laboratory of Regulation of Gene Expression, Institute of Microbiology of the Czech Academy of Sciences",SRA1531967,04,2024,Herrmannová,HeLa,"Sample 2_HeLa cells, 80S footprints, NT control, rep2",HeLa,HeLa,human epithelial cell,WT,"non-targeting siRNA, 72 hours",80S RNA footprints,missing,missing
