Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment,umi,geo_loc_name,collection_date
SRR22865491,52725301,4007122876,76,1517,SRX18824188,GSM6886868,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP414467,PRJNA915041,1,"",SRS16256277,SAMN32368560,simple,9606,Homo sapiens,GSM6886868,"Stirling Churchman, Genetics, Harvard Medical School",SRA1564428,12,2023,Makar,HEK293T,"mitoRP, LRPPRC KO + LSFC point mutant, rep 1",HEK293T,HEK293T,LRPPRC KO + LSFC,untreated,"5' 4 nt, 3' 10 nt",missing,missing
SRR22865490,49645520,3773059520,76,1486,SRX18824189,GSM6886869,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP414467,PRJNA915041,1,"",SRS16256278,SAMN32368559,simple,9606,Homo sapiens,GSM6886869,"Stirling Churchman, Genetics, Harvard Medical School",SRA1564428,12,2023,Makar,HEK293T,"mitoRP, LRPPRC KO + LSFC point mutant, rep 2",HEK293T,HEK293T,LRPPRC KO + LSFC,untreated,"5' 4 nt, 3' 10 nt",missing,missing
SRR22865489,58857925,4473202300,76,1841,SRX18824190,GSM6886870,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP414467,PRJNA915041,1,"",SRS16256279,SAMN32368558,simple,9606,Homo sapiens,GSM6886870,"Stirling Churchman, Genetics, Harvard Medical School",SRA1564428,12,2023,Makar,HEK293T,"RNA-seq, LRPPRC KO + LSFC point mutant, rep 1",HEK293T,HEK293T,LRPPRC KO + LSFC,untreated,"5' 4 nt, 3' 10 nt",missing,missing
SRR22865488,59117616,4492938816,76,1859,SRX18824191,GSM6886871,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP414467,PRJNA915041,1,"",SRS16256280,SAMN32368557,simple,9606,Homo sapiens,GSM6886871,"Stirling Churchman, Genetics, Harvard Medical School",SRA1564428,12,2023,Makar,HEK293T,"RNA-seq, LRPPRC KO + LSFC point mutant, rep 2",HEK293T,HEK293T,LRPPRC KO + LSFC,untreated,"5' 4 nt, 3' 10 nt",missing,missing
SRR22865487,47830646,14349193800,150,4274,SRX18824192,GSM6886872,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP414467,PRJNA915041,1,"",SRS16256281,SAMN32368556,simple,9606,Homo sapiens,GSM6886872,"Stirling Churchman, Genetics, Harvard Medical School",SRA1564428,12,2023,Makar,HEK293T,"RNA-seq, HEK-293T WT, rep 1",HEK293T,HEK293T,WT,untreated,n/a,missing,missing
SRR22865486,48329934,14498980200,150,4301,SRX18824193,GSM6886873,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP414467,PRJNA915041,1,"",SRS16256282,SAMN32368555,simple,9606,Homo sapiens,GSM6886873,"Stirling Churchman, Genetics, Harvard Medical School",SRA1564428,12,2023,Makar,HEK293T,"RNA-seq, HEK-293T WT, rep 2",HEK293T,HEK293T,WT,untreated,n/a,missing,missing
SRR22865485,62698869,18809660700,150,5643,SRX18824194,GSM6886874,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP414467,PRJNA915041,1,"",SRS16256283,SAMN32368554,simple,9606,Homo sapiens,GSM6886874,"Stirling Churchman, Genetics, Harvard Medical School",SRA1564428,12,2023,Makar,HEK293T,"RNA-seq, LRPPRC KO, rep 1",HEK293T,HEK293T,LRPPRC KO,untreated,n/a,missing,missing
SRR22865484,51070180,15321054000,150,4588,SRX18824195,GSM6886875,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP414467,PRJNA915041,1,"",SRS16256284,SAMN32368553,simple,9606,Homo sapiens,GSM6886875,"Stirling Churchman, Genetics, Harvard Medical School",SRA1564428,12,2023,Makar,HEK293T,"RNA-seq, LRPPRC KO, rep 2",HEK293T,HEK293T,LRPPRC KO,untreated,n/a,missing,missing
SRR22865483,66997596,20099278800,150,5962,SRX18824196,GSM6886876,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP414467,PRJNA915041,1,"",SRS16256285,SAMN32368552,simple,9606,Homo sapiens,GSM6886876,"Stirling Churchman, Genetics, Harvard Medical School",SRA1564428,12,2023,Makar,HEK293T,"RNA-seq, LRPPRC KO+LRPPRC WT, rep 1",HEK293T,HEK293T,LRPPRC KO + LRPPRC WT,untreated,n/a,missing,missing
SRR22865482,51675991,15502797300,150,4638,SRX18824197,GSM6886877,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP414467,PRJNA915041,1,"",SRS16256286,SAMN32368551,simple,9606,Homo sapiens,GSM6886877,"Stirling Churchman, Genetics, Harvard Medical School",SRA1564428,12,2023,Makar,HEK293T,"RNA-seq, LRPPRC KO+LRPPRC WT, rep 2",HEK293T,HEK293T,LRPPRC KO + LRPPRC WT,untreated,n/a,missing,missing
